t,E_total,dE_step,contact_E
0,107.9994623,0,3.5578382e-10
0.0005,107.9989265,-5.357522e-04,7.1161201e-10
0.001,107.9983904,-5.361079e-04,1.5538962e-09
0.0015,107.9978528,-5.376296e-04,3.0468144e-09
0.002,107.9973132,-5.396113e-04,5.1784142e-09
0.0025,107.9967714,-5.418124e-04,7.8028871e-09
0.003,107.996227,-5.443266e-04,1.0668717e-08
0.0035,107.9956797,-5.473688e-04,1.3466835e-08
0.004,107.9951286,-5.510809e-04,1.5906574e-08
0.0045,107.9945732,-5.554448e-04,1.7782238e-08
0.005,107.9940128,-5.603069e-04,1.9008193e-08
0.0055,107.9934474,-5.654759e-04,1.9617157e-08
0.006,107.9928765,-5.708327e-04,1.9729989e-08
0.0065,107.9923001,-5.763991e-04,1.9512449e-08
0.007,107.9917178,-5.823415e-04,1.9133922e-08
0.0075,107.9911289,-5.889149e-04,1.8737561e-08
0.008,107.9905325,-5.963796e-04,1.8424429e-08
0.0085,107.9899276,-6.049233e-04,1.8249284e-08
0.009,107.9892504,-6.771561e-04,1.8170678e-08
0.0095,107.9886147,-6.357438e-04,1.6073009e-08
0.01,107.9879595,-6.551395e-04,1.68771e-08
0.0105,107.9872517,-7.078422e-04,8.6000375e-08
0.011,107.9865713,-6.804120e-04,4.9314013e-08
0.0115,107.985884,-6.873142e-04,4.6469303e-08
0.012,107.985185,-6.989459e-04,4.3787635e-08
0.0125,107.9844724,-7.126612e-04,3.8535046e-08
0.013,107.9837458,-7.265360e-04,3.359688e-08
0.0135,107.9830061,-7.397609e-04,3.0089489e-08
0.014,107.9822537,-7.523743e-04,2.7999175e-08
0.0145,107.9814891,-7.645876e-04,2.7005204e-08
0.015,107.9807127,-7.764408e-04,2.6786619e-08
0.0155,107.9799248,-7.878266e-04,2.7068494e-08
0.016,107.9791262,-7.986359e-04,2.7610867e-08
0.0165,107.9783174,-8.088440e-04,2.8227213e-08
0.017,107.9774989,-8.185027e-04,2.8820075e-08
0.0175,107.9766712,-8.276899e-04,2.9395345e-08
0.018,107.9758347,-8.364697e-04,3.0041281e-08
0.0185,107.9749898,-8.448780e-04,3.0886103e-08
0.019,107.9741369,-8.529244e-04,3.2055691e-08
0.0195,107.9732763,-8.605967e-04,3.364482e-08
0.02,107.9724084,-8.678615e-04,3.5704729e-08
0.0205,107.9715338,-8.746637e-04,3.8243994e-08
0.021,107.9706528,-8.809284e-04,4.1238503e-08
0.0215,107.9697663,-8.865657e-04,4.4646624e-08
0.022,107.9688748,-8.914796e-04,4.8425762e-08
0.0225,107.9679792,-8.955763e-04,5.254645e-08
0.023,107.9670804,-8.987729e-04,5.7000943e-08
0.0235,107.9661794,-9.010045e-04,6.1804899e-08
0.024,107.9652772,-9.022291e-04,6.6992689e-08
0.0245,107.9643748,-9.024300e-04,7.2608286e-08
0.025,107.9634732,-9.016154e-04,7.8694175e-08
0.0255,107.9625734,-8.998154e-04,8.52805e-08
0.026,107.9616763,-8.970774e-04,9.2376087e-08
0.0265,107.9607828,-8.934601e-04,9.9962373e-08
