t,E_total,dE_step,contact_E
0,107.9994618,0,2.3208525e-07
0.0005,107.9989258,-5.360247e-04,1.4918957e-06
0.001,107.9983896,-5.362456e-04,4.5902754e-06
0.0015,107.9978518,-5.377619e-04,1.0472176e-05
0.002,107.9973119,-5.398613e-04,1.990363e-05
0.0025,107.9967696,-5.422973e-04,3.2906501e-05
0.003,107.9962245,-5.451057e-04,4.8599236e-05
0.0035,107.9956761,-5.483879e-04,6.5344114e-05
0.004,107.9951239,-5.522291e-04,8.113206e-05
0.0045,107.9945673,-5.566087e-04,9.4127101e-05
0.005,107.9940059,-5.614191e-04,0.00010311812
0.0055,107.9934394,-5.665329e-04,0.00010773417
0.006,107.9928675,-5.718763e-04,0.00010839733
0.0065,107.99229,-5.774781e-04,0.00010608282
0.007,107.9917065,-5.834774e-04,0.00010200242
0.0075,107.9911164,-5.900886e-04,9.7319155e-05
0.008,107.9905189,-5.975412e-04,9.2957483e-05
0.0085,107.9899129,-6.060170e-04,8.9520642e-05
0.009,107.9892716,-6.413186e-04,0.00010516103
0.0095,107.9886266,-6.449376e-04,0.00012466161
0.01,107.987968,-6.586212e-04,0.00012490728
0.0105,107.9872899,-6.781082e-04,0.00013277995
0.011,107.9866047,-6.852105e-04,0.00014877763
0.0115,107.9859093,-6.953788e-04,0.00016202004
0.012,107.9852029,-7.064510e-04,0.00016638346
0.0125,107.9844846,-7.182085e-04,0.00016158891
0.013,107.9837539,-7.307598e-04,0.00015039856
0.0135,107.9830101,-7.437380e-04,0.000136417
0.014,107.9822536,-7.565636e-04,0.00012276089
0.0145,107.9814848,-7.688027e-04,0.00011128364
0.015,107.9807045,-7.802892e-04,0.00010253556
0.0155,107.9799134,-7.910602e-04,9.6245343e-05
0.016,107.9791122,-8.012374e-04,9.1896764e-05
0.0165,107.9783013,-8.109384e-04,8.9099606e-05
0.017,107.977481,-8.202396e-04,8.7675231e-05
0.0175,107.9766518,-8.291778e-04,8.7556879e-05
0.018,107.9758141,-8.377667e-04,8.866447e-05
0.0185,107.9749681,-8.460107e-04,9.0857564e-05
0.019,107.9741142,-8.539081e-04,9.3975489e-05
0.0195,107.9732527,-8.614443e-04,9.7912714e-05
0.02,107.9723841,-8.685837e-04,0.00010267189
0.0205,107.9715089,-8.752666e-04,0.00010836666
0.021,107.9706274,-8.814139e-04,0.00011518052
0.0215,107.9697405,-8.869364e-04,0.00012330654
0.022,107.9688488,-8.917435e-04,0.00013289351
0.0225,107.967953,-8.957501e-04,0.00014401285
0.023,107.9670541,-8.988803e-04,0.00015664903
0.0235,107.9661531,-9.010702e-04,0.00017070844
0.024,107.9652508,-9.022722e-04,0.00018603938
0.0245,107.9643483,-9.024587e-04,0.00020245683
0.025,107.9634467,-9.016261e-04,0.00021976702
0.0255,107.9625469,-8.997956e-04,0.00023778813
0.026,107.9616499,-8.970110e-04,0.00025636431
0.0265,107.9607566,-8.933327e-04,0.00027537095
0.027,107.9598677,-8.888306e-04,0.00029471098
0.0275,107.9589842,-8.835758e-04,0.0003143033
0.028,107.9581065,-8.776335e-04,0.00033406614
0.0285,107.9572355,-8.710581e-04,0.00035389904
0.029,107.9563716,-8.638902e-04,0.00037366732
0.0295,107.9555154,-8.561554e-04,0.00039319291
0.03,107.9546676,-8.478657e-04,0.00041225403
0.0305,107.9538285,-8.390216e-04,0.00043059498
0.031,107.9529989,-8.296151e-04,0.0004479454
0.0315,107.9521793,-8.196345e-04,0.00046404636
0.032,107.9513702,-8.090678e-04,0.00047867882
0.0325,107.9505723,-7.979074e-04,0.00049168983
0.033,107.9497862,-7.861532e-04,0.0005030114
0.0335,107.9490123,-7.738162e-04,0.00051266907
0.034,107.9482514,-7.609196e-04,0.0005207789
0.0345,107.9475039,-7.475006e-04,0.0005275338
0.035,107.9467703,-7.336094e-04,0.00053318211
0.0355,107.946051,-7.193087e-04,0.00053800217
0.036,107.9453463,-7.046705e-04,0.0005422767
0.0365,107.9446566,-6.897736e-04,0.00054627046
0.037,107.9439819,-6.747002e-04,0.00055021327
0.0375,107.9433223,-6.595317e-04,0.00055428952
0.038,107.942678,-6.443463e-04,0.00055863416
0.0385,107.9420488,-6.292156e-04,0.0005633343
0.039,107.9414346,-6.142037e-04,0.00056843521
0.0395,107.9408352,-5.993656e-04,0.00057394904
0.04,107.9402504,-5.847479e-04,0.00057986471
0.0405,107.9396801,-5.703897e-04,0.00058615768
0.041,98.08963916,-9.850041e+00,2.0905186
0.0415,87.14091074,-1.094873e+01,13.714535
0.042,79.16089276,-7.980018e+00,18.235997
0.0425,73.1799737,-5.980919e+00,12.948041
0.043,68.66671348,-4.513260e+00,5.6185718
0.0435,65.27465328,-3.392060e+00,1.4356092
0.044,62.68697001,-2.587683e+00,0.19701321
0.0445,60.61627022,-2.070700e+00,0.034689161
