t,E_total,dE_step,contact_E
0,107.6880505,0,0
0.0005,107.6879122,-1.383394e-04,0
0.001,107.6877738,-1.383394e-04,0
0.0015,107.6876355,-1.383394e-04,0
0.002,107.6874972,-1.383394e-04,0
0.0025,107.6873588,-1.383394e-04,0
0.003,107.6872205,-1.383394e-04,0
0.0035,107.6870821,-1.383394e-04,0
0.004,107.6869438,-1.383394e-04,0
0.0045,107.6868055,-1.383394e-04,0
0.005,107.6866671,-1.383394e-04,0
0.0055,107.6865288,-1.383394e-04,0
0.006,107.6863904,-1.383394e-04,0
0.0065,107.6862521,-1.383394e-04,0
0.007,107.6861138,-1.383394e-04,0
0.0075,107.6859754,-1.383394e-04,0
0.008,107.6858371,-1.383394e-04,0
0.0085,107.6856987,-1.383394e-04,0
0.009,107.6849384,-7.603371e-04,4.3177642e-05
0.0095,107.68393,-1.008397e-03,0.00042927023
0.01,107.6829847,-9.453568e-04,0.00099038712
0.0105,107.6821169,-8.677126e-04,0.0014998718
0.011,107.6813616,-7.553762e-04,0.001830077
0.0115,107.680716,-6.455679e-04,0.0019383273
0.012,107.6801467,-5.693461e-04,0.0018370402
0.0125,107.6796192,-5.274691e-04,0.0015737259
0.013,107.6791148,-5.043493e-04,0.0012163864
0.0135,107.6786293,-4.855052e-04,0.0008378013
0.014,107.6781655,-4.638681e-04,0.00050017448
0.0145,107.6777765,-3.889149e-04,0.00023211703
0.015,107.6774139,-3.626930e-04,6.6594802e-05
0.0155,107.6770722,-3.416751e-04,2.7321407e-06
0.016,107.6768789,-1.932743e-04,0
0.0165,107.6767238,-1.551212e-04,0
0.017,107.676581,-1.428023e-04,0
0.0175,107.6764409,-1.401079e-04,0
0.018,107.6763013,-1.396039e-04,0
0.0185,107.6761622,-1.390845e-04,0
0.019,107.6760236,-1.386352e-04,0
0.0195,107.6758851,-1.384243e-04,0
0.02,107.675318,-5.670960e-04,1.1537991e-05
0.0205,107.6747147,-6.032878e-04,6.7189318e-05
0.021,107.6741162,-5.985883e-04,0.00016310502
0.0215,107.6735217,-5.944161e-04,0.00029049558
0.022,107.6729095,-6.122049e-04,0.00043563871
0.0225,107.6723072,-6.023282e-04,0.00060302287
0.023,107.6714818,-8.254264e-04,0.00063333997
0.0235,107.6706824,-7.993567e-04,0.00071075101
0.024,107.6698936,-7.888172e-04,0.00083813577
0.0245,107.6691114,-7.822279e-04,0.0010119866
0.025,107.6683378,-7.736125e-04,0.0012297002
0.0255,107.6675747,-7.630825e-04,0.0014915942
0.026,107.6668226,-7.520983e-04,0.0017976356
0.0265,107.6660813,-7.412974e-04,0.0021435654
0.027,107.6653507,-7.306004e-04,0.0025193449
0.0275,107.6646309,-7.197449e-04,0.0029098907
0.028,107.6636437,-9.872557e-04,0.0033178702
0.0285,107.6625941,-1.049619e-03,0.0038895062
0.029,107.6616319,-9.621270e-04,0.0043572603
0.0295,107.6605206,-1.111318e-03,0.0047053599
