t,E_total,dE_step,contact_E
0,107.9994618,0,2.0936095e-07
0.0005,107.9989288,-5.330493e-04,1.3078477e-06
0.001,107.9984004,-5.283347e-04,4.016164e-06
0.0015,107.9978765,-5.239494e-04,9.3741618e-06
0.002,107.9973567,-5.198286e-04,1.844463e-05
0.0025,107.9968407,-5.159802e-04,3.1565786e-05
0.003,107.9963283,-5.124051e-04,4.8018646e-05
0.0035,107.9958192,-5.090489e-04,6.6083173e-05
0.004,107.9953133,-5.058889e-04,8.3450482e-05
0.0045,107.9948104,-5.029060e-04,9.7875262e-05
0.005,107.9943103,-5.000836e-04,0.00010776338
0.0055,107.9938129,-4.974068e-04,0.00011250758
0.006,107.9933181,-4.948626e-04,0.00011250534
0.0065,107.9928256,-4.924394e-04,0.00010890712
0.007,107.9923355,-4.901267e-04,0.0001032232
0.0075,107.9918476,-4.879155e-04,9.6938673e-05
0.008,107.9913618,-4.857974e-04,9.1243625e-05
0.0085,107.990878,-4.837651e-04,8.6912399e-05
0.009,107.9903755,-5.025779e-04,8.9790004e-05
0.0095,107.9898775,-4.979204e-04,0.00011445626
0.01,107.9893889,-4.886030e-04,0.00012387965
0.0105,107.988888,-5.009334e-04,0.00012564524
0.011,107.9883942,-4.937512e-04,0.00014099923
0.0115,107.9879077,-4.865086e-04,0.00015812647
0.012,107.9874263,-4.814696e-04,0.00016904438
0.0125,107.9869487,-4.775725e-04,0.00017080634
0.013,107.9864744,-4.743159e-04,0.0001634968
0.0135,107.9860029,-4.714825e-04,0.00014930789
0.014,107.9855339,-4.689620e-04,0.00013201784
0.0145,107.9850672,-4.666888e-04,0.00011551537
0.015,107.9846026,-4.646179e-04,0.00010231846
0.0155,107.9841399,-4.627159e-04,9.3110666e-05
0.016,107.983679,-4.609566e-04,8.7290765e-05
0.0165,107.9832196,-4.593186e-04,8.3887651e-05
0.017,107.9827619,-4.577847e-04,8.2203635e-05
0.0175,107.9823055,-4.563403e-04,8.1959616e-05
0.018,107.9818505,-4.549736e-04,8.3098812e-05
0.0185,107.9813969,-4.536745e-04,8.5534313e-05
0.019,107.9809444,-4.524347e-04,8.903889e-05
0.0195,107.9804932,-4.512471e-04,9.3313796e-05
0.02,107.9800431,-4.501058e-04,9.8149514e-05
0.0205,107.9795941,-4.490057e-04,0.0001035555
0.021,107.9791461,-4.479427e-04,0.00010977964
0.0215,107.9786992,-4.469131e-04,0.00011721586
0.022,107.9782533,-4.459138e-04,0.00012625793
0.0225,107.9778084,-4.449422e-04,0.00013717152
0.023,107.9773644,-4.439961e-04,0.00015002979
0.0235,107.9769213,-4.430733e-04,0.00016471785
0.024,107.9764791,-4.421723e-04,0.0001809827
0.0245,107.9760378,-4.412915e-04,0.00019849882
0.025,107.9755974,-4.404296e-04,0.00021692801
0.0255,107.9751578,-4.395855e-04,0.0002359649
0.026,107.9747191,-4.387582e-04,0.00025536707
0.0265,107.9742811,-4.379466e-04,0.0002749705
0.027,107.973844,-4.371501e-04,0.00029468951
0.0275,107.9734076,-4.363679e-04,0.000314501
0.028,107.972972,-4.355992e-04,0.00033441523
0.0285,107.9725371,-4.348436e-04,0.00035443874
0.029,107.972103,-4.341005e-04,0.00037453779
0.0295,107.9716697,-4.333694e-04,0.00039460981
0.03,107.971237,-4.326497e-04,0.0004144687
0.0305,107.9708051,-4.319412e-04,0.00043384642
0.031,107.9703738,-4.312433e-04,0.0004524109
0.0315,107.9699433,-4.305557e-04,0.00046979816
0.032,107.9695134,-4.298781e-04,0.00048565448
0.0325,107.9690842,-4.292101e-04,0.00049968258
0.033,107.9686556,-4.285515e-04,0.00051168427
0.0335,107.9682277,-4.279019e-04,0.00052159187
0.034,107.9678005,-4.272611e-04,0.00052948212
0.0345,107.9673739,-4.266288e-04,0.00053556996
0.035,107.9669479,-4.260047e-04,0.00054018339
0.0355,107.9665225,-4.253887e-04,0.00054372461
0.036,107.9660977,-4.247805e-04,0.00054662479
0.0365,107.9656735,-4.241799e-04,0.00054930005
0.037,107.9652499,-4.235867e-04,0.00055211492
0.0375,107.9648269,-4.230007e-04,0.00055535703
0.038,107.9644045,-4.224218e-04,0.00055922444
0.0385,107.9639826,-4.218497e-04,0.00056382482
0.039,107.9635614,-4.212844e-04,0.0005691847
0.0395,107.9631406,-4.207256e-04,0.00057526574
0.04,107.9627205,-4.201731e-04,0.00058198523
0.0405,107.9623008,-4.196269e-04,0.0005892377
0.041,98.59789743,-9.364403e+00,1.8202627
0.0415,87.62044803,-1.097745e+01,13.346558
0.042,79.80856751,-7.811881e+00,18.102218
0.0425,74.14031397,-5.668254e+00,12.947285
0.043,69.93113885,-4.209175e+00,5.6300348
0.0435,66.72165189,-3.209487e+00,1.4400546
0.044,64.20285599,-2.518796e+00,0.20091948
0.0445,62.16711575,-2.035740e+00,0.039475804
0.045,60.47656213,-1.690554e+00,0.14976491
0.0455,59.03197257,-1.444590e+00,0.56005288
0.046,57.76737359,-1.264599e+00,1.1410017
0.0465,56.63747516,-1.129898e+00,1.4889689
0.047,55.61087802,-1.026597e+00,1.3799651
0.0475,54.66557741,-9.453006e-01,0.95940155
0.048,53.78594772,-8.796297e-01,0.51923791
0.0485,52.96071634,-8.252314e-01,0.23219405
0.049,52.18159926,-7.791171e-01,0.10008945
0.0495,51.4423799,-7.392194e-01,0.05607034
0.05,50.73828541,-7.040945e-01,0.054166319
0.0505,50.06556281,-6.727226e-01,0.080244317
0.051,49.42118967,-6.443731e-01,0.12483328
0.0515,48.80267542,-6.185143e-01,0.16928141
0.052,48.20792411,-5.947513e-01,0.1940797
0.0525,47.6351387,-5.727854e-01,0.1907746
0.053,47.08275362,-5.523851e-01,0.16384835
0.0535,46.5493867,-5.333669e-01,0.12423032
0.054,46.03380437,-5.155823e-01,0.082360762
0.0545,45.53489603,-4.989083e-01,0.045320098
0.055,45.05165484,-4.832412e-01,0.01749502
0.0555,44.58316295,-4.684919e-01,0.0023004518
0.056,44.13685385,-4.463091e-01,0
0.0565,43.7089773,-4.278765e-01,0
0.057,43.29620976,-4.127675e-01,0
0.0575,42.89761535,-3.985944e-01,0
0.058,42.51233699,-3.852784e-01,0
0.0585,42.13958891,-3.727481e-01,0
0.059,41.77864976,-3.609391e-01,0
0.0595,41.42885662,-3.497931e-01,0
0.06,41.08959943,-3.392572e-01,0
0.0605,40.7603161,-3.292833e-01,0
0.061,40.44048803,-3.198281e-01,0
0.0615,40.12963614,-3.108519e-01,0
0.062,39.82731722,-3.023189e-01,0
0.0625,39.53312071,-2.941965e-01,0
0.063,39.24666572,-2.864550e-01,0
0.0635,38.96759838,-2.790673e-01,0
0.064,38.69558949,-2.720089e-01,0
0.0645,38.43033229,-2.652572e-01,0
0.065,38.17154057,-2.587917e-01,0
0.0655,37.91894683,-2.525937e-01,0
0.066,37.67230076,-2.466461e-01,0
0.0665,37.43136772,-2.409330e-01,0
0.067,37.19592749,-2.354402e-01,0
0.0675,36.96577303,-2.301545e-01,0
0.068,36.74070946,-2.250636e-01,0
0.0685,36.52055304,-2.201564e-01,0
0.069,36.3051303,-2.154227e-01,0
0.0695,36.09427726,-2.108530e-01,0
0.07,35.88783867,-2.064386e-01,0
0.0705,35.68566735,-2.021713e-01,0
0.071,35.4876236,-1.980437e-01,0
0.0715,35.29357465,-1.940490e-01,0
0.072,35.10339413,-1.901805e-01,0
0.0725,34.91696167,-1.864325e-01,0
0.073,34.7341624,-1.827993e-01,0
0.0735,34.55488665,-1.792758e-01,0
0.074,34.37902953,-1.758571e-01,0
0.0745,34.20649067,-1.725389e-01,0
0.075,34.03717387,-1.693168e-01,0
0.0755,33.87098688,-1.661870e-01,0
0.076,33.70784114,-1.631457e-01,0
0.0765,33.54765153,-1.601896e-01,0
0.077,33.39033619,-1.573153e-01,0
0.0775,31.70227016,-1.688066e+00,0.86661146
0.078,30.48110203,-1.221168e+00,1.8633074
0.0785,29.586607,-8.944950e-01,1.6007276
0.079,28.91430488,-6.723021e-01,0.7379
