t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2
0,1.5890325,0.00016638118,5.2303011e-06,1.4426758e-05,0,nan,0.00016638118,7.2133788e-06,7.2133788e-06
0.0005,1.5888481,0.00062927849,3.9356739e-05,5.7689725e-05,0,nan,0.00062927849,2.8844862e-05,2.8844862e-05
0.001,1.5886655,0.0013343352,0.00012841951,0.00012976296,0,nan,0.0013343352,6.4881479e-05,6.4881479e-05
0.0015,1.5884845,0.0022385757,0.00028695782,0.00023062053,0,nan,0.0022385757,0.00011531026,0.00011531026
0.002,1.5883048,0.0033112849,0.00051889495,0.00036023653,0,nan,0.0033112849,0.00018011826,0.00018011826
0.0025,1.5881259,0.0045245381,0.00082813614,0.00051858507,0,nan,0.0045245381,0.00025929253,0.00025929253
0.003,1.5879465,0.0058428347,0.0012295351,0.00070564027,0,nan,0.0058428347,0.00035282014,0.00035282014
0.0035,1.5877655,0.007218774,0.0017532102,0.00092137629,0,nan,0.007218774,0.00046068815,0.00046068815
0.004,1.5875821,0.0085961365,0.0024407621,0.0011657673,2.7755576e-17,nan,0.0085961365,0.00058288364,0.00058288364
0.0045,1.5873962,0.009917186,0.0033366669,0.0014387874,0,nan,0.009917186,0.00071939372,0.00071939372
0.005,1.5872079,0.011129673,0.004479655,0.001740411,0,nan,0.011129673,0.00087020548,0.00087020548
0.0055,1.5870178,0.0121906,0.0058974236,0.0020706121,0,nan,0.0121906,0.001035306,0.001035306
0.006,1.5868267,0.013066473,0.007605316,0.002429365,0,nan,0.013066473,0.0012146825,0.0012146825
0.0065,1.5866349,0.01373169,0.0096075086,0.0028166439,0,nan,0.01373169,0.001408322,0.001408322
0.007,1.5864431,0.014167084,0.011898686,0.0032324232,0,nan,0.014167084,0.0016162116,0.0016162116
0.0075,1.5862517,0.014359743,0.014464922,0.0036766772,0,nan,0.014359743,0.0018383386,0.0018383386
0.008,1.5860616,0.014303994,0.017283664,0.0041493801,0,nan,0.014303994,0.00207469,0.00207469
0.0085,1.5858733,0.014002685,0.020323485,0.0046505062,0,nan,0.014002685,0.0023252531,0.0023252531
0.009,1.5856877,0.013467832,0.023544389,0.00518003,0,nan,0.013467832,0.002590015,0.002590015
0.0095,1.5855056,0.012720214,0.026898981,0.0057379257,0,nan,0.012720214,0.0028689628,0.0028689628
0.01,1.5853274,0.011788093,0.030334325,0.0063241678,0,nan,0.011788093,0.0031620839,0.0031620839
0.0105,1.5851536,0.010705501,0.033793968,0.0069387306,0,nan,0.010705501,0.0034693653,0.0034693653
0.011,1.5849847,0.0095105727,0.037219732,0.0075815886,0,nan,0.0095105727,0.0037907943,0.0037907943
0.0115,1.5848207,0.0082441161,0.040553069,0.0082527162,0,nan,0.0082441161,0.0041263581,0.0041263581
0.012,1.5846619,0.0069483692,0.043736103,0.0089520878,0,nan,0.0069483692,0.0044760439,0.0044760439
0.0125,1.584508,0.0056657875,0.046712593,0.009679678,0,nan,0.0056657875,0.004839839,0.004839839
0.013,1.584359,0.0044377332,0.049428996,0.010435461,0,nan,0.0044377332,0.0052177306,0.0052177306
0.0135,1.5842146,0.0033030678,0.051835707,0.011219412,0,nan,0.0033030678,0.0056097059,0.0056097059
0.014,1.5840743,0.0022967539,0.053888387,0.012031505,0,nan,0.0022967539,0.0060157523,0.0060157523
0.0145,1.5839377,0.0014486133,0.055549246,0.012871714,0,nan,0.0014486133,0.0064358569,0.0064358569
0.015,1.5838039,0.00078234807,0.056788155,0.013740014,0,nan,0.00078234807,0.0068700072,0.0068700072
0.0155,1.5836725,0.00031486646,0.057583509,0.01463638,0,nan,0.00031486646,0.0073181902,0.0073181902
0.016,1.5835427,5.5898092e-05,0.057922822,0.015560787,0,nan,5.5898092e-05,0.0077803935,0.0077803935
0.0165,1.5834138,7.8596549e-06,0.057803048,0.016513208,0,nan,7.8596549e-06,0.0082566042,0.0082566042
0.017,1.583285,0.00016594279,0.057230645,0.017493619,0,nan,0.00016594279,0.0087468097,0.0087468097
0.0175,1.5831556,0.00051841478,0.056221351,0.018501994,0,nan,0.00051841478,0.0092509972,0.0092509972
0.018,1.5830252,0.0010471351,0.054799674,0.019538308,0,nan,0.0010471351,0.0097691542,0.0097691542
0.0185,1.582893,0.0017282863,0.052998105,0.020602536,0,nan,0.0017282863,0.010301268,0.010301268
0.019,1.5827586,0.0025333007,0.050856055,0.021694652,0,nan,0.0025333007,0.010847326,0.010847326
0.0195,1.5826217,0.0034299467,0.048418604,0.022814631,0,nan,0.0034299467,0.011407315,0.011407315
0.02,1.5824821,0.0043835237,0.045735093,0.023962447,0,nan,0.0043835237,0.011981224,0.011981224
0.0205,1.5823395,0.0053581143,0.04285766,0.025138076,0,nan,0.0053581143,0.012569038,0.012569038
0.021,1.5821941,0.006317845,0.039839755,0.026341492,0,nan,0.006317845,0.013170746,0.013170746
0.0215,1.5820458,0.0072281129,0.036734709,0.027572671,0,nan,0.0072281129,0.013786335,0.013786335
0.022,1.581895,0.008056742,0.033594379,0.028831586,0,nan,0.008056742,0.014415793,0.014415793
0.0225,1.5817419,0.0087750348,0.030467921,0.030118212,2.7755576e-17,nan,0.0087750348,0.015059106,0.015059106
0.023,1.5815869,0.0093586861,0.027400702,0.031432526,2.7755576e-17,nan,0.0093586861,0.015716263,0.015716263
0.0235,1.5814306,0.0097885307,0.02443339,0.0327745,5.5511151e-17,nan,0.0097885307,0.01638725,0.01638725
0.024,1.5812733,0.010051099,0.021601231,0.034144111,0,nan,0.010051099,0.017072055,0.017072055
0.0245,1.5811157,0.010138964,0.01893353,0.035541333,0,nan,0.010138964,0.017770666,0.017770666
0.025,1.5809584,0.010050875,0.016453343,0.036966141,0,nan,0.010050875,0.01848307,0.01848307
0.0255,1.5808017,0.0097916672,0.014177371,0.03841851,0,nan,0.0097916672,0.019209255,0.019209255
0.026,1.5806464,0.0093719765,0.012116059,0.039898415,0,nan,0.0093719765,0.019949207,0.019949207
0.0265,1.5804928,0.0088077498,0.01027388,0.041405831,0,nan,0.0088077498,0.020702915,0.020702915
0.027,1.5803413,0.0081195902,0.0086498023,0.042940732,0,nan,0.0081195902,0.021470366,0.021470366
0.0275,1.5801923,0.0073319545,0.0072378955,0.044503095,0,nan,0.0073319545,0.022251547,0.022251547
0.028,1.580046,0.0064722341,0.006028079,0.046092893,0,nan,0.0064722341,0.023046447,0.023046447
0.0285,1.5799025,0.0055697545,0.0050069625,0.047710103,0,nan,0.0055697545,0.023855051,0.023855051
0.029,1.5797619,0.0046547275,0.0041587562,0.049354698,0,nan,0.0046547275,0.024677349,0.024677349
0.0295,1.5796241,0.0037571952,0.0034662117,0.051026655,0,nan,0.0037571952,0.025513327,0.025513327
0.03,1.5794889,0.0029060008,0.0029115588,0.052725947,0,nan,0.0029060008,0.026362974,0.026362974
0.0305,1.5793562,0.0021278217,0.0024774031,0.054452551,0,nan,0.0021278217,0.027226276,0.027226276
0.031,1.5792256,0.0014462981,0.0021475491,0.056206441,0,nan,0.0014462981,0.028103221,0.028103221
0.0315,1.5790967,0.00088128227,0.0019077224,0.057987593,0,nan,0.00088128227,0.028993797,0.028993797
0.032,1.578969,0.00044823438,0.0017461628,0.059795982,0,nan,0.00044823438,0.029897991,0.029897991
0.0325,1.5788421,0.00015778105,0.0016540707,0.061631582,0,nan,0.00015778105,0.030815791,0.030815791
0.033,1.5787155,1.5449006e-05,0.0016258936,0.063494369,0,nan,1.5449006e-05,0.031747185,0.031747185
0.0335,1.5785886,2.1579301e-05,0.0016594451,0.065384319,0,nan,2.1579301e-05,0.03269216,0.03269216
0.034,1.578461,0.00017142151,0.0017558568,0.067301406,0,nan,0.00017142151,0.033650703,0.033650703
0.0345,1.5783321,0.00045540095,0.0019193707,0.069245606,0,nan,0.00045540095,0.034622803,0.034622803
0.035,1.5782015,0.00085954611,0.0021569828,0.071216894,0,nan,0.00085954611,0.035608447,0.035608447
0.0355,1.5780689,0.0013660585,0.002477956,0.073215245,0,nan,0.0013660585,0.036607623,0.036607623
