t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3,KE_body4
0,-0.00022579819,0.00016878183,4.102357e-06,5.1726904e-05,0,0.34999755,0.00016878183,7.2177075e-06,7.2177075e-06,7.2177075e-06,3.0073781e-05
0.0005,-0.00044935938,0.00064535045,3.2013859e-05,0.00020690762,0,0.34999264,0.00064535045,2.887083e-05,2.887083e-05,2.887083e-05,0.00012029513
0.001,-0.00067187798,0.001381656,0.00010842318,0.00046554213,0,0.34998528,0.001381656,6.4959368e-05,6.4959368e-05,6.4959368e-05,0.00027066403
0.0015,-0.00089362338,0.0023360334,0.00025046375,0.00082763046,0,0.34997547,0.0023360334,0.00011548332,0.00011548332,0.00011548332,0.0004811805
0.002,-0.0011145386,0.0034787475,0.00046376577,0.0012931726,0,0.34996321,0.0034787475,0.00018044269,0.00018044269,0.00018044269,0.00075184453
0.0025,-0.0013347649,0.0047886235,0.00074699134,0.0018621685,0,0.3499485,0.0047886235,0.00025983747,0.00025983747,0.00025983747,0.0010826561
0.003,-0.0015548782,0.0062449328,0.0011007715,0.0025346183,0,0.34993133,0.0062449328,0.00035366767,0.00035366767,0.00035366767,0.0014736153
0.0035,-0.0017758058,0.0078197613,0.0015358134,0.0033105218,0,0.34991171,0.0078197613,0.00046193328,0.00046193328,0.00046193328,0.001924722
0.004,-0.0019985436,0.0094745506,0.0020764248,0.0041898792,0,0.34988964,0.0094745506,0.00058463431,0.00058463431,0.00058463431,0.0024359763
0.0045,-0.0022238524,0.011161708,0.0027585062,0.0051726904,0,0.34986511,0.011161708,0.00072177075,0.00072177075,0.00072177075,0.0030073781
0.005,-0.002452074,0.01282971,0.0036236122,0.0062589554,0,0.34983813,0.01282971,0.00087334261,0.00087334261,0.00087334261,0.0036389275
0.0055,-0.0026831218,0.014428959,0.0047119433,0.0074486741,0,0.3498087,0.014428959,0.0010393499,0.0010393499,0.0010393499,0.0043306245
0.006,-0.0029166072,0.015916042,0.0060568528,0.0087418467,0,0.34977682,0.015916042,0.0012197926,0.0012197926,0.0012197926,0.005082469
0.0065,-0.0031520151,0.017255299,0.0076821734,0.010138473,0,0.34974249,0.017255299,0.0014146707,0.0014146707,0.0014146707,0.0058944611
0.007,-0.003388843,0.01841808,0.0096021826,0.011638553,0,0.3497057,0.01841808,0.0016239842,0.0016239842,0.0016239842,0.0067666008
0.0075,-0.0036266562,0.019380951,0.011823049,0.013242087,0,0.34966646,0.019380951,0.0018477331,0.0018477331,0.0018477331,0.007698888
0.008,-0.003865064,0.020124203,0.014344408,0.014949075,0,0.34962477,0.020124203,0.0020859175,0.0020859175,0.0020859175,0.0086913228
0.0085,-0.0041036532,0.020631463,0.017160174,0.016759517,0,0.34958062,0.020631463,0.0023385372,0.0023385372,0.0023385372,0.0097439051
0.009,-0.0043419289,0.02089047,0.020258424,0.018673412,0,0.34953402,0.02089047,0.0026055924,0.0026055924,0.0026055924,0.010856635
0.0095,-0.0045792927,0.020894462,0.023620784,0.020690761,0,0.34948497,0.020894462,0.002887083,0.002887083,0.002887083,0.012029512
0.01,-0.0048150679,0.02064343,0.027221935,0.022811565,0,0.34943347,0.02064343,0.003183009,0.003183009,0.003183009,0.013262538
0.0105,-0.0050485543,0.020144684,0.031029749,0.025035821,0,0.34937952,0.020144684,0.0034933704,0.0034933704,0.0034933704,0.01455571
0.011,-0.0052790885,0.01941256,0.035006153,0.027363532,0,0.34932311,0.01941256,0.0038181673,0.0038181673,0.0038181673,0.01590903
0.0115,-0.005506088,0.018467469,0.039108523,0.029794697,0,0.34926425,0.018467469,0.0041573995,0.0041573995,0.0041573995,0.017322498
0.012,-0.0057290703,0.017334661,0.043291178,0.032329315,0,0.34920294,0.017334661,0.0045110672,0.0045110672,0.0045110672,0.018796113
0.0125,-0.0059476496,0.016043081,0.047506653,0.034967387,0,0.34913917,0.016043081,0.0048791703,0.0048791703,0.0048791703,0.020329876
0.013,-0.0061615244,0.014624484,0.051706538,0.037708913,0,0.34907295,0.014624484,0.0052617088,0.0052617088,0.0052617088,0.021923787
0.0135,-0.006370466,0.013112809,0.055841952,0.040553893,0,0.34900428,0.013112809,0.0056586827,0.0056586827,0.0056586827,0.023577844
0.014,-0.0065743174,0.011543663,0.059863837,0.043502326,0,0.34893316,0.011543663,0.006070092,0.006070092,0.006070092,0.02529205
0.0145,-0.0067730007,0.0099537194,0.063723285,0.046554213,0,0.34885959,0.0099537194,0.0064959367,0.0064959367,0.0064959367,0.027066403
0.015,-0.0069665294,0.0083799532,0.06737207,0.049709555,0,0.34878356,0.0083799532,0.0069362169,0.0069362169,0.0069362169,0.028900904
