t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3,KE_body4
0,-0.00022580466,0.00016987214,4.2056065e-06,5.1726904e-05,0,0.34999755,0.00016987214,7.2177075e-06,7.2177075e-06,7.2177075e-06,3.0073781e-05
0.0005,-0.00044740376,0.00065068822,3.30059e-05,0.00020690762,0,0.34999264,0.00065068822,2.887083e-05,2.887083e-05,2.887083e-05,0.00012029513
0.001,-0.0006652185,0.0013943492,0.00011221462,0.00046554213,0,0.34998528,0.0013943492,6.4959368e-05,6.4959368e-05,6.4959368e-05,0.00027066403
0.0015,-0.00087961768,0.0023582632,0.00025967951,0.00082763046,0,0.34997547,0.0023582632,0.00011548332,0.00011548332,0.00011548332,0.0004811805
0.002,-0.0010909242,0.0035123641,0.00048058321,0.0012931726,0,0.34996321,0.0035123641,0.00018044269,0.00018044269,0.00018044269,0.00075184453
0.0025,-0.0012994211,0.0048364506,0.00077196223,0.0018621685,0,0.3499485,0.0048364506,0.00025983747,0.00025983747,0.00025983747,0.0010826561
0.003,-0.0015053562,0.0063116943,0.0011324278,0.0025346183,0,0.34993133,0.0063116943,0.00035366767,0.00035366767,0.00035366767,0.0014736153
0.0035,-0.001708947,0.0079119465,0.0015713948,0.0033105218,0,0.34991171,0.0079119465,0.00046193328,0.00046193328,0.00046193328,0.001924722
0.004,-0.0019103841,0.0095992666,0.0021134251,0.0041898792,0,0.34988964,0.0095992666,0.00058463431,0.00058463431,0.00058463431,0.0024359763
0.0045,-0.0021098349,0.011325161,0.0027963095,0.0051726904,0,0.34986511,0.011325161,0.00072177075,0.00072177075,0.00072177075,0.0030073781
0.005,-0.0023074463,0.013036084,0.0036645002,0.0062589554,0,0.34983813,0.013036084,0.00087334261,0.00087334261,0.00087334261,0.0036389275
0.0055,-0.0025033475,0.014680164,0.0047611334,0.0074486741,0,0.3498087,0.014680164,0.0010393499,0.0010393499,0.0010393499,0.0043306245
0.006,-0.0026976518,0.016212249,0.0061217293,0.0087418467,0,0.34977682,0.016212249,0.0012197926,0.0012197926,0.0012197926,0.005082469
0.0065,-0.0028904592,0.017595816,0.0077712146,0.010138473,0,0.34974249,0.017595816,0.0014146707,0.0014146707,0.0014146707,0.0058944611
0.007,-0.0030818575,0.018801996,0.0097241182,0.011638553,0,0.3497057,0.018801996,0.0016239842,0.0016239842,0.0016239842,0.0067666008
0.0075,-0.0032719243,0.019807216,0.011986539,0.013242087,0,0.34966646,0.019807216,0.0018477331,0.0018477331,0.0018477331,0.007698888
0.008,-0.0034607278,0.020591156,0.014558191,0.014949075,0,0.34962477,0.020591156,0.0020859175,0.0020859175,0.0020859175,0.0086913228
0.0085,-0.0036483284,0.021136132,0.017433374,0.016759517,0,0.34958062,0.021136132,0.0023385372,0.0023385372,0.0023385372,0.0097439051
0.009,-0.0038347795,0.021428042,0.020600678,0.018673412,0,0.34953402,0.021428042,0.0026055924,0.0026055924,0.0026055924,0.010856635
0.0095,-0.0040201284,0.02145821,0.024041974,0.020690761,0,0.34948497,0.02145821,0.002887083,0.002887083,0.002887083,0.012029512
0.01,-0.004204417,0.021225112,0.027731586,0.022811565,0,0.34943347,0.021225112,0.003183009,0.003183009,0.003183009,0.013262538
0.0105,-0.0043876825,0.020735236,0.03163631,0.025035821,0,0.34937952,0.020735236,0.0034933704,0.0034933704,0.0034933704,0.01455571
0.011,-0.0045699581,0.020002796,0.035716442,0.027363532,0,0.34932311,0.020002796,0.0038181673,0.0038181673,0.0038181673,0.01590903
0.0115,-0.0047512734,0.019048557,0.039927519,0.029794697,0,0.34926425,0.019048557,0.0041573995,0.0041573995,0.0041573995,0.017322498
0.012,-0.0049316547,0.017898314,0.044222179,0.032329315,0,0.34920294,0.017898314,0.0045110672,0.0045110672,0.0045110672,0.018796113
0.0125,-0.0051111259,0.016581541,0.048551634,0.034967387,0,0.34913917,0.016581541,0.0048791703,0.0048791703,0.0048791703,0.020329876
0.013,-0.0052897081,0.015130469,0.05286652,0.037708913,0,0.34907295,0.015130469,0.0052617088,0.0052617088,0.0052617088,0.021923787
0.0135,-0.0054674206,0.013579584,0.057117177,0.040553893,0,0.34900428,0.013579584,0.0056586827,0.0056586827,0.0056586827,0.023577844
0.014,-0.0056442808,0.011965278,0.061253689,0.043502326,0,0.34893316,0.011965278,0.006070092,0.006070092,0.006070092,0.02529205
0.0145,-0.0058203042,0.010325394,0.065225999,0.046554213,0,0.34885959,0.010325394,0.0064959367,0.0064959367,0.0064959367,0.027066403
0.015,-0.0059955054,0.0086984751,0.068984352,0.049709555,0,0.34878356,0.0086984751,0.0069362169,0.0069362169,0.0069362169,0.028900904
0.0155,-0.0061698973,0.0071227247,0.072480092,0.052968349,0,0.34870508,0.0071227247,0.0073909325,0.0073909325,0.0073909325,0.030795552
0.016,-0.006343492,0.0056348139,0.075666726,0.056330598,0,0.34862415,0.0056348139,0.0078600835,0.0078600835,0.0078600835,0.032750348
0.0165,-0.0065163005,0.0042687274,0.078501054,0.059796301,0,0.34854076,0.0042687274,0.0083436699,0.0083436699,0.0083436699,0.034765291
0.017,-0.006688333,0.0030548104,0.080944205,0.063365457,0,0.34845492,0.0030548104,0.0088416917,0.0088416917,0.0088416917,0.036840382
0.0175,-0.0068595989,0.0020190793,0.082962505,0.067038067,0,0.34836663,0.0020190793,0.0093541489,0.0093541489,0.0093541489,0.03897562
0.018,-0.0070301071,0.0011827699,0.084528163,0.070814131,0,0.34827589,0.0011827699,0.0098810416,0.0098810416,0.0098810416,0.041171007
0.0185,-0.0071998659,0.00056204488,0.085619818,0.074693649,0,0.3481827,0.00056204488,0.01042237,0.01042237,0.01042237,0.04342654
0.019,-0.007368883,0.00016778178,0.086223004,0.078676621,0,0.34808705,0.00016778178,0.010978133,0.010978133,0.010978133,0.045742221
0.0195,-0.0075371657,5.4024306e-06,0.086330529,0.082763046,0,0.34798895,5.4024306e-06,0.011548332,0.011548332,0.011548332,0.04811805
0.02,-0.007704721,7.4755877e-05,0.085942742,0.086952925,0,0.3478884,7.4755877e-05,0.012132966,0.012132966,0.012132966,0.050554026
0.0205,-0.0078715553,0.00037009948,0.085067626,0.091246258,0,0.34778539,0.00037009948,0.012732036,0.012732036,0.012732036,0.05305015
0.021,-0.012905299,0.00083538364,0.083921301,0.088782258,4.7907167e-05,0.34767993,0.00083538364,0.0098198407,0.013345541,0.010010454,0.055606422
0.0215,-0.01702461,0.0016551278,0.082844451,0.082809982,9.2647194e-05,0.34757203,0.0016551278,0.0050836995,0.013973482,0.0055299599,0.058222841
0.022,-0.020113773,0.0025950262,0.082122412,0.078918027,0.00010493243,0.34746166,0.0025950262,0.0015098828,0.014615858,0.0018928794,0.060899407
0.0225,-0.022557186,0.003188863,0.081651832,0.079109049,9.6844756e-05,0.34734885,0.003188863,5.5367794e-05,0.015272669,0.0001448908,0.063636121
0.023,-0.024551761,0.0034045194,0.080902452,0.083006945,8.1521837e-05,0.34723358,0.0034045194,0.00038620981,0.015943916,0.00024383677,0.066432983
0.0235,-0.029290331,0.0033124124,0.07928844,0.085531878,6.2627136e-05,0.34711586,0.0033124124,0.0014105939,0.013561698,0.0012695945,0.069289992
0.024,-0.036568044,0.0033563433,0.07683349,0.08097931,7.897659e-05,0.34699569,0.0033563433,0.0021750714,0.0043525498,0.0022445403,0.072207149
0.0245,-0.041050962,0.0043012133,0.074544979,0.080351091,8.2218298e-05,0.34687306,0.0043012133,0.0023049547,0.00022803413,0.0026336486,0.075184453
0.025,-0.043903654,0.0046458336,0.072968449,0.082850683,5.2852561e-05,0.34674798,0.0046458336,0.0019836463,0.00029088177,0.0023542496,0.078221905
0.0255,-0.045603952,0.0040535278,0.071538016,0.085817364,1.9779427e-05,0.34662045,0.0040535278,0.0017065102,0.00076323675,0.002028113,0.081319505
0.026,-0.046762184,0.0037516464,0.069454179,0.088406183,1.0168969e-06,0.34649047,0.0037516464,0.001494278,0.00065301972,0.0017816341,0.084477252
0.0265,-0.047541223,0.0041788143,0.066665869,0.091065874,0,0.34635804,0.0041788143,0.0012981953,0.00050298034,0.0015695522,0.087695146
0.027,-0.048203704,0.0050681654,0.063454454,0.09382719,2.1352663e-07,0.34622315,0.0050681654,0.0011075331,0.00038474618,0.0013617226,0.090973188
0.0275,-0.04875019,0.0059213803,0.06012551,0.096887707,7.0577657e-06,0.34608581,0.0059213803,0.00093275373,0.00047736668,0.0011662088,0.094311378
0.028,-0.049206286,0.0066429702,0.056770048,0.10022694,1.2789567e-05,0.34594602,0.0066429702,0.00077592386,0.00075218035,0.0009891224,0.097709715
0.0285,-0.049600464,0.0073457055,0.053428005,0.10374587,1.3563563e-05,0.34580377,0.0073457055,0.00063381602,0.0011160383,0.00082781891,0.1011682
0.029,-0.049950347,0.0080418134,0.050214023,0.10729092,1.0687793e-05,0.34565907,0.0080418134,0.00050551676,0.0014182204,0.00068034792,0.10468683
0.0295,-0.050267011,0.008627764,0.047258557,0.11075398,6.5738379e-06,0.34551192,0.008627764,0.00039170746,0.0015495228,0.0005471422,0.10826561
0.03,-0.0505577,0.0090140752,0.044597757,0.11413439,3.1024794e-06,0.34536232,0.0090140752,0.00029257696,0.0015086575,0.00042861415,0.11190454
0.0305,-0.050827356,0.009206487,0.042142434,0.11750084,1.2155322e-06,0.34521027,0.009206487,0.00020791419,0.0013646853,0.00032462041,0.11560362
0.031,-0.051079499,0.0092935446,0.03973375,0.12092273,3.8947343e-07,0.34505576,0.0092935446,0.00013764375,0.0011872188,0.00023502755,0.11936284
0.0315,-0.051316743,0.0093863062,0.037224953,0.12443705,1.5818199e-07,0.3448988,0.0093863062,8.1809232e-05,0.0010131766,0.00015985569,0.12318221
0.032,-0.051541089,0.0095596295,0.034538277,0.12805358,1.1444896e-07,0.34473939,0.0095596295,4.0426854e-05,0.00085229658,9.9133914e-05,0.12706173
0.0325,-0.051754136,0.0098217845,0.031681659,0.13177184,6.8680223e-08,0.34457752,0.0098217845,1.3483019e-05,0.00070411396,5.2855044e-05,0.13100139
0.033,-0.051957187,0.010117195,0.028733614,0.13559261,3.9412598e-08,0.3444132,0.010117195,9.7168342e-07,0.00056941995,2.1009678e-05,0.1350012
0.0335,-0.05215133,0.010353617,0.02581131,0.13952013,1.9065767e-07,0.34424643,0.010353617,2.8955693e-06,0.00045246645,3.5985282e-06,0.13906116
0.034,-0.052337484,0.010433989,0.023035294,0.14356255,6.1950059e-07,0.34407721,0.010433989,1.9256007e-05,0.00036139535,6.2367664e-07,0.14318127
0.0345,-0.052516427,0.010291227,0.020500825,0.14772291,1.4111204e-06,0.34390554,0.010291227,5.0052139e-05,0.00029924471,1.2084808e-05,0.14736153
0.035,-0.05268884,0.009901618,0.018261332,0.15200031,2.4500183e-06,0.34373141,0.009901618,9.5283492e-05,0.00026511383,3.7981254e-05,0.15160193
0.0355,-0.052855317,0.0092850514,0.016325738,0.15639136,3.529784e-06,0.34355483,0.0092850514,0.00015495023,0.0002556164,7.8313019e-05,0.15590248
0.036,-0.053016381,0.0084939069,0.014667446,0.16089163,4.4654858e-06,0.3433758,0.0084939069,0.00022905246,0.00026631786,0.00013308025,0.16026318
0.0365,-0.053172496,0.0075964951,0.013239813,0.16549586,5.1197964e-06,0.34319431,0.0075964951,0.00031759013,0.0002919638,0.00020228294,0.16468403
0.037,-0.053324075,0.0066609409,0.01199207,0.17019753,5.4252428e-06,0.34301037,0.0066609409,0.0004205632,0.00032602839,0.00028592104,0.16916502
0.0375,-0.053471488,0.0057435784,0.010881056,0.17498885,5.3826297e-06,0.34282398,0.0057435784,0.00053797169,0.00036072064,0.00038399455,0.17370616
0.038,-0.053615065,0.0048833294,0.0098769684,0.17986171,5.0435829e-06,0.34263514,0.0048833294,0.00066981559,0.00038794577,0.00049650348,0.17830745
0.0385,-0.053755105,0.0041012872,0.0089639226,0.18480927,4.4872491e-06,0.34244385,0.0041012872,0.00081609491,0.00040083731,0.00062344782,0.18296889
0.039,-0.054080663,0.0033756761,0.0081548981,0.18957847,1.2551414e-05,0.3422501,0.0033756761,0.0007256874,0.00039748222,0.00076482758,0.18769047
0.0395,-0.054384829,0.0027087955,0.0074816674,0.1941935,2.761166e-05,0.3420539,0.0027087955,0.00042286131,0.00037779559,0.00092064275,0.1924722
0.04,-0.054665243,0.0021073627,0.0069668043,0.19886911,3.3415623e-05,0.34185525,0.0021073627,0.00014848526,0.00033977508,0.0010667684,0.19731408
