t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0,-0.00019471953,0.00016638118,5.2303011e-06,2.1653123e-05,0,nan,0.00016638118,7.2177075e-06,7.2177075e-06,7.2177075e-06
0.0005,-0.00038632854,0.00062927849,3.9356739e-05,8.661249e-05,0,nan,0.00062927849,2.887083e-05,2.887083e-05,2.887083e-05
0.001,-0.00057609108,0.0013343352,0.00012841951,0.0001948781,0,nan,0.0013343352,6.4959368e-05,6.4959368e-05,6.4959368e-05
0.0015,-0.00076423749,0.0022385757,0.00028695782,0.00034644996,0,nan,0.0022385757,0.00011548332,0.00011548332,0.00011548332
0.002,-0.00095093728,0.0033112849,0.00051889495,0.00054132806,0,nan,0.0033112849,0.00018044269,0.00018044269,0.00018044269
0.0025,-0.0011368489,0.0045245381,0.00082813614,0.00077951241,0,nan,0.0045245381,0.00025983747,0.00025983747,0.00025983747
0.003,-0.0013230828,0.0058428347,0.0012295351,0.001061003,0,nan,0.0058428347,0.00035366767,0.00035366767,0.00035366767
0.0035,-0.0015107938,0.007218774,0.0017532102,0.0013857998,0,nan,0.007218774,0.00046193328,0.00046193328,0.00046193328
0.004,-0.0017007546,0.0085961365,0.0024407621,0.0017539029,0,nan,0.0085961365,0.00058463431,0.00058463431,0.00058463431
0.0045,-0.0018931611,0.009917186,0.0033366669,0.0021653123,0,nan,0.009917186,0.00072177075,0.00072177075,0.00072177075
0.005,-0.0020877096,0.011129673,0.004479655,0.0026200278,0,nan,0.011129673,0.00087334261,0.00087334261,0.00087334261
0.0055,-0.0022838263,0.0121906,0.0058974236,0.0031180496,0,nan,0.0121906,0.0010393499,0.0010393499,0.0010393499
0.006,-0.0024808843,0.013066473,0.007605316,0.0036593777,0,nan,0.013066473,0.0012197926,0.0012197926,0.0012197926
0.0065,-0.0026783057,0.01373169,0.0096075086,0.004244012,0,nan,0.01373169,0.0014146707,0.0014146707,0.0014146707
0.007,-0.0028755451,0.014167084,0.011898686,0.0048719526,0,nan,0.014167084,0.0016239842,0.0016239842,0.0016239842
0.0075,-0.0030720183,0.014359743,0.014464922,0.0055431994,0,nan,0.014359743,0.0018477331,0.0018477331,0.0018477331
0.008,-0.003267051,0.014303994,0.017283664,0.0062577524,0,nan,0.014303994,0.0020859175,0.0020859175,0.0020859175
0.0085,-0.0034598846,0.014002685,0.020323485,0.0070156117,0,nan,0.014002685,0.0023385372,0.0023385372,0.0023385372
0.009,-0.0036497355,0.013467832,0.023544389,0.0078167772,0,nan,0.013467832,0.0026055924,0.0026055924,0.0026055924
0.0095,-0.0038358708,0.012720214,0.026898981,0.008661249,0,nan,0.012720214,0.002887083,0.002887083,0.002887083
0.01,-0.004017668,0.011788093,0.030334325,0.009549027,0,nan,0.011788093,0.003183009,0.003183009,0.003183009
0.0105,-0.0041946428,0.010705501,0.033793968,0.010480111,0,nan,0.010705501,0.0034933704,0.0034933704,0.0034933704
0.011,-0.0043664491,0.0095105727,0.037219732,0.011454502,0,nan,0.0095105727,0.0038181673,0.0038181673,0.0038181673
0.0115,-0.0045328687,0.0082441161,0.040553069,0.012472199,0,nan,0.0082441161,0.0041573995,0.0041573995,0.0041573995
0.012,-0.0046938041,0.0069483692,0.043736103,0.013533202,0,nan,0.0069483692,0.0045110672,0.0045110672,0.0045110672
0.0125,-0.00484928,0.0056657875,0.046712593,0.014637511,0,nan,0.0056657875,0.0048791703,0.0048791703,0.0048791703
0.013,-0.0049994493,0.0044377332,0.049428996,0.015785126,0,nan,0.0044377332,0.0052617088,0.0052617088,0.0052617088
0.0135,-0.0051445962,0.0033030678,0.051835707,0.016976048,0,nan,0.0033030678,0.0056586827,0.0056586827,0.0056586827
0.014,-0.00528513,0.0022967539,0.053888387,0.018210276,0,nan,0.0022967539,0.006070092,0.006070092,0.006070092
0.0145,-0.0054215686,0.0014486133,0.055549246,0.01948781,0,nan,0.0014486133,0.0064959367,0.0064959367,0.0064959367
0.015,-0.0055545153,0.00078234807,0.056788155,0.020808651,0,nan,0.00078234807,0.0069362169,0.0069362169,0.0069362169
0.0155,-0.005684632,0.00031486646,0.057583509,0.022172797,0,nan,0.00031486646,0.0073909325,0.0073909325,0.0073909325
0.016,-0.0058126149,5.5898092e-05,0.057922822,0.02358025,0,nan,5.5898092e-05,0.0078600835,0.0078600835,0.0078600835
0.0165,-0.0059391701,7.8596549e-06,0.057803048,0.02503101,0,nan,7.8596549e-06,0.0083436699,0.0083436699,0.0083436699
0.017,-0.0060649928,0.00016594279,0.057230645,0.026525075,0,nan,0.00016594279,0.0088416917,0.0088416917,0.0088416917
0.0175,-0.0061907456,0.00051841478,0.056221351,0.028062447,0,nan,0.00051841478,0.0093541489,0.0093541489,0.0093541489
0.018,-0.0063170379,0.0010471351,0.054799674,0.029643125,0,nan,0.0010471351,0.0098810416,0.0098810416,0.0098810416
0.0185,-0.006444406,0.0017282863,0.052998105,0.031267109,0,nan,0.0017282863,0.01042237,0.01042237,0.01042237
0.019,-0.0065732956,0.0025333007,0.050856055,0.032934399,0,nan,0.0025333007,0.010978133,0.010978133,0.010978133
0.0195,-0.0067040482,0.0034299467,0.048418604,0.034644996,0,nan,0.0034299467,0.011548332,0.011548332,0.011548332
0.02,-0.0068368914,0.0043835237,0.045735093,0.036398899,0,nan,0.0043835237,0.012132966,0.012132966,0.012132966
0.0205,-0.0069719345,0.0053581143,0.04285766,0.038196108,0,nan,0.0053581143,0.012732036,0.012732036,0.012732036
0.021,-0.007109168,0.006317845,0.039839755,0.040036624,0,nan,0.006317845,0.013345541,0.013345541,0.013345541
0.0215,-0.0072484672,0.0072281129,0.036734709,0.041920445,0,nan,0.0072281129,0.013973482,0.013973482,0.013973482
0.022,-0.007389599,0.008056742,0.033594379,0.043847573,0,nan,0.008056742,0.014615858,0.014615858,0.014615858
0.0225,-0.007532233,0.0087750348,0.030467921,0.045818007,0,nan,0.0087750348,0.015272669,0.015272669,0.015272669
0.023,-0.0076759545,0.0093586861,0.027400702,0.047831748,0,nan,0.0093586861,0.015943916,0.015943916,0.015943916
0.0235,-0.0078202809,0.0097885307,0.02443339,0.049888794,0,nan,0.0097885307,0.016629598,0.016629598,0.016629598
0.024,-0.0079646802,0.010051099,0.021601231,0.051989147,0,nan,0.010051099,0.017329716,0.017329716,0.017329716
0.0245,-0.0081085907,0.010138964,0.01893353,0.054132806,0,nan,0.010138964,0.018044269,0.018044269,0.018044269
0.025,-0.0082514412,0.010050875,0.016453343,0.056319772,0,nan,0.010050875,0.018773257,0.018773257,0.018773257
