t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0,-0.00019472966,0.00016768229,5.3942319e-06,2.1653123e-05,0,nan,0.00016768229,7.2177075e-06,7.2177075e-06,7.2177075e-06
0.0005,-0.00038406511,0.00063529494,4.082842e-05,8.661249e-05,0,nan,0.00063529494,2.887083e-05,2.887083e-05,2.887083e-05
0.001,-0.00056868595,0.0013479286,0.00013360342,0.0001948781,0,nan,0.0013479286,6.4959368e-05,6.4959368e-05,6.4959368e-05
0.0015,-0.00074916299,0.0022617302,0.00029841678,0.00034644996,0,nan,0.0022617302,0.00011548332,0.00011548332,0.00011548332
0.002,-0.00092597596,0.0033465694,0.00053768969,0.00054132806,0,nan,0.0033465694,0.00018044269,0.00018044269,0.00018044269
0.0025,-0.0010995283,0.0045764965,0.00085306149,0.00077951241,0,nan,0.0045764965,0.00025983747,0.00025983747,0.00025983747
0.003,-0.0012701596,0.0059179149,0.0012580014,0.001061003,0,nan,0.0059179149,0.00035366767,0.00035366767,0.00035366767
0.0035,-0.0014381558,0.0073238127,0.0017832784,0.0013857998,0,nan,0.0073238127,0.00046193328,0.00046193328,0.00046193328
0.004,-0.0016037582,0.0087364977,0.0024730935,0.0017539029,0,nan,0.0087364977,0.00058463431,0.00058463431,0.00058463431
0.0045,-0.0017671703,0.010095715,0.0033753441,0.0021653123,0,nan,0.010095715,0.00072177075,0.00072177075,0.00072177075
0.005,-0.0019285643,0.011346867,0.0045316718,0.0026200278,0,nan,0.011346867,0.00087334261,0.00087334261,0.00087334261
0.0055,-0.0020880859,0.012445516,0.0059714405,0.0031180496,0,nan,0.012445516,0.0010393499,0.0010393499,0.0010393499
0.006,-0.0022458589,0.01335754,0.0077105281,0.0036593777,0,nan,0.01335754,0.0012197926,0.0012197926,0.0012197926
0.0065,-0.0024019882,0.014056856,0.0097531351,0.004244012,0,nan,0.014056856,0.0014146707,0.0014146707,0.0014146707
0.007,-0.0025565636,0.014523321,0.012094022,0.0048719526,0,nan,0.014523321,0.0016239842,0.0016239842,0.0016239842
0.0075,-0.0027096616,0.014742389,0.014719512,0.0055431994,0,nan,0.014742389,0.0018477331,0.0018477331,0.0018477331
0.008,-0.0028613479,0.014706454,0.017607167,0.0062577524,0,nan,0.014706454,0.0020859175,0.0020859175,0.0020859175
0.0085,-0.0030116789,0.014416717,0.020725111,0.0070156117,0,nan,0.014416717,0.0023385372,0.0023385372,0.0023385372
0.009,-0.0031607034,0.013884276,0.024032117,0.0078167772,0,nan,0.013884276,0.0026055924,0.0026055924,0.0026055924
0.0095,-0.0033084639,0.013129816,0.027478921,0.008661249,0,nan,0.013129816,0.002887083,0.002887083,0.002887083
0.01,-0.0034549973,0.012182108,0.031010454,0.009549027,0,nan,0.012182108,0.003183009,0.003183009,0.003183009
0.0105,-0.003600336,0.011075995,0.034568265,0.010480111,0,nan,0.011075995,0.0034933704,0.0034933704,0.0034933704
0.011,-0.0037445086,0.0098505334,0.038092488,0.011454502,0,nan,0.0098505334,0.0038181673,0.0038181673,0.0038181673
0.0115,-0.0038875404,0.0085475626,0.041523133,0.012472199,0,nan,0.0085475626,0.0041573995,0.0041573995,0.0041573995
0.012,-0.0040294543,0.0072105924,0.044800896,0.013533202,0,nan,0.0072105924,0.0045110672,0.0045110672,0.0045110672
0.0125,-0.0041702705,0.0058837102,0.047867897,0.014637511,0,nan,0.0058837102,0.0048791703,0.0048791703,0.0048791703
0.013,-0.0043100077,0.0046102788,0.050668641,0.015785126,0,nan,0.0046102788,0.0052617088,0.0052617088,0.0052617088
0.0135,-0.0044486826,0.0034314067,0.053151309,0.016976048,0,nan,0.0034314067,0.0056586827,0.0056586827,0.0056586827
0.014,-0.0045863108,0.002384357,0.05526924,0.018210276,0,nan,0.002384357,0.006070092,0.006070092,0.006070092
0.0145,-0.0047229067,0.001501122,0.056982382,0.01948781,0,nan,0.001501122,0.0064959367,0.0064959367,0.0064959367
0.015,-0.0048584836,0.00080732711,0.058258537,0.020808651,0,nan,0.00080732711,0.0069362169,0.0069362169,0.0069362169
0.0155,-0.0049930541,0.0003215074,0.059074317,0.022172797,0,nan,0.0003215074,0.0073909325,0.0073909325,0.0073909325
0.016,-0.0051266301,5.4707225e-05,0.059415807,0.02358025,0,nan,5.4707225e-05,0.0078600835,0.0078600835,0.0078600835
0.0165,-0.0052592228,1.032531e-05,0.059278965,0.02503101,0,nan,1.032531e-05,0.0083436699,0.0083436699,0.0083436699
0.017,-0.0053908429,0.00018415714,0.058669771,0.026525075,0,nan,0.00018415714,0.0088416917,0.0088416917,0.0088416917
0.0175,-0.0055215007,0.00056463454,0.057604092,0.028062447,0,nan,0.00056463454,0.0093541489,0.0093541489,0.0093541489
0.018,-0.005651206,0.0011332906,0.05610722,0.029643125,0,nan,0.0011332906,0.0098810416,0.0098810416,0.0098810416
0.0185,-0.0057799685,0.0018654714,0.05421307,0.031267109,0,nan,0.0018654714,0.01042237,0.01042237,0.01042237
0.019,-0.0059077973,0.0027312855,0.051963062,0.032934399,0,nan,0.0027312855,0.010978133,0.010978133,0.010978133
0.0195,-0.0060347015,0.0036967466,0.049404744,0.034644996,0,nan,0.0036967466,0.011548332,0.011548332,0.011548332
0.02,-0.0061606899,0.0047250446,0.046590265,0.036398899,0,nan,0.0047250446,0.012132966,0.012132966,0.012132966
0.0205,-0.006285771,0.00577788,0.043574775,0.038196108,0,nan,0.00577788,0.012732036,0.012732036,0.012732036
0.021,-0.0064099532,0.0068168078,0.04041483,0.040036624,0,nan,0.0068168078,0.013345541,0.013345541,0.013345541
0.0215,-0.0065332447,0.0078045499,0.037166857,0.041920445,0,nan,0.0078045499,0.013973482,0.013973482,0.013973482
0.022,-0.0066556537,0.0087062443,0.033885711,0.043847573,0,nan,0.0087062443,0.014615858,0.014615858,0.014615858
0.0225,-0.006777188,0.0094905959,0.030623367,0.045818007,0,nan,0.0094905959,0.015272669,0.015272669,0.015272669
0.023,-0.0068978555,0.010130895,0.027427757,0.047831748,0,nan,0.010130895,0.015943916,0.015943916,0.015943916
0.0235,-0.007017664,0.010605867,0.0243418,0.049888794,0,nan,0.010605867,0.016629598,0.016629598,0.016629598
0.024,-0.0071366209,0.010900314,0.021402623,0.051989147,0,nan,0.010900314,0.017329716,0.017329716,0.017329716
0.0245,-0.0072547339,0.01100554,0.018641004,0.054132806,0,nan,0.01100554,0.018044269,0.018044269,0.018044269
0.025,-0.0073720104,0.010919534,0.016081037,0.056319772,0,nan,0.010919534,0.018773257,0.018773257,0.018773257
0.0255,-0.0074884577,0.01064692,0.013740005,0.058550043,0,nan,0.01064692,0.019516681,0.019516681,0.019516681
0.026,-0.007604083,0.010198679,0.011628472,0.060823621,0,nan,0.010198679,0.02027454,0.02027454,0.02027454
0.0265,-0.0077188936,0.0095916645,0.0097505725,0.063140505,0,nan,0.0095916645,0.021046835,0.021046835,0.021046835
0.027,-0.0078328965,0.0088479147,0.0081044855,0.065500696,0,nan,0.0088479147,0.021833565,0.021833565,0.021833565
