t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0,0.00016878183,4.102357e-06,5.1726904e-05,7.2177075e-06,-0.00022579819,0
0.0005,0.00064535045,3.2013859e-05,0.00020690762,2.887083e-05,-0.00044935938,0
0.001,0.001381656,0.00010842318,0.00046554213,6.4959368e-05,-0.00067187798,0
0.0015,0.0023360334,0.00025046375,0.00082763046,0.00011548332,-0.00089362338,0
0.002,0.0034787475,0.00046376577,0.0012931726,0.00018044269,-0.0011145386,0
0.0025,0.0047886235,0.00074699134,0.0018621685,0.00025983747,-0.0013347649,0
0.003,0.0062449328,0.0011007715,0.0025346183,0.00035366767,-0.0015548782,0
0.0035,0.0078197613,0.0015358134,0.0033105218,0.00046193328,-0.0017758058,0
0.004,0.0094745506,0.0020764248,0.0041898792,0.00058463431,-0.0019985436,0
0.0045,0.011161708,0.0027585062,0.0051726904,0.00072177075,-0.0022238524,0
0.005,0.01282971,0.0036236122,0.0062589554,0.00087334261,-0.002452074,0
0.0055,0.014428959,0.0047119433,0.0074486741,0.0010393499,-0.0026831218,0
0.006,0.015916042,0.0060568528,0.0087418467,0.0012197926,-0.0029166072,0
0.0065,0.017255299,0.0076821734,0.010138473,0.0014146707,-0.0031520151,0
0.007,0.01841808,0.0096021826,0.011638553,0.0016239842,-0.003388843,0
0.0075,0.019380951,0.011823049,0.013242087,0.0018477331,-0.0036266562,0
0.008,0.020124203,0.014344408,0.014949075,0.0020859175,-0.003865064,0
0.0085,0.020631463,0.017160174,0.016759517,0.0023385372,-0.0041036532,0
0.009,0.02089047,0.020258424,0.018673412,0.0026055924,-0.0043419289,0
0.0095,0.020894462,0.023620784,0.020690761,0.002887083,-0.0045792927,0
0.01,0.02064343,0.027221935,0.022811565,0.003183009,-0.0048150679,0
0.0105,0.020144684,0.031029749,0.025035821,0.0034933704,-0.0050485543,0
0.011,0.01941256,0.035006153,0.027363532,0.0038181673,-0.0052790885,0
0.0115,0.018467469,0.039108523,0.029794697,0.0041573995,-0.005506088,0
