t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0,0,0.024449805,5.1726904e-05,7.2177075e-06,-0.024501532,0
0.0005,0,0.024449805,0.00020690762,2.887083e-05,-0.024553259,0
0.001,0,0.024449805,0.00046554213,6.4959368e-05,-0.024604986,0
0.0015,0,0.024449805,0.00082763046,0.00011548332,-0.024656713,0
0.002,0,0.024449805,0.0012931726,0.00018044269,-0.02470844,0
0.0025,0,0.024449805,0.0018621685,0.00025983747,-0.024760166,0
0.003,0,0.024449805,0.0025346183,0.00035366767,-0.024811893,0
0.0035,0,0.024449805,0.0033105218,0.00046193328,-0.02486362,0
0.004,0,0.024449805,0.0041898792,0.00058463431,-0.024915347,0
0.0045,0,0.024449805,0.0051726904,0.00072177075,-0.024967074,0
0.005,0,0.024449805,0.0062589554,0.00087334261,-0.025018801,0
0.0055,0,0.024449805,0.0074486741,0.0010393499,-0.025070528,0
0.006,0,0.024449805,0.0087418467,0.0012197926,-0.025122255,0
0.0065,0,0.024449805,0.010138473,0.0014146707,-0.025173982,0
0.007,0,0.024449805,0.011638553,0.0016239842,-0.025225709,0
0.0075,0,0.024449805,0.013242087,0.0018477331,-0.025277435,0
0.008,0,0.024449805,0.014949075,0.0020859175,-0.025329162,0
0.0085,0,0.024449805,0.016759517,0.0023385372,-0.025380889,0
0.009,0,0.024449805,0.018673412,0.0026055924,-0.025432616,0
0.0095,0,0.024449805,0.020690761,0.002887083,-0.025484343,0
0.01,0,0.024449805,0.022811565,0.003183009,-0.02553607,0
0.0105,0,0.024449805,0.025035821,0.0034933704,-0.025587797,0
0.011,0,0.024449805,0.027363532,0.0038181673,-0.025639524,0
0.0115,0,0.024449805,0.029794697,0.0041573995,-0.025691251,0
0.012,0,0.024449805,0.032329315,0.0045110672,-0.025742978,0
0.0125,0,0.024449805,0.034967387,0.0048791703,-0.025794704,0
0.013,0,0.024449805,0.037708913,0.0052617088,-0.025846431,0
0.0135,0,0.024449805,0.040553893,0.0056586827,-0.025898158,0
0.014,0,0.024449805,0.043502326,0.006070092,-0.025949885,0
0.0145,0,0.024449805,0.046554213,0.0064959367,-0.026001612,0
0.015,0,0.024449805,0.049709555,0.0069362169,-0.026053339,0
0.0155,0,0.024449805,0.052968349,0.0073909325,-0.026105066,0
0.016,0,0.024449805,0.056330598,0.0078600835,-0.026156793,0
0.0165,0,0.024449805,0.059796301,0.0083436699,-0.02620852,0
0.017,0,0.024449805,0.063365457,0.0088416917,-0.026260247,0
0.0175,0,0.024449805,0.067038067,0.0093541489,-0.026311974,0
0.018,0,0.024449805,0.070814131,0.0098810416,-0.0263637,0
0.0185,0,0.024449805,0.074693649,0.01042237,-0.026415427,0
0.019,0,0.024449805,0.078676621,0.010978133,-0.026467154,0
0.0195,0,0.024449805,0.082763046,0.011548332,-0.026518881,0
0.02,0,0.024449805,0.086952925,0.012132966,-0.026570608,0
0.0205,0,0.032083069,0.086390277,0.012732036,-0.02974489,3.2925254e-05
0.021,0,0.041438661,0.082267748,0.013345541,-0.032739738,6.7435926e-05
0.0215,0,0.047693494,0.078213486,0.013973482,-0.035383212,8.827364e-05
0.022,0,0.050025688,0.076812698,0.014615858,-0.03758048,9.5508582e-05
0.0225,0,0.0486648,0.07897951,0.015272669,-0.039346403,9.0856715e-05
0.023,0,0.055527335,0.08120331,0.01357252,-0.042034763,6.6603496e-05
0.0235,0,0.063759221,0.08167173,0.0098320567,-0.044476254,4.060742e-05
0.024,0,0.070578638,0.080586338,0.0054312055,-0.046726818,4.2228742e-05
0.0245,0,0.075029733,0.079589898,0.0018889138,-0.048487907,4.9124466e-05
0.025,0,0.076619743,0.08040637,0.00015448279,-0.049688392,5.0596881e-05
0.0255,0,0.074328811,0.08327444,0.00030609652,-0.050692397,4.8969481e-05
0.026,0,0.068696096,0.087804245,0.0019785527,-0.05160519,4.4645509e-05
0.0265,0,0.060646067,0.093282588,0.0045015305,-0.052461536,3.810898e-05
0.027,0,0.051290836,0.098914985,0.0070920764,-0.053267118,2.9903974e-05
0.0275,0,0.041723286,0.10400332,0.0090502876,-0.054024696,2.0627388e-05
0.028,0,0.032846566,0.10808532,0.0099124412,-0.054738015,1.0905459e-05
0.0285,0,0.02527048,0.11101307,0.0095308676,-0.05541034,1.3574148e-06
0.029,0,0.024449805,0.11389306,0.0090124168,-0.055473052,0
0.0295,0,0.024449805,0.11687699,0.0085089158,-0.055525406,0
0.03,0,0.024449805,0.11996489,0.0080203809,-0.055577256,0
0.0305,0,0.024449805,0.12315639,0.0075464063,-0.055629029,0
0.031,0,0.024449805,0.12645133,0.0070868574,-0.055680784,0
0.0315,0,0.024449805,0.12984971,0.0066417376,-0.055732523,0
0.032,0,0.024449805,0.13335156,0.0062110567,-0.055784253,0
0.0325,0,0.024449805,0.13695686,0.0057948139,-0.05583598,0
0.033,0,0.024449805,0.14066562,0.0053930071,-0.055887707,0
0.0335,0,0.024449805,0.14447783,0.0050056357,-0.055939435,0
0.034,0,0.024449805,0.14839349,0.0046326996,-0.055991161,0
0.0345,0,0.024449805,0.15241261,0.004274199,-0.056042888,0
0.035,0,0.025020086,0.15645553,0.0039301338,-0.056144371,5.3208067e-06
0.0355,0,0.026732177,0.16035372,0.0036005041,-0.056315693,1.3017068e-05
0.036,0,0.028300006,0.16415468,0.0032853097,-0.05647621,1.8470767e-05
0.0365,0,0.029360292,0.1679854,0.0029845507,-0.056621625,2.2324548e-05
0.037,0,0.029869502,0.17196012,0.0026982272,-0.056747879,2.5400944e-05
0.0375,0,0.029851993,0.1761381,0.0024263391,-0.056855895,2.5822696e-05
0.038,0,0.029388353,0.18051124,0.0021688864,-0.056951291,2.3993114e-05
0.0385,0,0.028602086,0.18502363,0.0019258691,-0.057039952,2.04684e-05
0.039,0,0.027639209,0.18960732,0.0016972873,-0.057125144,1.5899173e-05
