t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0,0.00016638118,5.2303011e-06,2.1653123e-05,nan,-0.00019471953,0
0.0005,0.00062927849,3.9356739e-05,8.661249e-05,nan,-0.00038632854,0
0.001,0.0013343352,0.00012841951,0.0001948781,nan,-0.00057609108,0
0.0015,0.0022385757,0.00028695782,0.00034644996,nan,-0.00076423749,0
0.002,0.0033112849,0.00051889495,0.00054132806,nan,-0.00095093728,0
0.0025,0.0045245381,0.00082813614,0.00077951241,nan,-0.0011368489,0
0.003,0.0058428347,0.0012295351,0.001061003,nan,-0.0013230828,0
0.0035,0.007218774,0.0017532102,0.0013857998,nan,-0.0015107938,0
0.004,0.0085961365,0.0024407621,0.0017539029,nan,-0.0017007546,0
0.0045,0.009917186,0.0033366669,0.0021653123,nan,-0.0018931611,0
0.005,0.011129673,0.004479655,0.0026200278,nan,-0.0020877096,0
0.0055,0.0121906,0.0058974236,0.0031180496,nan,-0.0022838263,0
0.006,0.013066473,0.007605316,0.0036593777,nan,-0.0024808843,0
0.0065,0.01373169,0.0096075086,0.004244012,nan,-0.0026783057,0
0.007,0.014167084,0.011898686,0.0048719526,nan,-0.0028755451,0
0.0075,0.014359743,0.014464922,0.0055431994,nan,-0.0030720183,0
0.008,0.014303994,0.017283664,0.0062577524,nan,-0.003267051,0
0.0085,0.014002685,0.020323485,0.0070156117,nan,-0.0034598846,0
0.009,0.013467832,0.023544389,0.0078167772,nan,-0.0036497355,0
0.0095,0.012720214,0.026898981,0.008661249,nan,-0.0038358708,0
0.01,0.011788093,0.030334325,0.009549027,nan,-0.004017668,0
0.0105,0.010705501,0.033793968,0.010480111,nan,-0.0041946428,0
0.011,0.0095105727,0.037219732,0.011454502,nan,-0.0043664491,0
0.0115,0.0082441161,0.040553069,0.012472199,nan,-0.0045328687,0
0.012,0.0069483692,0.043736103,0.013533202,nan,-0.0046938041,0
0.0125,0.0056657875,0.046712593,0.014637511,nan,-0.00484928,0
0.013,0.0044377332,0.049428996,0.015785126,nan,-0.0049994493,0
0.0135,0.0033030678,0.051835707,0.016976048,nan,-0.0051445962,0
0.014,0.0022967539,0.053888387,0.018210276,nan,-0.00528513,0
0.0145,0.0014486133,0.055549246,0.01948781,nan,-0.0054215686,0
0.015,0.00078234807,0.056788155,0.020808651,nan,-0.0055545153,0
0.0155,0.00031486646,0.057583509,0.022172797,nan,-0.005684632,0
0.016,5.5898092e-05,0.057922822,0.02358025,nan,-0.0058126149,0
0.0165,7.8596549e-06,0.057803048,0.02503101,nan,-0.0059391701,0
0.017,0.00016594279,0.057230645,0.026525075,nan,-0.0060649928,0
0.0175,0.00051841478,0.056221351,0.028062447,nan,-0.0061907456,0
0.018,0.0010471351,0.054799674,0.029643125,nan,-0.0063170379,0
0.0185,0.0017282863,0.052998105,0.031267109,nan,-0.006444406,0
0.019,0.0025333007,0.050856055,0.032934399,nan,-0.0065732956,0
0.0195,0.0034299467,0.048418604,0.034644996,nan,-0.0067040482,0
0.02,0.0043835237,0.045735093,0.036398899,nan,-0.0068368914,0
0.0205,0.0053581143,0.04285766,0.038196108,nan,-0.0069719345,0
0.021,0.006317845,0.039839755,0.040036624,nan,-0.007109168,0
0.0215,0.0072281129,0.036734709,0.041920445,nan,-0.0072484672,0
0.022,0.008056742,0.033594379,0.043847573,nan,-0.007389599,0
0.0225,0.0087750348,0.030467921,0.045818007,nan,-0.007532233,0
0.023,0.0093586861,0.027400702,0.047831748,nan,-0.0076759545,0
0.0235,0.0097885307,0.02443339,0.049888794,nan,-0.0078202809,0
0.024,0.010051099,0.021601231,0.051989147,nan,-0.0079646802,0
0.0245,0.010138964,0.01893353,0.054132806,nan,-0.0081085907,0
0.025,0.010050875,0.016453343,0.056319772,nan,-0.0082514412,0
0.0255,0.0097916672,0.014177371,0.058550043,nan,-0.0083926716,0
0.026,0.0093719765,0.012116059,0.060823621,nan,-0.0085317522,0
0.0265,0.0088077498,0.01027388,0.063140505,nan,-0.0086682014,0
0.027,0.0081195902,0.0086498023,0.065500696,nan,-0.0088016018,0
0.0275,0.0073319545,0.0072378955,0.067904192,nan,-0.0089316135,0
0.028,0.0064722341,0.006028079,0.070350995,nan,-0.0090579847,0
0.0285,0.0055697545,0.0050069625,0.072841104,nan,-0.0091805587,0
0.029,0.0046547275,0.0041587562,0.075374519,nan,-0.0092992778,0
0.0295,0.0037571952,0.0034662117,0.077951241,nan,-0.0094141837,0
0.03,0.0029060008,0.0029115588,0.080571269,nan,-0.0095254145,0
0.0305,0.0021278217,0.0024774031,0.083234603,nan,-0.009633198,0
0.031,0.0014462981,0.0021475491,0.085941243,nan,-0.0097378426,0
0.0315,0.00088128227,0.0019077224,0.08869119,nan,-0.0098397252,0
0.032,0.00044823438,0.0017461628,0.091484443,nan,-0.0099392776,0
0.0325,0.00015778105,0.0016540707,0.094321002,nan,-0.01003697,0
0.033,1.5449006e-05,0.0016258936,0.097200867,nan,-0.010133296,0
0.0335,2.1579301e-05,0.0016594451,0.10012404,nan,-0.010228754,0
0.034,0.00017142151,0.0017558568,0.10309052,nan,-0.010323831,0
0.0345,0.00045540095,0.0019193707,0.1061003,nan,-0.010418985,0
0.035,0.00085954611,0.0021569828,0.10915339,nan,-0.010514633,0
0.0355,0.0013660585,0.002477956,0.11224979,nan,-0.010611136,0
0.036,0.0019540023,0.0028932261,0.11538949,nan,-0.010708787,0
0.0365,0.0026000873,0.0034147233,0.1185725,nan,-0.010807806,0
0.037,0.0032795176,0.0040546396,0.12179881,nan,-0.01090833,0
0.0375,0.0039668732,0.0048246704,0.12506844,nan,-0.011010414,0
0.038,0.0046369966,0.0057352596,0.12838136,nan,-0.011114029,0
0.0385,0.0052658512,0.0067948781,0.1317376,nan,-0.011219065,0
0.039,0.005831324,0.0080093624,0.13513714,nan,-0.011325339,0
0.0395,0.0063139456,0.0093813387,0.13857998,nan,-0.011432599,0
0.04,0.006697505,0.010909754,0.14206614,nan,-0.011540539,0
0.0405,0.0069695395,0.012589531,0.1455956,nan,-0.011648807,0
0.041,0.0071216861,0.014411366,0.14916836,nan,-0.01175702,0
0.0415,0.0071498849,0.016361662,0.15278443,nan,-0.011864779,0
0.042,0.0070544298,0.018422627,0.15644381,nan,-0.011971682,0
0.0425,0.0068398702,0.020572508,0.16014649,nan,-0.012077338,0
0.043,0.0065147663,0.022785966,0.16389248,nan,-0.012181381,0
0.0435,0.0060913139,0.02503459,0.16768178,nan,-0.012283482,0
0.044,0.0055848504,0.027287509,0.17151438,nan,-0.012383361,0
0.0445,0.0050132633,0.029512108,0.17539029,nan,-0.012480795,0
0.045,0.0043963241,0.031674807,0.17930951,nan,-0.012575622,0
0.0455,0.0037549698,0.033741883,0.18327203,nan,-0.012667752,0
0.046,0.00311056,0.035680315,0.18727786,nan,-0.012757163,0
0.0465,0.0024841341,0.037458616,0.19132699,nan,-0.012843904,0
0.047,0.0018956954,0.039047624,0.19541943,nan,-0.012928088,0
0.0475,0.0013635446,0.040421246,0.19955518,nan,-0.013009894,0
0.048,0.0009036861,0.041557105,0.20373423,nan,-0.013089553,0
0.0485,0.00052932489,0.04243709,0.20795659,nan,-0.013167342,0
0.049,0.00025047024,0.04304779,0.21222225,nan,-0.013243574,0
0.0495,7.3656998e-05,0.043380794,0.21653122,nan,-0.013318588,0
0.05,1.7921764e-06,0.04343285,0.2208835,nan,-0.013392733,0
0.0505,3.4129137e-05,0.043205892,0.22527909,nan,-0.01346636,0
0.051,0.00016636791,0.042706918,0.22971798,nan,-0.013539808,0
0.0515,0.00039087548,0.041947742,0.23420017,nan,-0.013613394,0
0.052,0.00069701612,0.040944618,0.23872568,nan,-0.013687402,0
0.0525,0.0010715781,0.039717758,0.24329448,nan,-0.013762075,0
0.053,0.0014992799,0.038290753,0.2479066,nan,-0.013837605,0
0.0535,0.0019633379,0.036689932,0.25256202,nan,-0.013914132,0
0.054,0.0024460732,0.034943653,0.25726075,nan,-0.013991738,0
0.0545,0.0029295371,0.033081582,0.26200278,nan,-0.014070445,0
0.055,0.0033961333,0.031133957,0.26678812,nan,-0.014150217,0
0.0555,0.003829215,0.029130869,0.27161677,nan,-0.014230961,0
0.056,0.0042136373,0.027101581,0.27648872,nan,-0.014312535,0
0.0565,0.0045362464,0.02507391,0.28140398,nan,-0.01439475,0
0.057,0.0047862908,0.023073671,0.28636255,nan,-0.014477379,0
0.0575,0.0049557417,0.021124224,0.29136442,nan,-0.014560169,0
0.058,0.0050395121,0.019246105,0.29640959,nan,-0.014642845,0
0.0585,0.0050355723,0.017456771,0.30149808,nan,-0.014725122,0
0.059,0.0049449563,0.015770454,0.30662987,nan,-0.01480672,0
0.0595,0.0047716638,0.01419812,0.31180496,nan,-0.014887365,0
0.06,0.0045224619,0.012747532,0.31702337,nan,-0.014966806,0
0.0605,0.0042065958,0.011423417,0.32228508,nan,-0.01504482,0
0.061,0.0038354209,0.010227705,0.32759009,nan,-0.015121218,0
0.0615,0.0034219686,0.0091598591,0.33293841,nan,-0.015195855,0
0.062,0.0029804653,0.0082172468,0.33833004,nan,-0.015268631,0
0.0625,0.0025258181,0.0073955644,0.34376497,nan,-0.015339495,0
0.063,0.0020730896,0.0066892785,0.34924321,nan,-0.015408445,0
0.0635,0.00076372544,0.00636247,0.30392046,nan,-0.066764131,1.1591874e-05
0.064,0.028968294,0.011355992,0.083403859,nan,-0.25283495,7.276239e-05
0.0645,0.062214678,0.025433392,0.014846784,nan,-0.28055021,5.3418002e-05
0.065,0.064157824,0.041023371,0.0054429921,nan,-0.28094268,2.0019386e-05
0.0655,0.053722477,0.051419549,0.0051915958,nan,-0.288225,5.8694308e-07
0.066,0.048583368,0.057141538,0.0051949938,nan,-0.29403916,2.1600127e-07
