t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0,0,0.017206538,2.1653123e-05,nan,-0.017228191,0
0.0005,0,0.017206538,8.661249e-05,nan,-0.017249844,0
0.001,0,0.017206538,0.0001948781,nan,-0.017271497,0
0.0015,0,0.017206538,0.00034644996,nan,-0.01729315,0
0.002,0,0.017206538,0.00054132806,nan,-0.017314803,0
0.0025,0,0.017206538,0.00077951241,nan,-0.017336456,0
0.003,0,0.017206538,0.001061003,nan,-0.017358109,0
0.0035,0,0.017206538,0.0013857998,nan,-0.017379763,0
0.004,0,0.017206538,0.0017539029,nan,-0.017401416,0
0.0045,0,0.017206538,0.0021653123,nan,-0.017423069,0
0.005,0,0.017206538,0.0026200278,nan,-0.017444722,0
0.0055,0,0.017206538,0.0031180496,nan,-0.017466375,0
0.006,0,0.017206538,0.0036593777,nan,-0.017488028,0
0.0065,0,0.017206538,0.004244012,nan,-0.017509681,0
0.007,0,0.017206538,0.0048719526,nan,-0.017531334,0
0.0075,0,0.017206538,0.0055431994,nan,-0.017552988,0
0.008,0,0.017206538,0.0062577524,nan,-0.017574641,0
0.0085,0,0.017206538,0.0070156117,nan,-0.017596294,0
0.009,0,0.017206538,0.0078167772,nan,-0.017617947,0
0.0095,0,0.017206538,0.008661249,nan,-0.0176396,0
0.01,0,0.017206538,0.009549027,nan,-0.017661253,0
0.0105,0,0.017206538,0.010480111,nan,-0.017682906,0
0.011,0,0.017206538,0.011454502,nan,-0.017704559,0
0.0115,0,0.017206538,0.012472199,nan,-0.017726213,0
0.012,0,0.017206538,0.013533202,nan,-0.017747866,0
0.0125,0,0.017206538,0.014637511,nan,-0.017769519,0
0.013,0,0.017206538,0.015785126,nan,-0.017791172,0
0.0135,0,0.017206538,0.016976048,nan,-0.017812825,0
0.014,0,0.017206538,0.018210276,nan,-0.017834478,0
0.0145,0,0.017206538,0.01948781,nan,-0.017856131,0
0.015,0,0.017206538,0.020808651,nan,-0.017877784,0
0.0155,0,0.017206538,0.022172797,nan,-0.017899438,0
0.016,0,0.017206538,0.02358025,nan,-0.017921091,0
0.0165,0,0.017206538,0.02503101,nan,-0.017942744,0
0.017,0,0.017206538,0.026525075,nan,-0.017964397,0
0.0175,0,0.017206538,0.028062447,nan,-0.01798605,0
0.018,0,0.017206538,0.029643125,nan,-0.018007703,0
0.0185,0,0.017206538,0.031267109,nan,-0.018029356,0
0.019,0,0.017206538,0.032934399,nan,-0.018051009,0
0.0195,0,0.017206538,0.034644996,nan,-0.018072662,0
0.02,0,0.017206538,0.036398899,nan,-0.018094316,0
0.0205,0,0.017206538,0.038196108,nan,-0.018115969,0
0.021,0,0.017206538,0.040036624,nan,-0.018137622,0
0.0215,0,0.017206538,0.041920445,nan,-0.018159275,0
0.022,0,0.017206538,0.043847573,nan,-0.018180928,0
0.0225,0,0.017206538,0.045818007,nan,-0.018202581,0
0.023,0,0.017206538,0.047831748,nan,-0.018224234,0
0.0235,0,0.017206538,0.049888794,nan,-0.018245887,0
0.024,0,0.017206538,0.051989147,nan,-0.018267541,0
0.0245,0,0.017206538,0.054132806,nan,-0.018289194,0
0.025,0,0.017206538,0.056319772,nan,-0.018310847,0
0.0255,0,0.017206538,0.058550043,nan,-0.0183325,0
0.026,0,0.017206538,0.060823621,nan,-0.018354153,0
0.0265,0,0.017206538,0.063140505,nan,-0.018375806,0
0.027,0,0.017206538,0.065500696,nan,-0.018397459,0
0.0275,0,0.017206538,0.067904192,nan,-0.018419112,0
0.028,0,0.017206538,0.070350995,nan,-0.018440766,0
0.0285,0,0.017206538,0.072841104,nan,-0.018462419,0
0.029,0,0.017206538,0.075374519,nan,-0.018484072,0
0.0295,0,0.017206538,0.077951241,nan,-0.018505725,0
0.03,0,0.017206538,0.080571269,nan,-0.018527378,0
0.0305,0,0.017206538,0.083234603,nan,-0.018549031,0
0.031,0,0.017206538,0.085941243,nan,-0.018570684,0
0.0315,0,0.017206538,0.08869119,nan,-0.018592337,0
0.032,0,0.017206538,0.091484443,nan,-0.018613991,0
0.0325,0,0.017206538,0.094321002,nan,-0.018635644,0
0.033,0,0.017206538,0.097200867,nan,-0.018657297,0
0.0335,0,0.017206538,0.10012404,nan,-0.01867895,0
0.034,0,0.017206538,0.10309052,nan,-0.018700603,0
0.0345,0,0.017206538,0.1061003,nan,-0.018722256,0
0.035,0,0.017206538,0.10915339,nan,-0.018743909,0
0.0355,0,0.017206538,0.11224979,nan,-0.018765562,0
0.036,0,0.017206538,0.11538949,nan,-0.018787216,0
0.0365,0,0.017206538,0.1185725,nan,-0.018808869,0
0.037,0,0.017206538,0.12179881,nan,-0.018830522,0
0.0375,0,0.017206538,0.12506844,nan,-0.018852175,0
0.038,0,0.017206538,0.12838136,nan,-0.018873828,0
0.0385,0,0.017206538,0.1317376,nan,-0.018895481,0
0.039,0,0.017206538,0.13513714,nan,-0.018917134,0
0.0395,0,0.017206538,0.13857998,nan,-0.018938787,0
0.04,0,0.017206538,0.14206614,nan,-0.018960441,0
0.0405,0,0.017206538,0.1455956,nan,-0.018982094,0
0.041,0,0.017206538,0.14916836,nan,-0.019003747,0
0.0415,0,0.017206538,0.15278443,nan,-0.0190254,0
0.042,0,0.017206538,0.15644381,nan,-0.019047053,0
0.0425,0,0.017206538,0.16014649,nan,-0.019068706,0
0.043,0,0.017206538,0.16389248,nan,-0.019090359,0
0.0435,0,0.017206538,0.16768178,nan,-0.019112012,0
0.044,0,0.017206538,0.17151438,nan,-0.019133665,0
0.0445,0,0.017206538,0.17539029,nan,-0.019155319,0
0.045,0,0.017206538,0.17930951,nan,-0.019176972,0
0.0455,0,0.017206538,0.18327203,nan,-0.019198625,0
0.046,0,0.017206538,0.18727786,nan,-0.019220278,0
0.0465,0,0.017206538,0.19132699,nan,-0.019241931,0
0.047,0,0.017206538,0.19541943,nan,-0.019263584,0
0.0475,0,0.017206538,0.19955518,nan,-0.019285237,0
0.048,0,0.017206538,0.20373423,nan,-0.01930689,0
0.0485,0,0.017206538,0.20795659,nan,-0.019328544,0
0.049,0,0.017206538,0.21222225,nan,-0.019350197,0
0.0495,0,0.017206538,0.21653122,nan,-0.01937185,0
0.05,0,0.017206538,0.2208835,nan,-0.019393503,0
0.0505,0,0.017206538,0.22527909,nan,-0.019415156,0
0.051,0,0.017206538,0.22971798,nan,-0.019436809,0
0.0515,0,0.017206538,0.23420017,nan,-0.019458462,0
0.052,0,0.017206538,0.23872568,nan,-0.019480115,0
0.0525,0,0.017206538,0.24329448,nan,-0.019501769,0
0.053,0,0.017206538,0.2479066,nan,-0.019523422,0
0.0535,0,0.017206538,0.25256202,nan,-0.019545075,0
0.054,0,0.017206538,0.25726075,nan,-0.019566728,0
0.0545,0,0.017206538,0.26200278,nan,-0.019588381,0
0.055,0,0.017206538,0.26678812,nan,-0.019610034,0
0.0555,0,0.017206538,0.27161677,nan,-0.019631687,0
0.056,0,0.017206538,0.27648872,nan,-0.01965334,0
0.0565,0,0.017206538,0.28140398,nan,-0.019674994,0
0.057,0,0.017206538,0.28636255,nan,-0.019696647,0
0.0575,0,0.017206538,0.29136442,nan,-0.0197183,0
0.058,0,0.017206538,0.29640959,nan,-0.019739953,0
0.0585,0,0.017206538,0.30149808,nan,-0.019761606,0
0.059,0,0.017206538,0.30662987,nan,-0.019783259,0
0.0595,0,0.017206538,0.31180496,nan,-0.019804912,0
0.06,0,0.017206538,0.31702337,nan,-0.019826565,0
0.0605,0,0.017206538,0.32228508,nan,-0.019848219,0
0.061,0,0.017206538,0.32759009,nan,-0.019869872,0
0.0615,0,0.017206538,0.33293841,nan,-0.019891525,0
0.062,0,0.017206538,0.33833004,nan,-0.019913178,0
0.0625,0,0.017206538,0.34376497,nan,-0.019934831,0
0.063,0,0.017206538,0.34924321,nan,-0.019956484,0
0.0635,0,0.017206538,0.35476476,nan,-0.019978137,0
0.064,0,0.038354817,0.34497956,nan,-0.029910814,3.2482569e-05
