t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4
0,74.999732,5.5407414e-09,0.00017083286,6.5078496e-06,6.5346089e-06,6.5465325e-06,75.147222
0.0005,74.999467,1.6926912e-09,0.00065086221,2.7141325e-05,2.7115254e-05,2.7098281e-05,75.294589
0.001,74.999202,0,0.001390407,6.2351761e-05,6.2312254e-05,6.2286515e-05,75.4421
0.0015,74.998938,0,0.0023480007,0.00011199761,0.00011194465,0.00011191016,75.589755
0.002,74.998675,0,0.0034935451,0.00017607886,0.00017601245,0.00017596919,75.737554
0.0025,74.998413,0,0.0048056174,0.00025459553,0.00025451566,0.00025446364,75.885498
0.003,74.99815,0,0.0062634139,0.00034754762,0.0003474543,0.00034739352,76.033587
0.0035,74.997887,0,0.007839092,0.00045493513,0.00045482836,0.00045475881,76.181819
0.004,74.997622,0,0.0094942322,0.00057675805,0.00057663783,0.00057655952,76.330196
0.0045,74.997355,0,0.011181365,0.00071301638,0.00071288271,0.00071279565,76.478718
0.005,74.997085,0,0.012849022,0.00086371013,0.00086356301,0.00086346719,76.627383
0.0055,74.996811,0,0.01444759,0.0010288393,0.0010286787,0.0010285741,76.776193
0.006,74.996536,0,0.015933601,0.0012084039,0.0012082299,0.0012081165,76.925148
0.0065,74.996258,0,0.017271346,0.0014024039,0.0014022164,0.0014020943,77.074247
0.007,74.995979,0,0.01843217,0.0016108393,0.0016106384,0.0016105075,77.22349
0.0075,74.995699,0,0.019392696,0.0018337101,0.0018334957,0.0018333561,77.372877
0.008,74.995419,0,0.020133308,0.0020710164,0.0020707885,0.0020706401,77.522409
0.0085,74.995106,3.6513863e-08,0.020843253,0.002233756,0.0022402787,0.0022438989,77.672085
0.009,74.994721,2.5130623e-07,0.022566027,0.0019277269,0.0019464861,0.0019545836,77.821906
0.0095,74.994435,1.175647e-07,0.023182418,0.0019603379,0.0019534233,0.0019484566,77.971871
0.01,74.994148,1.0390189e-07,0.023490107,0.0019741013,0.0019727749,0.0019723636,78.12198
0.0105,74.993862,1.1866963e-07,0.02359066,0.0019640261,0.0019640225,0.0019645998,78.272234
0.011,74.993578,1.2917559e-07,0.023458996,0.0019350507,0.0019352586,0.0019357184,78.422632
