t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4
0,74.999732,9.9142006e-08,0.0001696307,6.740845e-06,6.974547e-06,7.0654382e-06,75.147222
0.0005,74.999467,1.261369e-07,0.00064934149,2.7221313e-05,2.762967e-05,2.7871288e-05,75.294589
0.001,74.999202,4.6981237e-08,0.0013883371,6.3328795e-05,6.2748843e-05,6.2636898e-05,75.4421
0.0015,74.998938,7.4752722e-09,0.0023452431,0.00011346993,0.00011262299,0.000112123,75.589755
0.002,74.998675,0,0.0034902397,0.00017792373,0.00017686277,0.00017623609,75.737554
0.0025,74.998413,0,0.0048019366,0.00025681295,0.00025553796,0.00025478458,75.885498
0.003,74.99815,0,0.0062595189,0.00035013758,0.00034864858,0.00034776848,76.033587
0.0035,74.997887,0,0.0078351075,0.00045789762,0.00045619462,0.0004551878,76.181819
0.004,74.997622,0,0.0094902455,0.00058009309,0.00057817607,0.00057704254,76.330196
0.0045,74.997355,0,0.011177442,0.00071672397,0.00071459294,0.0007133327,76.478718
0.005,74.997085,0,0.012845229,0.00086779026,0.00086544522,0.00086405827,76.627383
0.0055,74.996812,0,0.014444007,0.001033292,0.0010307329,0.0010292193,76.776193
0.006,74.996536,0,0.015930325,0.0012132291,0.001210456,0.0012088157,76.925148
0.0065,74.996258,0,0.017268481,0.0014076016,0.0014046146,0.0014028475,77.074247
0.007,74.995979,0,0.018429814,0.0016164096,0.0016132085,0.0016113147,77.22349
0.0075,74.995699,0,0.019390923,0.001839653,0.0018362379,0.0018342174,77.372877
0.008,74.995419,0,0.020132168,0.0020773317,0.0020737026,0.0020715554,77.522409
0.0085,74.995118,1.0853576e-06,0.020778167,0.0022070377,0.0022838178,0.0023160207,77.672085
0.009,74.994796,5.1439404e-06,0.021713379,0.0020781013,0.0022971997,0.0023999337,77.821906
0.0095,74.994489,6.810726e-06,0.022607978,0.0020116264,0.0021914343,0.0023026649,77.971871
0.01,74.994189,7.1198512e-06,0.023268143,0.0020069562,0.002071566,0.0021258951,78.12198
0.0105,74.993895,6.8135741e-06,0.023596816,0.0020039521,0.0019805931,0.0019736043,78.272234
0.011,74.993604,6.3409836e-06,0.023565593,0.0019757592,0.001920732,0.001885065,78.422632
0.0115,74.993318,5.9939463e-06,0.023197112,0.0019241628,0.0018798953,0.0018474448,78.573174
0.012,74.993036,5.9345782e-06,0.022544257,0.0018572792,0.00184212,0.0018283077,78.723861
0.0125,74.992758,6.1870809e-06,0.021667331,0.0017790978,0.0017924328,0.0017978236,78.874692
0.013,74.992484,6.6673011e-06,0.020617455,0.0016895909,0.0017209305,0.0017384996,79.025667
0.0135,74.992215,7.246506e-06,0.01943008,0.0015877247,0.001624781,0.0016462568,79.176787
0.014,74.991951,7.8116907e-06,0.018127124,0.0014734602,0.0015071739,0.0015265711,79.328051
0.0145,74.991692,8.2966465e-06,0.016723724,0.0013482971,0.0013744562,0.0013890614,79.479459
0.015,74.991438,8.6824178e-06,0.01523526,0.0012150233,0.0012333855,0.0012431136,79.631012
0.0155,74.991189,8.9803874e-06,0.0136816,0.0010772009,0.0010895846,0.0010957019,79.782709
0.016,74.990945,9.2127053e-06,0.01208786,0.00093862696,0.00094719779,0.00095117966,79.934551
0.0165,74.990706,9.3989969e-06,0.010482931,0.00080287124,0.00080920602,0.00081210396,80.086537
0.017,74.990473,9.5515136e-06,0.0088974936,0.00067295972,0.00067787213,0.00068019075,80.238667
0.0175,74.990244,9.676429e-06,0.0073625403,0.00055123798,0.00055503425,0.00055690791,80.390941
0.018,74.990021,9.7775048e-06,0.0059084523,0.00043939893,0.00044221049,0.00044364291,80.54336
0.0185,74.989802,9.8590623e-06,0.004564277,0.0003386199,0.00034060539,0.00034162474,80.695924
0.019,74.989587,9.9268671e-06,0.0033569103,0.00024974048,0.00025112047,0.00025181673,80.848631
0.0195,74.989376,9.987118e-06,0.0023101617,0.00017342386,0.00017441737,0.00017490448,81.001483
0.02,74.989168,1.0044608e-05,0.0014438577,0.00011026698,0.00011102053,0.00011138494,81.15448
0.0205,74.988963,1.0101217e-05,0.00077315866,6.0849053e-05,6.1414219e-05,6.1690834e-05,81.30762
0.021,74.98876,1.0155443e-05,0.00030818661,2.5725848e-05,2.6091753e-05,2.6275834e-05,81.460905
0.0215,74.988559,1.0203025e-05,5.3968469e-05,5.3872094e-06,5.5406574e-06,5.6205552e-06,81.614335
0.022,74.988359,1.0238277e-05,1.062764e-05,1.9769959e-07,1.7577322e-07,1.6462885e-07,81.767909
0.0225,74.988159,1.0255513e-05,0.00017373113,1.0336647e-05,1.0249546e-05,1.0200724e-05,81.921627
