t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4
0,74.975456,0,0,7.2177075e-06,7.2177075e-06,7.2177075e-06,75.147222
0.0005,74.975363,0,0,2.887083e-05,2.887083e-05,2.887083e-05,75.294589
0.001,74.975269,0,0,6.4959368e-05,6.4959368e-05,6.4959368e-05,75.4421
0.0015,74.975175,0,0,0.00011548332,0.00011548332,0.00011548332,75.589755
0.002,74.975081,0,0,0.00018044269,0.00018044269,0.00018044269,75.737554
0.0025,74.974987,0,0,0.00025983747,0.00025983747,0.00025983747,75.885498
0.003,74.974893,0,0,0.00035366767,0.00035366767,0.00035366767,76.033587
0.0035,74.9748,0,0,0.00046193328,0.00046193328,0.00046193328,76.181819
0.004,74.974706,0,0,0.00058463431,0.00058463431,0.00058463431,76.330196
0.0045,74.974612,0,0,0.00072177075,0.00072177075,0.00072177075,76.478718
0.005,74.974518,0,0,0.00087334261,0.00087334261,0.00087334261,76.627383
0.0055,74.974424,0,0,0.0010393499,0.0010393499,0.0010393499,76.776193
0.006,74.97433,0,0,0.0012197926,0.0012197926,0.0012197926,76.925148
0.0065,74.974237,0,0,0.0014146707,0.0014146707,0.0014146707,77.074247
0.007,74.974143,0,0,0.0016239842,0.0016239842,0.0016239842,77.22349
0.0075,74.974049,0,0,0.0018477331,0.0018477331,0.0018477331,77.372877
0.008,74.973955,0,0,0.0020859175,0.0020859175,0.0020859175,77.522409
0.0085,74.973861,0,0,0.0023385372,0.0023385372,0.0023385372,77.672085
0.009,74.973767,0,0,0.0026055924,0.0026055924,0.0026055924,77.821906
0.0095,74.973552,9.2063536e-07,0,0.0027968571,0.0028412436,0.0028584365,77.971871
0.01,74.973277,3.1680959e-06,0,0.0028223578,0.0029589093,0.0030205632,78.12198
0.0105,74.973007,5.460372e-06,0,0.0027526779,0.0029333628,0.0030293974,78.272234
0.011,74.972741,7.7028677e-06,0,0.0025997093,0.0027762512,0.0028764425,78.422632
0.0115,74.97248,9.8322259e-06,0,0.0023584642,0.0025090627,0.0025933679,78.573174
0.012,74.972223,1.1802666e-05,0,0.0020360512,0.0021576182,0.0022223916,78.723861
0.0125,74.97197,1.3576729e-05,0,0.0016571906,0.0017528139,0.0018018341,78.874692
0.013,74.971722,1.5122032e-05,0,0.0012567965,0.0013292316,0.0013660255,79.025667
0.0135,74.971477,1.6410855e-05,0,0.00087099181,0.00092194476,0.00094807868,79.176787
0.014,74.971236,1.7420718e-05,0,0.00053159261,0.00056319569,0.00057962007,79.328051
0.0145,74.970999,1.8135226e-05,0,0.00026376994,0.00027962728,0.00028794477,79.479459
0.015,74.970766,1.8544755e-05,0,8.5053981e-05,9.0211088e-05,9.2928688e-05,79.631012
0.0155,74.970536,1.8646773e-05,0,4.6510533e-06,4.9458531e-06,5.1023175e-06,79.782709
0.016,74.970309,1.844578e-05,0,2.305343e-05,2.4388694e-05,2.508648e-05,79.934551
0.0165,74.970086,1.7952972e-05,0,0.00013225812,0.00014002298,0.00014408505,80.086537
0.017,74.969867,1.7185758e-05,0,0.00031675203,0.000335395,0.00034514123,80.238667
0.0175,74.96965,1.6167197e-05,0,0.00055517707,0.00058788884,0.00060498009,80.390941
0.018,74.969437,1.4925364e-05,0,0.00082245881,0.00087095941,0.00089629132,80.54336
0.0185,74.969227,1.3492629e-05,0,0.0010921597,0.0011566105,0.0011902672,80.695924
0.019,74.96902,1.1904868e-05,0,0.0013388366,0.0014178915,0.0014591704,80.848631
0.0195,74.968816,1.0200592e-05,0,0.0015402039,0.0016311936,0.0016787011,81.001483
0.02,74.968615,8.4200425e-06,0,0.0016789292,0.0017781553,0.0018299602,81.15448
0.0205,74.968416,6.6042561e-06,0,0.0017439228,0.001847028,0.0019008552,81.30762
0.021,74.96822,4.7941411e-06,0,0.0017310282,0.0018334069,0.001886852,81.460905
0.0215,74.968028,3.0295743e-06,0,0.00164308,0.0017402916,0.0017910365,81.614335
0.022,74.967837,1.3485438e-06,0,0.0014893512,0.0015775007,0.0016235123,81.767909
0.0225,74.967679,0,0,0.0012892001,0.0013712961,0.0014142166,81.921627
0.023,74.967585,0,0,0.0011034781,0.0011795138,0.0012193439,82.075489
0.0235,74.967491,0,0,0.00093220149,0.0010021855,0.0010389259,82.229496
0.024,74.967397,0,0,0.00077536569,0.00083930264,0.00087295325,82.383647
0.0245,74.967304,0,0,0.00063296594,0.00069085648,0.00072141715,82.537943
0.025,74.96721,0,0,0.00050500129,0.00055684518,0.00058431595,82.692383
0.0255,74.967116,0,0,0.00039147201,0.00043726921,0.00046165011,82.846967
0.026,74.967022,0,0,0.00029237823,0.00033212882,0.00035341983,83.001695
0.0265,74.966928,0,0,0.00020771992,0.00024142392,0.00025962504,83.156568
0.027,74.966834,0,0,0.00013749703,0.00016515446,0.00018026567,83.311586
0.0275,74.966741,0,0,8.170955e-05,0.0001033204,0.00011534172,83.466747
0.028,74.966647,0,0,4.0357487e-05,5.5921754e-05,6.4853175e-05,83.622053
0.0285,74.966553,0,0,1.344084e-05,2.2958527e-05,2.8800048e-05,83.777504
0.029,74.966459,0,0,9.5960816e-07,4.4307157e-06,7.1823384e-06,83.933098
0.0295,74.966365,0,0,2.9137918e-06,3.3831982e-07,4.3490096e-11,84.088837
0.03,74.966271,0,0,1.930339e-05,1.0681339e-05,7.2531636e-06,84.244721
0.0305,74.966178,0,0,5.0128404e-05,3.5459773e-05,2.8941699e-05,84.400749
0.031,74.966084,0,0,9.5388833e-05,7.4673622e-05,6.5065649e-05,84.556921
