t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4
0,74.999732,1.0458686e-07,0.0001707504,6.7217669e-06,6.9649674e-06,7.0590913e-06,75.147222
0.0005,74.999468,1.3771408e-07,0.00065490506,2.7108971e-05,2.7558322e-05,2.78179e-05,75.294589
0.001,74.999209,5.5833177e-08,0.0014017493,6.3054249e-05,6.2528777e-05,6.2451694e-05,75.4421
0.0015,74.998952,1.0029413e-08,0.0023685264,0.00011323767,0.00011229361,0.00011177509,75.589755
0.002,74.998699,0,0.0035252512,0.00017763281,0.0001764499,0.00017579988,75.737554
0.0025,74.998448,0,0.0048514552,0.00025646342,0.00025504161,0.00025425998,75.885498
0.003,74.9982,0,0.00632819,0.00034972943,0.00034806876,0.00034715552,76.033587
0.0035,74.997954,0,0.0079293372,0.00045743085,0.00045553133,0.0004544865,76.181819
0.004,74.997711,0,0.0096170775,0.00057956769,0.00057742933,0.0005762529,76.330196
0.0045,74.997469,0,0.011343047,0.00071613995,0.00071376273,0.00071245471,76.478718
0.005,74.99723,0,0.013053777,0.00086714763,0.00086453155,0.00086309193,76.627383
0.0055,74.996992,0,0.014697395,0.0010325907,0.0010297358,0.0010281646,76.776193
0.006,74.996755,0,0.016228695,0.0012124692,0.0012093754,0.0012076726,76.925148
0.0065,74.99652,0,0.01761109,0.0014067831,0.0014034505,0.0014016161,77.074247
0.007,74.996287,0,0.018815686,0.0016155325,0.001611961,0.001609995,77.22349
0.0075,74.996055,0,0.019818939,0.0018387172,0.0018349069,0.0018328093,77.372877
0.008,74.995824,0,0.02060061,0.0020763374,0.0020722882,0.002070059,77.522409
0.0085,74.995594,0,0.021143124,0.002328393,0.0023241049,0.0023217441,77.672085
0.009,74.995311,4.1330218e-06,0.021976228,0.0021980084,0.0024113853,0.0024965939,77.821906
0.0095,74.995052,6.7023249e-06,0.022884704,0.0020833606,0.0023200929,0.0024536287,77.971871
0.01,74.994807,7.4080414e-06,0.023616679,0.00205906,0.0021799513,0.0022706491,78.12198
0.0105,74.994569,7.2079487e-06,0.024035795,0.0020587565,0.0020622525,0.0020786728,78.272234
0.011,74.994337,6.6928899e-06,0.024085687,0.0020373186,0.0019813727,0.0019494265,78.422632
0.0115,74.994108,6.2240812e-06,0.023771557,0.0019880244,0.0019282756,0.0018864603,78.573174
0.012,74.993882,6.0171208e-06,0.023140602,0.0019190883,0.0018865477,0.0018598636,78.723861
0.0125,74.993658,6.1479313e-06,0.0222575,0.0018372768,0.0018388404,0.0018348366,78.874692
0.013,74.993436,6.5662851e-06,0.021183439,0.0017445535,0.0017718265,0.0017861027,79.025667
0.0135,74.993215,7.1483062e-06,0.019964669,0.0016403212,0.0016794213,0.0017026523,79.176787
0.014,74.992995,7.7624594e-06,0.018630727,0.0015239177,0.0015627355,0.0015862113,79.328051
0.0145,74.992777,8.3154492e-06,0.017199546,0.0013959255,0.001427509,0.0014460693,79.479459
0.015,74.992559,8.7655346e-06,0.015685359,0.0012585091,0.0012810351,0.0012933727,79.631012
0.0155,74.992342,9.111296e-06,0.014105224,0.0011151632,0.001130034,0.001137336,79.782709
0.016,74.992127,9.3713519e-06,0.012481782,0.00097012492,0.00097980213,0.00098403688,79.934551
0.0165,74.991912,9.567336e-06,0.010842596,0.00082767333,0.00083424065,0.00083699197,80.086537
0.017,74.991698,9.7153838e-06,0.0092180833,0.00069153471,0.00069621517,0.00069830115,80.238667
0.0175,74.991485,9.8254035e-06,0.0076397216,0.00056454568,0.00056787842,0.00056952419,80.390941
0.018,74.991272,9.904401e-06,0.0061390194,0.00044860449,0.00045083662,0.00045202868,80.54336
0.0185,74.991061,9.9599693e-06,0.0047468023,0.00034483967,0.00034621177,0.00034696055,80.695924
0.019,74.99085,1.0001604e-05,0.0034923156,0.00025388078,0.00025470141,0.00025512138,80.848631
0.0195,74.99064,1.0039509e-05,0.0024020295,0.00017612584,0.00017669685,0.00017695324,81.001483
0.02,74.99043,1.0082003e-05,0.0014983781,0.0001119382,0.00011245071,0.00011267112,81.15448
0.0205,74.990222,1.0133114e-05,0.00079874628,6.1746922e-05,6.2237819e-05,6.24626e-05,81.30762
0.021,74.990014,1.0191544e-05,0.00031489425,2.6057417e-05,2.644967e-05,2.6643007e-05,81.460905
0.0215,74.989807,1.0251353e-05,5.2843695e-05,5.3974619e-06,5.5918814e-06,5.6936968e-06,81.614335
0.022,74.9896,1.030392e-05,1.312999e-05,2.3049065e-07,1.9534747e-07,1.7765798e-07,81.767909
0.0225,74.989394,1.0340311e-05,0.00019127666,1.0864377e-05,1.0681742e-05,1.058051e-05,81.921627
0.023,74.989189,1.0353199e-05,0.00057835392,3.7374741e-05,3.7232581e-05,3.7145722e-05,82.075489
0.0235,74.988985,1.033783e-05,0.0011615224,7.9550692e-05,7.9697973e-05,7.9759094e-05,82.229496
0.024,74.988781,1.0291963e-05,0.0019245172,0.00013686169,0.00013755666,0.00013790334,82.383647
0.0245,74.988578,1.021509e-05,0.0028480782,0.00020843928,0.00020991625,0.00021066931,82.537943
0.025,74.988375,1.010739e-05,0.003910367,0.00029306728,0.00029553147,0.00029679182,82.692383
0.0255,74.988173,9.9688763e-06,0.005087413,0.00038917765,0.0003928209,0.00039467994,82.846967
0.026,74.987972,9.7989797e-06,0.0063536152,0.000494854,0.00049987474,0.0005024282,83.001695
0.0265,74.987772,9.5966432e-06,0.0076822903,0.00060784857,0.0006144599,0.00061781485,83.156568
0.027,74.987572,9.3607928e-06,0.0090462341,0.00072562012,0.00073403735,0.00073830679,83.311586
0.0275,74.987373,9.0909698e-06,0.010418252,0.00084539764,0.0008558071,0.00086109298,83.466747
0.028,74.987174,8.7878976e-06,0.01177162,0.00096427066,0.00097678981,0.00098316028,83.622053
0.0285,74.986976,8.4538182e-06,0.013080473,0.0010793011,0.0010939431,0.0011014117,83.777504
0.029,74.986779,8.0925274e-06,0.014320121,0.0011876466,0.0012043004,0.0012128139,83.933098
0.0295,74.986583,7.7091263e-06,0.015467324,0.0012866823,0.0013051138,0.0013145521,84.088837
0.03,74.986387,7.3095708e-06,0.016500562,0.0013741074,0.0013939811,0.0014041689,84.244721
0.0305,74.986191,6.9001318e-06,0.01740032,0.001448027,0.0014689413,0.0014796675,84.400749
0.031,74.985996,6.4868721e-06,0.018149396,0.0015070014,0.0015285301,0.0015395706,84.556921
0.0315,74.985802,6.075221e-06,0.018733227,0.0015500636,0.0015717944,0.001582933,84.713237
0.032,74.985609,5.669694e-06,0.019140226,0.001576707,0.0015982713,0.0016093161,84.869698
0.0325,74.985416,5.2737645e-06,0.019362089,0.0015868509,0.0016079423,0.0016187349,85.026303
0.033,74.985224,4.8898713e-06,0.019394063,0.0015807915,0.0016011721,0.0016115913,85.183053
0.0335,74.985032,4.519526e-06,0.019235135,0.0015591461,0.0015786445,0.0015886038,85.339947
0.034,74.984841,4.1634816e-06,0.018888147,0.0015227974,0.0015412994,0.0015507424,85.496985
0.0345,74.98465,3.821923e-06,0.018359798,0.0014728423,0.0014902788,0.0014991723,85.654168
0.035,74.98446,3.4946526e-06,0.017660553,0.0014105467,0.0014268818,0.0014352095,85.811495
0.0355,74.984271,3.1812526e-06,0.016804446,0.0013373089,0.0013525292,0.0013602855,85.968966
0.036,74.984082,2.8812157e-06,0.015808788,0.0012546303,0.0012687361,0.0012759221,86.126582
0.0365,74.983894,2.5940459e-06,0.014693781,0.0011640923,0.0011770912,0.0011837116,86.284342
0.037,74.983706,2.3193341e-06,0.013482059,0.0010673383,0.0010792414,0.0010853023,86.442246
0.0375,74.983519,2.0568148e-06,0.012198158,0.0009660592,0.00097687843,0.00098238643,86.600295
0.038,74.983333,1.8064102e-06,0.010867946,0.00086198116,0.00087172826,0.00087668973,86.758488
0.0385,74.983147,1.5682656e-06,0.0095180143,0.00075685366,0.00076554004,0.00076996121,86.916825
0.039,74.982962,1.3427749e-06,0.0081750669,0.00065243678,0.00066007446,0.00066396188,87.075307
0.0395,74.982777,1.1305961e-06,0.0068653164,0.00055048625,0.00055708987,0.00056045131,87.233933
0.04,74.982593,9.3265289e-07,0.0056139108,0.00045273528,0.00045832497,0.00046117092,87.392704
0.0405,74.982409,7.5011956e-07,0.0044444069,0.00036087244,0.0003654775,0.00036782295,87.551619
0.041,74.982226,5.8438866e-07,0.0033783033,0.00027651515,0.00028017822,0.00028204477,87.710678
0.0415,74.982043,4.3702074e-07,0.002434641,0.00020117931,0.00020396041,0.00020537841,87.869881
0.042,74.981861,3.0967966e-07,0.0016296775,0.00013624567,0.00013822573,0.00013923608,88.029229
0.0425,74.98168,2.0405748e-07,0.00097663585,8.2924473e-05,8.4207675e-05,8.4863089e-05,88.188722
0.043,74.981499,1.2179425e-07,0.00048552522,4.2220108e-05,4.2934673e-05,4.3300161e-05,88.348358
0.0435,74.981319,6.4398604e-08,0.00016303107,1.4897878e-05,1.5195031e-05,1.5347401e-05,88.508139
0.044,74.981139,3.3173523e-08,1.246992e-05,1.455076e-06,1.5061004e-06,1.5324932e-06,88.668065
0.0445,74.98096,2.9154891e-08,3.3804155e-05,2.0984021e-06,2.0899473e-06,2.0854574e-06,88.828134
0.045,74.980781,5.3055787e-08,0.00022371267,1.6729489e-05,1.6857449e-05,1.6922001e-05,88.988348
0.0455,74.980603,1.052356e-07,0.00057571349,4.4939854e-05,4.5402253e-05,4.5636954e-05,89.148707
0.046,74.980425,1.8567609e-07,0.0010803347,8.6016024e-05,8.7005418e-05,8.7508664e-05,89.30921
0.0465,74.980248,2.9397634e-07,0.0017253307,0.00013895498,0.00014065091,0.0001415145,89.469857
0.047,74.980071,4.2936173e-07,0.0024959389,0.00020248943,0.0002050514,0.00020635697,89.630648
0.0475,67.992321,0.0008847326,0.49646738,0.00029254271,0.0002875337,0.00028607257,80.848143
0.048,60.61251,0.0021854992,5.1261959,0.00039166111,0.00038648759,0.00038354861,61.116232
0.0485,55.524162,0.0024975477,13.812381,0.00050521579,0.00049933734,0.00049599635,42.691804
0.049,51.859484,0.0021800855,20.535537,0.00063320595,0.00062662248,0.00062287896,30.025543
0.0495,49.091571,0.0016651045,21.955365,0.00077563138,0.00076834326,0.00076419728,22.406376
0.05,46.898974,0.0012647342,20.035187,0.00093249231,0.00092449955,0.00091995122,17.789682
0.0505,45.084344,0.0011025724,17.999283,0.0011037888,0.0010950913,0.0010901406,14.451986
0.051,43.525508,0.001145717,17.189034,0.0012895206,0.0012801184,0.0012747653,11.377064
0.0515,42.145988,0.0012844995,17.293311,0.0014896878,0.0014795809,0.0014738255,8.2911473
0.052,40.897216,0.0014096502,17.683752,0.0017042905,0.0016934789,0.0016873211,5.4322819
0.0525,39.747769,0.0014577954,18.038461,0.0019333286,0.0019218123,0.0019152521,3.1458423
0.053,38.676842,0.0014202081,18.309065,0.0021768021,0.0021645811,0.0021576185,1.5903649
0.0535,37.670268,0.0013261057,18.569965,0.002434711,0.0024217853,0.0024144203,0.69554908
0.054,36.718087,0.0012172055,18.910024,0.0027070554,0.0026934249,0.0026856576,0.27766823
0.0545,35.813049,0.001126987,19.336148,0.0029938351,0.0029794999,0.0029713302,0.15973344
0.055,34.956228,0.0010669376,19.728158,0.0032950503,0.0032800104,0.0032714383,0.22661232
0.0555,34.14955,0.001024696,19.868485,0.0036107009,0.0035949563,0.0035859818,0.44217695
0.056,33.379496,0.00098633594,19.531473,0.0039407868,0.0039243376,0.0039149607,0.80855858
0.0565,32.642451,0.00094037105,18.614602,0.0042853083,0.0042681543,0.004258375,1.312129
0.057,31.935819,0.00087963093,17.145153,0.0046442651,0.0046264064,0.0046162248,1.9177115
0.0575,31.257307,0.00080114961,15.240553,0.0050176573,0.0049990939,0.0049885099,2.5752171
0.058,30.604877,0.00070497996,13.059344,0.005405485,0.0053862169,0.0053752305,3.2295012
0.0585,29.976704,0.00059286176,10.762135,0.005807748,0.0057877752,0.0057763865,3.8287577
0.059,29.371143,0.00046732766,8.4908978,0.0062244465,0.006203769,0.0061919779,4.3294192
0.0595,28.786706,0.00033139516,6.3660866,0.0066555804,0.0066341982,0.0066220047,4.6979928
0.06,28.222042,0.00018866601,4.4951483,0.0071011497,0.0070790628,0.0070664669,4.9113771
0.0605,27.675917,5.4070194e-05,2.9834003,0.0075611545,0.0075383628,0.0075253646,4.9570627
0.061,27.167321,0,1.8920023,0.0080355946,0.0080120983,0.0079986976,4.9125295
0.0615,26.682063,0,1.3255648,0.0085244702,0.0085002691,0.0084864661,4.8298426
0.062,26.215999,0,1.4061455,0.0090277811,0.0090028754,0.00898867,4.7256331
0.0625,25.767602,0,2.196502,0.0095455275,0.009519917,0.0095053093,4.620649
