t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0,107.99946,1.5998216e-08,0.0004024646,7.0914567e-06,7.5565996e-06,7.6254508e-06,7.6428005e-06,1.1905064e-05,7.0525273e-06,7.3495528e-06,108.17665
0.0005,107.99893,2.9652004e-08,0.0015775554,2.5252459e-05,3.105483e-05,3.1037715e-05,3.1023768e-05,4.7940101e-05,2.5499144e-05,2.6515281e-05,108.35345
0.001,107.99839,4.6274122e-08,0.0034661034,4.9272155e-05,7.1642588e-05,7.1474234e-05,7.1456433e-05,0.0001097514,5.0661705e-05,5.2620705e-05,108.53039
0.0015,107.99785,6.4981337e-08,0.0060116484,7.4053956e-05,0.00012918585,0.00012896052,0.00012893671,0.00019920195,7.7695227e-05,8.0607929e-05,108.70747
0.002,107.99731,8.4748399e-08,0.0091679085,9.5610976e-05,0.00020357098,0.00020328807,0.00020325822,0.00031512285,0.00010244125,0.00010613797,108.8847
0.0025,107.99677,1.0406052e-07,0.012894817,0.00011157861,0.00029479747,0.00029445697,0.00029442103,0.00045750027,0.00012204475,0.00012621583,109.06208
0.003,107.99623,1.217053e-07,0.017157068,0.00012124083,0.00040286526,0.00040246721,0.00040242518,0.00062633919,0.0001351592,0.00013942566,109.2396
0.0035,107.99568,1.3676025e-07,0.021920285,0.00012519427,0.00052777437,0.00052731877,0.00052727066,0.00082164485,0.00014179863,0.00014578851,109.41726
0.004,107.99513,1.4865242e-07,0.027149222,0.00012482203,0.00066952481,0.00066901166,0.00066895747,0.0010434178,0.00014295253,0.0001463657,109.59507
0.0045,107.99457,1.5718768e-07,0.032808966,0.00012176387,0.00082811656,0.00082754586,0.00082748559,0.0012916567,0.0001401115,0.00014275964,109.77302
0.005,107.99401,1.6252635e-07,0.038868293,0.00011751428,0.0010035496,0.0010029214,0.001002855,0.0015663605,0.00013484049,0.00013665881,109.95111
0.0055,107.99345,1.6511516e-07,0.045303292,0.0001131981,0.001195824,0.0011951382,0.0011950658,0.0018675291,0.00012848256,0.00012951749,110.12935
0.006,107.99288,1.655908e-07,0.052099379,0.00010950378,0.0014049397,0.0014041964,0.0014041179,0.0021951625,0.00012201308,0.00012239421,110.30774
0.0065,107.9923,1.6467277e-07,0.059250643,0.00010671962,0.0016308968,0.0016300958,0.0016300112,0.0025492608,0.00011601722,0.00011592239,110.48627
0.007,107.99172,1.6306148e-07,0.066756596,0.00010481833,0.0018736951,0.0018728366,0.001872746,0.0029298242,0.00011074394,0.0001103646,110.66494
