t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0,107.68805,0,0,9.62361e-06,8.4206588e-06,8.4206588e-06,8.4206588e-06,1.3232464e-05,9.0221344e-06,9.0221344e-06,108.17665
0.0005,107.68791,0,0,3.849444e-05,3.3682635e-05,3.3682635e-05,3.3682635e-05,5.2929855e-05,3.6088538e-05,3.6088538e-05,108.35345
0.001,107.68777,0,0,8.661249e-05,7.5785929e-05,7.5785929e-05,7.5785929e-05,0.00011909217,8.1199209e-05,8.1199209e-05,108.53039
0.0015,107.68764,0,0,0.00015397776,0.00013473054,0.00013473054,0.00013473054,0.00021171942,0.00014435415,0.00014435415,108.70747
0.002,107.6875,0,0,0.00024059025,0.00021051647,0.00021051647,0.00021051647,0.00033081159,0.00022555336,0.00022555336,108.8847
0.0025,107.68736,0,0,0.00034644996,0.00030314371,0.00030314371,0.00030314371,0.0004763687,0.00032479684,0.00032479684,109.06208
0.003,107.68722,0,0,0.00047155689,0.00041261228,0.00041261228,0.00041261228,0.00064839072,0.00044208458,0.00044208458,109.2396
0.0035,107.68708,0,0,0.00061591104,0.00053892216,0.00053892216,0.00053892216,0.00084687768,0.0005774166,0.0005774166,109.41726
0.004,107.68694,0,0,0.00077951241,0.00068207336,0.00068207336,0.00068207336,0.0010718296,0.00073079288,0.00073079288,109.59507
0.0045,107.68681,0,0,0.000962361,0.00084206588,0.00084206588,0.00084206588,0.0013232464,0.00090221344,0.00090221344,109.77302
0.005,107.68667,0,0,0.0011644568,0.0010188997,0.0010188997,0.0010188997,0.0016011281,0.0010916783,0.0010916783,109.95111
0.0055,107.68653,0,0,0.0013857998,0.0012125749,0.0012125749,0.0012125749,0.0019054748,0.0012991874,0.0012991874,110.12935
0.006,107.68639,0,0,0.0016263901,0.0014230913,0.0014230913,0.0014230913,0.0022362864,0.0015247407,0.0015247407,110.30774
0.0065,107.68625,0,0,0.0018862276,0.0016504491,0.0016504491,0.0016504491,0.0025935629,0.0017683383,0.0017683383,110.48627
0.007,107.68611,0,0,0.0021653122,0.0018946482,0.0018946482,0.0018946482,0.0029773043,0.0020299802,0.0020299802,110.66494
0.0075,107.68598,0,0,0.0024636442,0.0021556886,0.0021556886,0.0021556886,0.0033875107,0.0023096664,0.0023096664,110.84376
0.008,107.68584,0,0,0.0027812233,0.0024335704,0.0024335704,0.0024335704,0.003824182,0.0026073968,0.0026073968,111.02272
0.0085,107.6857,0,0,0.0031180496,0.0027282934,0.0027282934,0.0027282934,0.0042873183,0.0029231715,0.0029231715,111.20183
0.009,107.68494,4.9640156e-06,0,0.0030769704,0.0030398578,0.0030398578,0.0030398578,0.0047769194,0.0029754676,0.003112594,111.38108
0.0095,107.68393,1.6014885e-05,0,0.0023186775,0.0033682635,0.0033682635,0.0033682635,0.0052929855,0.0025459461,0.0029113409,111.56047
0.01,107.68298,2.5254925e-05,0,0.0013262319,0.0037135105,0.0037135105,0.0037135105,0.0058355165,0.0019265554,0.0023092117,111.74001
0.0105,107.68212,3.239627e-05,0,0.00050128909,0.0040755988,0.0040755988,0.0040755988,0.0064045125,0.0012507351,0.0015102328,111.91969
0.011,107.68136,3.7306316e-05,0,6.6449545e-05,0.0044545285,0.0044545285,0.0044545285,0.0069999733,0.00063420383,0.00075773516,112.09952
0.0115,107.68072,3.9930847e-05,0,3.8714866e-05,0.0048502994,0.0048502994,0.0048502994,0.0076218991,0.00019544789,0.00022913116,112.27949
0.012,107.68015,4.0287153e-05,0,0.0002726451,0.0052629117,0.0052629117,0.0052629117,0.0082702898,8.5414851e-06,7.3361601e-06,112.45961
0.0125,107.67962,3.8485144e-05,0,0.00056138719,0.0056923653,0.0056923653,0.0056923653,0.0089451455,7.3888941e-05,8.4633849e-05,112.63987
0.013,107.67911,3.4749971e-05,0,0.00073882136,0.0061386602,0.0061386602,0.0061386602,0.0096464661,0.00032463832,0.0003801951,112.82028
0.0135,107.67863,2.9428173e-05,0,0.00073585414,0.0066017965,0.0066017965,0.0066017965,0.010374252,0.00065432508,0.00076935947,113.00083
0.014,107.67817,2.2970473e-05,0,0.00058008698,0.007081774,0.007081774,0.007081774,0.011128502,0.00095082458,0.0011205452,113.18152
0.0145,107.67778,1.5689017e-05,0,0.00042529483,0.0075785929,0.0075785929,0.0075785929,0.011909217,0.001120558,0.0013265653,113.36236
0.015,107.67741,8.4584922e-06,0,0.00029824425,0.0080922531,0.0080922531,0.0080922531,0.012716398,0.0011261868,0.0013360977,113.54334
0.0155,107.67707,1.7915453e-06,0,0.00019913536,0.0086227546,0.0086227546,0.0086227546,0.013550043,0.00097896798,0.0011614966,113.72447
0.016,107.67688,0,0,0.00012173644,0.0091700974,0.0091700974,0.0091700974,0.014410153,0.00078393646,0.0009637266,113.90574
0.0165,107.67672,0,0,6.3151294e-05,0.0097342815,0.0097342815,0.0097342815,0.015296728,0.00061104889,0.0007843355,114.08716
0.017,107.67658,0,0,2.3398973e-05,0.010315307,0.010315307,0.010315307,0.016209768,0.00046769751,0.00062453446,114.26872
0.0175,107.67644,0,0,2.9684906e-06,0.010913174,0.010913174,0.010913174,0.017149273,0.00034702944,0.00048343799,114.45042
0.018,107.6763,0,0,1.9605678e-06,0.011527882,0.011527882,0.011527882,0.018115243,0.00024446432,0.00036041542,114.63227
0.0185,107.67616,0,0,2.027305e-05,0.012159431,0.012159431,0.012159431,0.019107678,0.00015943007,0.00025537398,114.81426
0.019,107.67602,0,0,5.7833248e-05,0.012807822,0.012807822,0.012807822,0.020126577,9.2427109e-05,0.00016837295,114.9964
0.0195,107.67589,0,0,0.00011463086,0.013473054,0.013473054,0.013473054,0.021171942,4.3635006e-05,9.9435709e-05,115.17868
0.02,107.67532,3.5282932e-06,0,0.00019067491,0.014155127,0.014155127,0.014155127,0.021567989,1.2974028e-05,4.8553435e-05,115.36111
0.0205,107.67471,8.6125657e-06,0,0.00028596936,0.014854042,0.014854042,0.014854042,0.021028512,3.6614588e-07,1.5716785e-05,115.54368
0.021,107.67412,1.3532375e-05,0,0.00040051293,0.015569798,0.015569798,0.015569798,0.019631808,5.7943053e-06,9.2352444e-07,115.7264
0.0215,107.67352,1.8133488e-05,0,0.00053430399,0.016302395,0.016302395,0.016302395,0.0175136,2.9265043e-05,4.174312e-06,115.90925
0.022,107.67291,2.2135085e-05,0,0.00060619106,0.017051834,0.017051834,0.017051834,0.01489047,7.0782363e-05,2.546961e-05,116.09226
