t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0,107.99946,3.2188855e-07,0.00039894287,8.3649648e-06,7.8827196e-06,8.1696896e-06,8.2712411e-06,1.262129e-05,8.0709008e-06,8.5481907e-06,108.17665
0.0005,107.99893,8.8085097e-07,0.0015697581,2.9930498e-05,3.1344465e-05,3.2142597e-05,3.2531966e-05,4.9608714e-05,2.9782728e-05,3.2059285e-05,108.35345
0.001,107.9984,1.6478245e-06,0.0034604636,5.8813632e-05,7.1559073e-05,7.1902612e-05,7.2292381e-05,0.00011110037,6.0750273e-05,6.5920442e-05,108.53039
0.0015,107.99788,2.6089586e-06,0.006013593,8.8957029e-05,0.00012985887,0.00012852604,0.00012824925,0.00019920589,9.5772165e-05,0.00010432341,108.70747
0.002,107.99736,3.731491e-06,0.0091821877,0.0001150281,0.0002049606,0.00020281324,0.00020172333,0.00031513401,0.00012939769,0.000141181,108.8847
0.0025,107.99684,4.9519624e-06,0.01293261,0.00013339356,0.00029646996,0.00029388516,0.00029257331,0.00045752541,0.00015693753,0.00017116223,109.06208
0.003,107.99633,6.1839376e-06,0.017232932,0.0001427145,0.00040481987,0.00040179861,0.00040026432,0.00062636387,0.00017534433,0.00019067779,109.2396
0.0035,107.99582,7.3353282e-06,0.022050782,0.00014380075,0.00053001058,0.00052655339,0.00052479668,0.00082166348,0.00018359572,0.00019844861,109.41726
0.004,107.99531,8.324916e-06,0.027351108,0.00013886933,0.00067204294,0.00066814946,0.00066617046,0.0010434352,0.0001825345,0.00019543624,109.59507
0.0045,107.99481,9.0939747e-06,0.033097449,0.00013061885,0.00083091686,0.00082658687,0.00082438557,0.0012916772,0.00017430851,0.00018421695,109.77302
0.005,107.99431,9.6123469e-06,0.039255809,0.00012148232,0.0010066321,0.0010018656,0.00099944199,0.0015663838,0.00016163791,0.00016808859,109.95111
0.0055,107.99381,9.8796631e-06,0.045799103,0.00011322141,0.0011991886,0.0011939857,0.0011913397,0.0018675536,0.00014714201,0.00015023059,110.12935
0.006,107.99332,9.922521e-06,0.052710115,0.00010683814,0.0014085864,0.0014029471,0.0014000788,0.0021951879,0.00013288795,0.00013313634,110.30774
0.0065,107.99283,9.788403e-06,0.059981632,0.00010268014,0.0016348256,0.0016287498,0.0016256592,0.0025492878,0.00012021153,0.00011838624,110.48627
0.007,107.99234,9.5373225e-06,0.067613641,0.00010060913,0.0018779061,0.0018713938,0.0018680808,0.0029298532,0.00010975873,0.00010669845,110.66494
0.0075,107.99185,9.2325089e-06,0.075608436,0.00010015535,0.0021378279,0.0021308791,0.0021273439,0.0033368836,0.00010164518,9.8129732e-05,110.84376
0.008,107.99136,8.9315918e-06,0.083965074,0.00010064335,0.002414591,0.0024072058,0.0024034482,0.0037703787,9.5637839e-05,9.2305082e-05,111.02272
0.0085,107.99088,8.6795856e-06,0.092674563,0.00010130979,0.0027081954,0.0027003738,0.0026963938,0.0042303387,9.1304817e-05,8.8607253e-05,111.20183
