t,com_y:support,com_y:plate_0,com_y:fork_0,com_y:knife_0,com_y:plate_1,com_y:fork_1,com_y:knife_1,com_y:plate_2,com_y:fork_2,com_y:knife_2,com_y:plate_3,com_y:fork_3,com_y:knife_3,com_y:plate_4,com_y:fork_4,com_y:knife_4,com_y:plate_5,com_y:fork_5,com_y:knife_5,com_y:cup_0,com_y:cup_1,com_y:cup_2,com_y:cup_3,com_y:candle_0,com_y:candle_1,com_y:pot,E_el:support,E_el:plate_0,E_el:fork_0,E_el:knife_0,E_el:plate_1,E_el:fork_1,E_el:knife_1,E_el:plate_2,E_el:fork_2,E_el:knife_2,E_el:plate_3,E_el:fork_3,E_el:knife_3,E_el:plate_4,E_el:fork_4,E_el:knife_4,E_el:plate_5,E_el:fork_5,E_el:knife_5,E_el:cup_0,E_el:cup_1,E_el:cup_2,E_el:cup_3,E_el:candle_0,E_el:candle_1,E_el:pot,F:candle_0->support,F:candle_1->support,F:cup_0->support,F:cup_1->support,F:cup_2->support,F:cup_3->support,F:fork_0->support,F:fork_1->support,F:fork_2->support,F:fork_3->support,F:fork_4->support,F:fork_5->support,F:knife_0->support,F:knife_1->support,F:knife_2->support,F:knife_3->support,F:knife_4->support,F:knife_5->support,F:plate_0->support,F:plate_1->support,F:plate_2->support,F:plate_3->support,F:plate_4->support,F:plate_5->support,F:pot->support,support_mid_uy
0.150100,0.009089356,0.039671206,0.034683948,0.035008606,0.045659471,0.038727563,0.040719439,0.040343311,0.035143629,0.034818058,0.039674595,0.035197218,0.034697162,0.045593779,0.040781999,0.039133945,0.040383695,0.034718847,0.035059182,0.060788595,0.059989764,0.060953666,0.060040112,0.119900501,0.119357212,0.594999980,4.086811e-01,5.670532e-04,1.587196e-05,2.137566e-05,3.175992e-03,1.605809e-05,3.477426e-05,1.906639e-04,6.936954e-05,3.150820e-05,5.170530e-04,1.565361e-05,6.299091e-05,3.312975e-03,1.048359e-05,9.693763e-06,1.954716e-04,9.297310e-05,3.111484e-05,1.743457e-04,9.975635e-05,1.712302e-04,1.033817e-04,2.793542e-03,6.131605e-04,2.788840e-15,0.000000,0.000000,0.000000,0.000000,0.000000,0.279831,0.950009,0.000000,0.000000,0.331038,0.000000,0.098519,0.000000,0.000000,0.241448,0.820777,0.000000,0.111563,0.278655,0.000000,0.000000,2.051749,0.000000,0.000000,0.000000,-1.512796225e-03
0.155100,0.008880651,0.039032755,0.034795262,0.034468860,0.045479172,0.038316114,0.040615667,0.040050437,0.034785382,0.034693731,0.038988751,0.034751433,0.034677719,0.045403668,0.040560967,0.038784398,0.040115555,0.034850715,0.034756045,0.059840737,0.059622042,0.060028743,0.059684728,0.118962832,0.118398773,0.594872450,6.140755e-01,5.349892e-04,1.688660e-05,6.211766e-05,7.600547e-04,1.057910e-04,1.188811e-05,4.542205e-04,4.459085e-05,7.595538e-05,9.233594e-04,2.129047e-05,5.629432e-05,6.689677e-04,1.388259e-05,9.233533e-05,3.767532e-04,5.848518e-05,4.709902e-05,2.607389e-04,9.056836e-04,1.732314e-04,7.560189e-04,2.097864e-03,4.870667e-03,1.479607e-15,0.000000,6.884702,0.246421,2.704281,0.000000,2.166271,0.414565,0.000000,0.003645,0.144077,0.000000,0.002936,0.241290,0.000000,0.338486,0.319817,0.000000,0.404533,5.845791,0.000000,0.000000,7.465773,0.000000,0.000000,0.000000,-1.835302807e-03
0.160100,0.008763240,0.039145708,0.034741251,0.033978849,0.045053622,0.037659415,0.040266646,0.039524391,0.034339312,0.034588493,0.039136654,0.034111644,0.034550675,0.044968306,0.040186036,0.038189601,0.039610390,0.034842288,0.034310750,0.058856269,0.059419117,0.058950046,0.059424524,0.118023755,0.117633243,0.594499670,7.499825e-01,9.334083e-04,8.929986e-06,7.988053e-05,2.714527e-03,1.264096e-04,4.320239e-05,2.127511e-04,4.673105e-05,1.092376e-05,1.655131e-04,8.320215e-05,2.955357e-05,2.889335e-03,1.411806e-04,5.328380e-05,3.961148e-04,6.822068e-05,5.933878e-05,3.059868e-03,8.800497e-04,2.578192e-03,9.533010e-04,9.351953e-03,1.480431e-02,1.563199e-15,17.000472,19.218037,8.626073,9.353627,5.209958,8.296710,0.111974,0.000000,0.763249,0.373606,0.586011,0.756329,0.913372,0.000000,0.526864,0.452310,0.000000,0.045645,25.070648,0.000000,0.959706,27.020442,0.000000,0.792680,0.000000,-2.037153838e-03
0.165100,0.008734914,0.039545873,0.034479289,0.033674311,0.044382822,0.036899758,0.039672374,0.038913035,0.033871205,0.034446432,0.039626536,0.033615407,0.034462351,0.044287695,0.039786903,0.037349554,0.039000451,0.034817571,0.033686463,0.058440526,0.059394170,0.058377498,0.059360567,0.117462038,0.117466257,0.593881640,7.842310e-01,6.263194e-04,1.834460e-06,3.450240e-05,5.572614e-04,1.302714e-04,3.955474e-05,7.281411e-04,5.034510e-05,4.379441e-05,5.863144e-04,2.549760e-05,2.935278e-05,4.938876e-04,3.269602e-04,9.050171e-06,4.151176e-04,7.293265e-05,2.958945e-05,4.315823e-04,3.036078e-04,1.273736e-03,3.680329e-04,2.260308e-02,1.949129e-02,1.270174e-15,30.642179,34.095016,14.219697,3.504472,17.120573,4.730149,0.041731,0.911845,0.537088,1.538033,0.204883,0.048048,2.230637,0.000000,1.037427,0.599892,0.000000,0.542289,1.603819,0.000000,7.667601,0.525110,0.000000,4.851707,0.000000,-2.086249676e-03
0.170100,0.008794597,0.039810271,0.034226727,0.034025173,0.043466773,0.036196092,0.038935667,0.039166887,0.033768922,0.034587936,0.039879179,0.033967617,0.034468904,0.043361833,0.039208958,0.036264257,0.039053128,0.034548890,0.033862743,0.058691454,0.059479941,0.058640834,0.059446479,0.117635953,0.117987201,0.593018360,7.120963e-01,5.304726e-04,1.973627e-05,5.921296e-05,1.896990e-03,2.813071e-04,1.070123e-04,2.529342e-04,3.922475e-05,3.225867e-05,3.101220e-04,1.314555e-05,5.434280e-06,2.117107e-03,1.649938e-04,9.021369e-05,3.589896e-04,1.165518e-05,5.589376e-05,4.432082e-03,1.276736e-03,4.034566e-03,1.360434e-03,1.931757e-02,6.912767e-03,6.481500e-16,27.721270,23.220534,17.799005,9.523053,17.851161,9.721429,2.227784,0.175844,2.774941,2.425657,0.375429,0.000000,1.167462,0.704426,0.985950,1.217175,0.000000,3.666973,2.222307,0.000000,27.956989,0.176755,0.000000,31.139096,0.000000,-1.975590432e-03
0.175100,0.008946273,0.039878755,0.034713137,0.034578230,0.042305473,0.035256847,0.038216630,0.039753210,0.034352345,0.034706078,0.039960144,0.034527479,0.034603867,0.042190722,0.038567285,0.034933711,0.039687057,0.034335862,0.034520542,0.059717818,0.059847350,0.059689770,0.059828299,0.118384385,0.118769951,0.591909830,5.455590e-01,5.385671e-04,6.296826e-06,1.365037e-04,8.881989e-04,1.889221e-04,3.280182e-04,3.603927e-04,8.394849e-05,5.603124e-05,7.579616e-04,1.125249e-04,5.165561e-05,8.567369e-04,5.453582e-05,5.421437e-05,5.170320e-04,1.220895e-05,3.591500e-05,3.866682e-04,1.310833e-04,3.527788e-04,1.681282e-04,4.922167e-03,3.782024e-03,-3.634762e-18,22.165952,10.347612,9.508818,4.676234,11.029352,4.826386,0.885286,0.000000,0.765357,0.849281,0.236729,2.374144,0.658491,0.206899,0.446982,0.842414,0.000000,0.225052,0.099277,0.000000,2.196192,3.465841,0.000000,2.448852,0.000000,-1.738558052e-03
0.180100,0.009154075,0.039702348,0.035022612,0.034967267,0.040898924,0.034091225,0.037266327,0.040223576,0.034801668,0.034802875,0.039937384,0.035080392,0.034799907,0.040774360,0.037705290,0.033446344,0.040236314,0.034864881,0.035003234,0.060693454,0.060063815,0.060754158,0.060065572,0.119321989,0.119451608,0.590556050,3.509757e-01,5.508833e-04,7.745272e-06,4.165103e-05,1.623631e-03,6.880382e-05,1.184724e-04,4.860107e-04,1.527698e-04,1.188709e-04,3.311899e-04,8.116932e-05,6.169207e-05,1.811571e-03,6.241929e-05,8.541321e-05,3.716282e-04,3.821816e-05,1.532554e-05,1.365321e-04,1.819933e-04,2.753540e-04,1.331946e-04,3.379555e-03,1.084457e-03,-8.862411e-16,2.622958,0.213280,0.012470,0.005435,0.263715,0.034279,0.079775,0.224809,0.196720,0.141666,0.021586,0.924467,0.000000,0.000000,0.478821,0.329313,1.477272,0.349783,0.000000,0.000000,1.266983,0.826650,0.000000,2.313053,0.000000,-1.401222739e-03
0.185100,0.009379429,0.039381256,0.035175415,0.035111346,0.039371198,0.033868673,0.036153848,0.040461585,0.035236703,0.034844352,0.039712421,0.035399490,0.034889255,0.039323917,0.036641497,0.034380542,0.040573943,0.035234872,0.035358126,0.061423865,0.060036140,0.061574907,0.060065418,0.120042595,0.119888364,0.588957020,1.892597e-01,5.502983e-04,6.937327e-06,3.314051e-05,1.478169e-03,3.559080e-04,6.963340e-05,5.306411e-04,1.921287e-04,1.185195e-04,5.320368e-04,3.843545e-06,2.949832e-05,1.427018e-03,9.695623e-05,2.149632e-05,5.090356e-04,5.100076e-05,5.476402e-05,2.907070e-04,1.935105e-04,3.437648e-04,3.523396e-04,4.587298e-03,2.514635e-03,-3.897354e-15,0.000000,0.000000,0.000000,0.201868,0.000000,0.697854,0.242169,6.701533,0.541457,0.000000,0.120336,0.000000,0.017938,0.521190,0.411971,0.380246,8.594746,0.070244,8.365963,9.265543,0.014652,2.931413,11.757380,0.000000,0.000000,-1.014116917e-03
0.190100,0.009542343,0.039738953,0.035123199,0.035126335,0.038896045,0.035614807,0.034979658,0.040544611,0.035490277,0.034883041,0.039536386,0.035486931,0.035008298,0.038971554,0.035350210,0.036510919,0.040678554,0.035414079,0.035471538,0.061909026,0.059903855,0.062150406,0.060003682,0.120517952,0.120084036,0.587112740,1.035327e-01,5.895003e-04,1.942383e-05,7.115517e-05,7.133489e-03,1.575098e-04,5.692366e-05,4.531928e-04,3.009786e-05,1.096166e-05,6.249231e-04,8.918235e-05,4.265991e-05,6.316433e-03,4.402927e-05,1.111675e-04,3.830207e-04,7.730785e-06,5.704929e-05,3.645317e-04,1.023532e-03,2.756393e-04,9.640919e-04,3.295237e-03,3.079135e-03,-4.028171e-15,0.000000,1.404501,0.000000,5.797058,0.000000,5.863433,0.000121,1.524243,0.072838,0.134351,0.097630,0.449536,0.595767,0.386279,0.889826,0.695005,0.000000,0.000000,19.432505,54.387263,4.075615,11.488782,53.767577,1.442857,0.000000,-7.610537752e-04
0.195100,0.009569501,0.040224356,0.034834265,0.035067164,0.040636957,0.037218218,0.034475672,0.040512077,0.035638239,0.035000280,0.039877846,0.035388897,0.034981919,0.040713942,0.034308741,0.038396046,0.040672437,0.035508017,0.035339700,0.062148937,0.059971763,0.062480655,0.060063435,0.120748058,0.120094647,0.585023210,9.313419e-02,7.529327e-04,6.663654e-06,9.346927e-05,5.102802e-03,1.815523e-04,2.213593e-04,4.215158e-04,1.212458e-05,5.574191e-05,5.485690e-04,4.529742e-05,3.178150e-05,4.577244e-03,4.402456e-04,1.885853e-04,1.759648e-04,2.013619e-05,6.692138e-06,2.458209e-04,1.271187e-04,1.461430e-04,1.340792e-04,2.916963e-03,5.949373e-04,-8.893614e-15,0.000000,1.816519,0.000000,5.403317,0.000000,3.615971,0.117837,0.070088,0.373201,0.047597,3.450622,0.072294,0.112811,4.751112,0.536645,0.021427,0.000000,0.000000,0.323403,16.623542,0.350665,9.899107,14.631110,2.038812,0.000000,-6.953387468e-04
