scene,solver,step,t_s,Eimp_J,Eslab_mJ,Erest_mJ,ErestKE_mJ,lift_mm,min_gap_m,Fimp_sum_N,Frest_sum_N
shelf,avbd,0,0.00000,1.60192,0.486934,-0.149625,0.00159887,-0.0154153,-2.24325e-06,0.0000,8.9325
shelf,avbd,1,0.00833,1.97853,0.577287,-0.298649,0.00153243,-0.0305995,-2.25008e-06,0.0000,8.9608
shelf,avbd,2,0.01667,2.39486,0.674426,-0.445503,0.00147972,-0.045564,-2.25664e-06,0.0000,8.9917
shelf,avbd,3,0.02500,2.85092,0.777852,-0.590237,0.00142792,-0.0603124,-2.25781e-06,0.0000,9.0030
shelf,avbd,4,0.03333,3.34815,0.887183,-0.732954,0.00138295,-0.074856,-2.26306e-06,0.0000,9.0261
shelf,avbd,5,0.04167,3.88533,1.00213,-0.873694,0.00134162,-0.0891984,-2.26652e-06,0.0000,9.0429
shelf,avbd,6,0.05000,4.46246,1.12239,-1.0125,0.00129805,-0.103343,-2.27077e-06,0.0000,9.0635
shelf,avbd,7,0.05833,5.07953,1.24771,-1.14936,0.00126086,-0.117291,-2.27313e-06,0.0000,9.0742
shelf,avbd,8,0.06667,5.73656,1.37782,-1.28436,0.00122422,-0.131048,-2.27642e-06,0.0000,9.0865
shelf,avbd,9,0.07500,6.43353,1.51247,-1.41745,0.00119087,-0.144612,-2.27786e-06,0.0000,9.0930
shelf,avbd,10,0.08333,7.17045,1.65147,-1.54872,0.00115525,-0.15799,-2.28105e-06,0.0000,9.1063
shelf,avbd,11,0.09167,7.94732,1.79471,-1.67819,0.00112549,-0.171185,-2.28488e-06,0.0000,9.1217
shelf,avbd,12,0.10000,8.76413,1.9419,-1.80592,0.00109348,-0.184201,-2.28524e-06,0.0000,9.1277
shelf,avbd,13,0.10833,9.62089,2.09284,-1.93192,0.00106195,-0.197042,-2.28678e-06,0.0000,9.1358
shelf,avbd,14,0.11667,10.5176,2.24723,-2.05627,0.00103602,-0.209715,-2.29055e-06,0.0000,9.1484
shelf,avbd,15,0.12500,11.4543,2.40488,-2.17895,0.00100535,-0.222217,-2.29293e-06,0.0000,9.1594
shelf,avbd,16,0.13333,12.4309,2.5656,-2.29994,0.000980162,-0.234548,-2.29565e-06,0.0000,9.1691
shelf,avbd,17,0.14167,13.4474,2.72919,-2.41928,0.000952832,-0.246711,-2.30037e-06,0.0000,9.1841
shelf,avbd,18,0.15000,14.5039,2.89563,-2.53698,0.000925879,-0.258707,-2.30014e-06,0.0000,9.1862
shelf,avbd,19,0.15833,15.6004,3.06474,-2.65311,0.000901706,-0.270542,-2.30174e-06,0.0000,9.1957
shelf,avbd,20,0.16667,16.7368,3.2362,-2.76767,0.000875486,-0.282217,-2.30295e-06,0.0000,9.1991
shelf,avbd,21,0.17500,17.9135,3.41002,-2.88065,0.00085432,-0.293732,-2.3043e-06,0.0000,9.2033
shelf,avbd,22,0.18333,19.1307,3.58591,-2.99214,0.000828803,-0.305094,-2.30435e-06,0.0000,9.2072
shelf,avbd,23,0.19167,20.3879,3.76379,-3.10213,0.000808213,-0.316303,-2.30795e-06,0.0000,9.2197
shelf,avbd,24,0.20000,21.6851,3.94354,-3.21061,0.000787883,-0.32736,-2.31228e-06,0.0000,9.2426
