scene,solver,iters,substeps,coupling,Eimp_peak_J,Eslab_peak_mJ,ErestKE_peak_mJ,Erest_launch_mJ,slab_rings,bounces,max_lift_mm,Frest_peak_N,Fimp_peak_N,twoway_ratio,finite
shelf,avbd,16,4,two_way,28.7740,1389.9103,17.7878,1.9579,1,1,-0.380,417.10,0.00,0.999,True
shelf,avbd,16,4,one_way,28.7740,839.7031,17.8023,1.9571,2,2,-0.370,370.64,0.00,0.999,True
shelf,avbd,8,2,two_way,28.4924,426.8156,3.8751,0.8765,2,1,-0.113,3.06,0.00,1.594,True
shelf,avbd,8,2,one_way,28.4924,226.5263,2.4303,1.5168,2,1,-0.121,641.37,0.00,1.594,True
shelf,avbd,8,4,two_way,28.6625,468.1374,9.9220,2.0997,1,1,-0.211,4.68,0.00,3.332,True
shelf,avbd,8,4,one_way,28.6625,367.4623,2.9777,2.2416,1,2,-0.213,439.24,0.00,3.332,True
shelf,avbd,8,8,two_way,28.7830,900.0071,8.5015,0.8058,3,2,-0.357,150.02,0.00,0.929,True
shelf,avbd,8,8,one_way,28.7830,784.0001,9.1542,0.8083,2,2,-0.351,182.61,0.00,0.929,True
shelf,avbd,16,2,two_way,28.0541,747.4934,11.0697,1.4501,1,1,-0.219,628.50,0.00,2.220,True
shelf,avbd,16,2,one_way,28.0541,309.9695,4.9854,1.4507,2,1,-0.216,636.16,0.00,2.220,True
shelf,avbd,16,4,two_way,28.7740,1389.9103,17.7878,1.9579,1,1,-0.380,417.10,0.00,0.999,True
shelf,avbd,16,4,one_way,28.7740,839.7031,17.8023,1.9571,2,2,-0.370,370.64,0.00,0.999,True
shelf,avbd,16,8,two_way,28.7851,3101.2682,23.8023,0.7789,1,2,-0.581,382.51,0.00,0.955,True
shelf,avbd,16,8,one_way,28.7851,1939.1337,24.9305,0.7834,2,2,-0.544,372.70,0.00,0.955,True
shelf,avbd,32,2,two_way,28.5562,1538.0263,18.4434,3.5924,1,2,-0.381,575.77,0.00,0.999,True
shelf,avbd,32,2,one_way,28.5562,662.8430,18.4675,3.5976,1,1,-0.371,586.75,0.00,0.999,True
shelf,avbd,32,4,two_way,28.8022,4899.6184,42.9352,1.6118,3,3,-0.583,511.74,0.00,1.920,True
shelf,avbd,32,4,one_way,28.8022,1939.0664,22.3588,1.6126,1,2,-0.560,461.85,0.00,1.920,True
shelf,avbd,32,8,two_way,28.7851,10206.1084,46.3346,17.7218,3,4,0.919,441.50,0.00,1.826,True
shelf,avbd,32,8,one_way,28.7851,3580.2707,25.3684,0.7703,2,2,-0.666,548.77,0.00,1.826,True
shelf,xpbd,16,4,two_way,28.9510,3303.2505,387.2824,395.2710,6,6,38.857,569.19,0.00,28.975,True
shelf,xpbd,16,4,one_way,28.9510,293.3879,13.3662,1.6708,27,2,-0.028,242.26,0.00,28.975,True
shelf,xpbd,8,2,two_way,28.9510,351850.9357,255.4406,282.7058,9,4,26.932,23.32,0.00,19.111,True
shelf,xpbd,8,2,one_way,28.9510,166075.3711,13.3661,3.3415,1,1,0.000,13.84,0.00,19.111,True
shelf,xpbd,8,4,two_way,28.9510,45399.6404,405.4718,412.1648,5,7,40.595,587.73,0.00,30.336,True
shelf,xpbd,8,4,one_way,28.9510,1983.2532,13.3662,1.6708,2,2,-0.028,282.63,0.00,30.336,True
shelf,xpbd,8,8,two_way,28.9510,10738.6598,659.3000,693.0940,5,6,69.582,456.87,0.00,64.405,True
shelf,xpbd,8,8,one_way,28.9510,173.6395,10.2368,0.7314,1,2,-0.098,108.77,0.00,64.405,True
shelf,xpbd,16,2,two_way,28.9510,7401.3415,219.7930,260.8881,14,5,24.720,29.67,0.00,16.444,True
shelf,xpbd,16,2,one_way,28.9510,1603.3926,13.3661,3.3416,1,1,0.000,12.96,0.00,16.444,True
shelf,xpbd,16,4,two_way,28.9510,3303.2505,387.2824,395.2710,6,6,38.857,569.19,0.00,28.975,True
shelf,xpbd,16,4,one_way,28.9510,293.3879,13.3662,1.6708,11,2,-0.028,242.26,0.00,28.975,True
shelf,xpbd,16,8,two_way,28.9510,3535.3933,766.8625,784.4046,4,9,78.854,333.36,0.00,74.912,True
shelf,xpbd,16,8,one_way,28.9510,169.1752,10.2368,0.7314,1,2,-0.098,32.03,0.00,74.912,True
shelf,xpbd,32,2,two_way,28.9510,2322.5212,227.6833,252.8405,4,5,23.884,23.38,0.00,17.034,True
shelf,xpbd,32,2,one_way,28.9510,439.1238,13.3661,3.3415,1,1,0.000,12.88,0.00,17.034,True
shelf,xpbd,32,4,two_way,28.9510,2901.8163,380.3074,388.3538,2,7,38.133,572.89,0.00,28.453,True
shelf,xpbd,32,4,one_way,28.9510,286.7466,13.3662,1.6708,12,2,-0.028,240.21,0.00,28.453,True
shelf,xpbd,32,8,two_way,28.9510,3493.0500,760.5414,783.3611,3,7,78.747,325.03,0.00,74.295,True
shelf,xpbd,32,8,one_way,28.9510,169.0328,10.2368,0.7314,1,2,-0.098,31.95,0.00,74.295,True
ledge,avbd,16,4,two_way,384.7017,44974.1012,6.4461,7.1543,2,6,1.400,8387.94,0.00,1.225,True
ledge,avbd,16,4,one_way,384.7017,20976.3781,5.2633,4.8660,2,0,0.965,0.00,0.00,1.225,True
ledge,avbd,8,2,two_way,383.9136,14629.8034,0.1533,1.6782,2,0,0.638,0.00,0.00,0.470,True
ledge,avbd,8,2,one_way,383.9136,6525.4304,0.3262,2.4543,2,0,0.734,0.00,0.00,0.470,True
ledge,avbd,8,4,two_way,384.7017,23909.4143,1.4079,2.8797,2,5,0.636,8523.63,0.00,0.338,True
ledge,avbd,8,4,one_way,384.7017,13387.7157,4.1637,6.1215,2,0,1.276,0.00,0.00,0.338,True
ledge,avbd,8,8,two_way,386.1480,25607.7726,11.0460,14.3104,4,0,2.801,0.00,0.00,1.647,True
ledge,avbd,8,8,one_way,386.1480,18029.5255,6.7047,7.9688,4,6,1.581,10663.84,0.00,1.647,True
ledge,avbd,16,2,two_way,384.5951,25515.9360,0.6882,1.4027,1,0,-0.027,0.00,0.00,2.873,True
ledge,avbd,16,2,one_way,384.5951,11273.3897,0.2396,1.0354,2,0,-0.097,0.00,0.00,2.873,True
ledge,avbd,16,4,two_way,384.7017,44974.1012,6.4461,7.1543,2,6,1.400,8387.94,0.00,1.225,True
ledge,avbd,16,4,one_way,384.7017,20976.3781,5.2633,4.8660,2,0,0.965,0.00,0.00,1.225,True
ledge,avbd,16,8,two_way,386.1480,55445.1186,49.9538,39.8264,3,0,8.766,0.00,0.00,3.806,True
ledge,avbd,16,8,one_way,386.1480,26600.0543,13.1240,13.3452,3,5,2.601,10709.57,0.00,3.806,True
ledge,avbd,32,2,two_way,384.6512,32873.0673,2.0837,4.8041,2,0,0.407,0.00,0.00,4.023,True
ledge,avbd,32,2,one_way,384.6512,14128.0656,0.5180,2.0424,1,0,-0.212,0.00,0.00,4.023,True
ledge,avbd,32,4,two_way,384.7017,63049.7686,5.5498,2.4342,2,0,1.275,0.00,0.00,1.616,True
ledge,avbd,32,4,one_way,384.7017,25462.1680,3.4341,5.5953,3,0,1.032,0.00,0.00,1.616,True
ledge,avbd,32,8,two_way,386.1480,90571.6513,33.5028,0.6142,3,4,6.995,10393.29,0.00,0.225,True
ledge,avbd,32,8,one_way,386.1480,32531.0798,148.8915,33.4956,4,0,3.009,0.00,0.00,0.225,True
ledge,xpbd,16,4,two_way,384.9444,21206.1100,217.6829,1.2092,4,0,14.860,0.00,0.00,245.808,True
ledge,xpbd,16,4,one_way,384.9444,995.2424,0.8856,1.0211,1,0,0.354,0.00,0.00,245.808,True
ledge,xpbd,8,2,two_way,384.9444,1138250.3991,3.4257,1.7403,10,7,0.654,6540.27,0.00,2.028,True
ledge,xpbd,8,2,one_way,384.9444,31265024.0742,1.6894,0.5409,1,0,0.031,0.00,0.00,2.028,True
ledge,xpbd,8,4,two_way,384.9444,755508.1689,58.5344,0.8360,10,0,12.643,0.00,0.00,62.125,True
ledge,xpbd,8,4,one_way,384.9444,254274.2230,0.9422,0.8120,1,0,0.310,0.00,0.00,62.125,True
ledge,xpbd,8,8,two_way,384.9444,465767.6676,116.8297,0.2356,3,3,25.192,7812.16,0.00,178.754,True
ledge,xpbd,8,8,one_way,384.9444,458.4867,0.6536,0.3952,41,1,0.185,1465.19,0.00,178.754,True
ledge,xpbd,16,2,two_way,384.9444,33690.5790,9.8280,6.4841,13,0,1.851,0.00,0.00,5.828,True
ledge,xpbd,16,2,one_way,384.9444,297109.6534,1.6864,0.5312,1,0,0.029,0.00,0.00,5.828,True
ledge,xpbd,16,4,two_way,384.9444,21206.1100,183.8271,1.2092,4,0,14.860,0.00,0.00,207.578,True
ledge,xpbd,16,4,one_way,384.9444,995.2424,0.8856,1.0211,1,0,0.354,0.00,0.00,207.578,True
ledge,xpbd,16,8,two_way,384.9444,22038.5136,137.5320,20.7291,2,0,25.951,0.00,0.00,209.654,True
ledge,xpbd,16,8,one_way,384.9444,402.8530,0.6560,0.3562,2,0,0.183,0.00,0.00,209.654,True
ledge,xpbd,32,2,two_way,384.9444,2889.7122,3.9033,1.6711,2,7,0.726,5673.38,0.00,2.328,True
ledge,xpbd,32,2,one_way,384.9444,864.0592,1.6768,0.4735,1,0,0.028,0.00,0.00,2.328,True
ledge,xpbd,32,4,two_way,384.9444,10162.4356,57.2923,3.9805,1,0,13.880,0.00,0.00,70.923,True
ledge,xpbd,32,4,one_way,384.9444,376.2277,0.8078,0.9762,2,2,0.313,1504.99,0.00,70.923,True
ledge,xpbd,32,8,two_way,384.9444,19649.5604,122.0225,5.2690,2,0,25.956,0.00,0.00,186.010,True
ledge,xpbd,32,8,one_way,384.9444,399.8752,0.6560,0.3562,2,0,0.184,0.00,0.00,186.010,True
dinner,avbd,16,4,two_way,38.4286,3518.0171,0.9910,0.3370,1,3,0.009,1.60,0.00,1.117,True
dinner,avbd,16,4,one_way,38.4286,1615.0837,0.8872,1.0311,1,2,0.007,0.76,0.00,1.117,True
dinner,avbd,8,2,two_way,36.7037,1619.2724,0.0337,0.1385,1,2,0.007,1.75,0.00,0.524,True
dinner,avbd,8,2,one_way,36.7037,886.8535,0.0643,0.1388,1,2,0.005,0.98,0.00,0.524,True
dinner,avbd,8,4,two_way,38.3314,890.5371,0.3372,0.7114,2,1,0.009,0.59,0.00,1.000,True
dinner,avbd,8,4,one_way,38.3314,712.3331,0.3372,0.7115,2,1,0.008,0.66,0.00,1.000,True
