solver,kind,thickness_m,pile,n_cubes,supported_weight_N,pre_impact_bed_force_N,calibration_ratio,post_impact_peak_N,post_impact_ring_std_N,post_impact_pile_KE_peak_J
avbd,fem,0.0300,0,1,7.848,7.257,0.925,381.643,32.158,0.3048
avbd,fem,0.0300,1,3,20.601,6.343,0.308,2338.142,140.579,4.501
avbd,fem,0.0300,2,1,10.791,4.634,0.429,1381.396,74.698,1.737
avbd,fem,0.0300,3,2,14.715,14.086,0.957,799.944,51.167,0.5109
avbd,fem,0.0500,0,1,7.848,7.525,0.959,733.290,41.822,0.0957
avbd,fem,0.0500,1,3,20.601,11.639,0.565,2016.632,122.672,2.201
avbd,fem,0.0500,2,1,10.791,7.017,0.650,1068.905,58.313,0.9884
avbd,fem,0.0500,3,2,14.715,14.581,0.991,801.528,65.772,0.2086
avbd,fem,0.0800,0,1,7.848,8.008,1.020,368.953,26.482,0.06189
avbd,fem,0.0800,1,3,20.601,21.607,1.049,1769.997,141.281,1.016
avbd,fem,0.0800,2,1,10.791,11.091,1.028,725.549,52.204,0.3999
avbd,fem,0.0800,3,2,14.715,15.459,1.051,597.014,45.666,0.111
avbd,fem,0.1200,0,1,7.848,8.455,1.077,259.789,21.082,0.02187
avbd,fem,0.1200,1,3,20.601,29.020,1.409,1472.171,108.472,0.4436
avbd,fem,0.1200,2,1,10.791,14.147,1.311,619.315,41.972,0.172
avbd,fem,0.1200,3,2,14.715,16.312,1.109,467.972,38.496,0.04127
avbd,abd,0.0300,0,1,7.848,6.642,0.846,433.579,33.877,0.2031
avbd,abd,0.0300,1,3,20.601,2.914,0.141,1508.553,116.565,3.524
avbd,abd,0.0300,2,1,10.791,3.463,0.321,1539.955,82.047,1.408
avbd,abd,0.0300,3,2,14.715,12.538,0.852,436.793,43.022,0.5733
avbd,abd,0.0500,0,1,7.848,7.013,0.894,411.105,27.691,0.1247
avbd,abd,0.0500,1,3,20.601,9.670,0.469,998.377,98.764,2.448
avbd,abd,0.0500,2,1,10.791,6.038,0.560,905.172,65.620,0.9301
avbd,abd,0.0500,3,2,14.715,13.532,0.920,418.645,45.633,0.2601
avbd,abd,0.0800,0,1,7.848,7.995,1.019,246.414,21.961,0.03541
avbd,abd,0.0800,1,3,20.601,19.900,0.966,795.806,88.146,1.306
avbd,abd,0.0800,2,1,10.791,10.659,0.988,784.399,64.814,0.3496
avbd,abd,0.0800,3,2,14.715,15.101,1.026,244.362,27.646,0.07595
avbd,abd,0.1200,0,1,7.848,8.761,1.116,180.104,19.355,0.01594
avbd,abd,0.1200,1,3,20.601,27.900,1.354,708.071,81.342,0.9671
avbd,abd,0.1200,2,1,10.791,14.280,1.323,610.865,47.516,0.2446
avbd,abd,0.1200,3,2,14.715,16.512,1.122,189.011,23.506,0.04791
xpbd,fem,0.0300,0,1,7.848,7.226,0.921,380.389,41.464,0.4145
xpbd,fem,0.0300,1,3,20.601,5.791,0.281,1280.327,122.681,5.393
xpbd,fem,0.0300,2,1,10.791,4.432,0.411,794.437,64.132,1.78
xpbd,fem,0.0300,3,2,14.715,13.887,0.944,367.450,45.574,0.7395
xpbd,fem,0.0500,0,1,7.848,7.515,0.958,468.893,44.693,0.1256
xpbd,fem,0.0500,1,3,20.601,10.789,0.524,1185.861,109.137,2.521
xpbd,fem,0.0500,2,1,10.791,6.877,0.637,671.919,56.123,1.054
xpbd,fem,0.0500,3,2,14.715,14.343,0.975,279.161,39.392,0.3373
xpbd,fem,0.0800,0,1,7.848,8.011,1.021,195.874,26.423,0.08947
xpbd,fem,0.0800,1,3,20.601,20.573,0.999,837.404,94.233,1.232
xpbd,fem,0.0800,2,1,10.791,11.018,1.021,879.917,69.472,0.4939
xpbd,fem,0.0800,3,2,14.715,15.153,1.030,270.440,37.076,0.1338
xpbd,fem,0.1200,0,1,7.848,8.464,1.079,275.634,24.317,0.04869
xpbd,fem,0.1200,1,3,20.601,27.845,1.352,1102.113,108.558,1.039
xpbd,fem,0.1200,2,1,10.791,14.209,1.317,717.452,59.840,0.346
xpbd,fem,0.1200,3,2,14.715,16.023,1.089,266.507,39.297,0.09347
split,fem,0.0300,0,1,7.848,8.360,1.065,355.276,47.894,0.4776
split,fem,0.0300,1,3,20.601,0.000,0.000,641.588,102.945,6.359
split,fem,0.0300,2,1,10.791,1.040,0.096,229.970,41.938,2.138
split,fem,0.0300,3,2,14.715,18.142,1.233,526.328,70.828,1.072
split,fem,0.0500,0,1,7.848,8.613,1.097,463.704,51.360,0.4608
split,fem,0.0500,1,3,20.601,16.444,0.798,91.413,25.158,0.03368
split,fem,0.0500,2,1,10.791,12.246,1.135,105.630,16.559,0.03205
split,fem,0.0500,3,2,14.715,13.925,0.946,635.246,73.550,0.9841
split,fem,0.0800,0,1,7.848,8.965,1.142,404.931,36.366,0.1497
split,fem,0.0800,1,3,20.601,31.026,1.506,352.852,47.498,0.2021
split,fem,0.0800,2,1,10.791,14.399,1.334,470.820,48.300,0.251
split,fem,0.0800,3,2,14.715,17.240,1.172,588.509,44.429,0.1892
split,fem,0.1200,0,1,7.848,9.263,1.180,322.819,21.107,0.03555
split,fem,0.1200,1,3,20.601,20.559,0.998,161.783,16.511,0.01766
split,fem,0.1200,2,1,10.791,13.016,1.206,161.544,12.864,0.01306
split,fem,0.1200,3,2,14.715,17.447,1.186,437.128,27.295,0.04739
