step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,jump_gain,jump_max_height,last_max_v_lift,last_max_v_hp,jump_engagements,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.29265617909154634,-0.05662765966524367,3.309712068267709e-10,3.5742948241224637e-10,2.0439957668435164e-09,1.7033298057029304e-11,0.23602852013173664,1.382903329996294e-07,2.5728241557742374e-05,0.0,1.4767097041202943e-07,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,9.17068131166919e-11,0.0,1.0,0.01,0.0,0.0,0,0.14130380749702454,-1.0819530487060547,0.007565387990325689,0.007565387990325689,-0.01076280977576971,-0.01076280977576971
1,0.008333333333333333,0.33866151166601105,-0.10263822491516822,2.4571642672694457e-10,2.3395897723588674e-09,7.193796263278422e-09,7.698160025101616e-11,0.2360232894131306,2.99270729537901e-07,2.2168284855935272e-05,0.0,3.0966642883545767e-07,0.013364128768444061,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,3.835004348741992e-10,0.0,1.0,0.01,0.0,0.0,0,0.13192477822303772,-1.1638926267623901,0.007499877829104662,0.007499875500798225,-3.8444992242148146e-05,-3.9339061913779005e-05
2,0.016666666666666666,0.3879799917434405,-0.15199109684451015,6.166496199812242e-10,1.2347574460526335e-09,1.590152249118769e-08,2.0949428767758026e-10,0.2359888969598317,2.0671557893701465e-07,3.5118360439554246e-05,0.0,2.0798223273854937e-07,0.011670220643281937,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-1.332140323066239e-10,0.0,1.0,0.01,0.0,0.0,0,0.12186302989721298,-1.2457607984542847,0.007499913219362497,0.007499913685023785,2.0563600628520362e-05,1.9669530956889503e-05
3,0.025,0.4405452214224845,-0.20468590349269564,2.8856993979540805e-10,4.216795437972361e-11,9.000535936988681e-09,2.844987538191526e-10,0.2358593185450255,1.3502394621843454e-08,2.4023735754266364e-05,0.0,1.9350647921580667e-08,0.01219196617603302,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-2.926544313478049e-10,0.0,1.0,0.01,0.0,0.0,0,0.11111994832754135,-1.3274716138839722,0.007499999366700649,0.007499999832361937,3.30805778503418e-05,3.30805778503418e-05
4,0.03333333333333333,0.49644877977192997,-0.2607206508678244,4.5482061557079985e-10,2.6857416461041714e-10,3.400489307900402e-09,3.128361647183226e-10,0.2357281299403365,1.0129691505220577e-07,3.016025913584961e-05,0.0,1.1900960189200067e-07,0.012544086202979088,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,7.155566728234055e-11,0.0,1.0,0.01,0.0,0.0,0,0.09969594329595566,-1.4091824293136597,0.007499971892684698,0.007499972358345985,-8.046627044677734e-06,-8.046627044677734e-06
5,0.041666666666666664,0.5556906668077017,-0.3200953332140436,2.901470727719986e-10,1.746900292314127e-09,7.342417016077011e-09,3.7402297318563106e-10,0.23559533600472848,2.962564352526367e-07,2.408929524797264e-05,0.0,3.1140307811893633e-07,0.012259996496140957,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,2.1858225947140245e-10,0.0,1.0,0.01,0.0,0.0,0,0.0875910148024559,-1.4908932447433472,0.007499889470636845,0.007499889936298132,-2.145767030015122e-05,-2.145767030015122e-05
6,0.05,0.618270882518679,-0.38280993483980186,3.8118243226365227e-10,1.2558378765766296e-09,1.1227053073268483e-09,3.8337885074668815e-10,0.2354609496992763,2.123931059462433e-07,2.7610955516376185e-05,0.0,2.1303322110915436e-07,0.011968979611992836,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-4.775443520010716e-11,0.0,1.0,0.01,0.0,0.0,0,0.07480516284704208,-1.5726040601730347,0.007499912288039923,0.007499912288039923,9.834765478444751e-06,9.834765478444751e-06
7,0.058333333333333334,0.6841894269132038,-0.4488644604274397,2.7341196319042863e-10,2.4598411411543708e-11,6.1912318567298944e-09,4.349724495527706e-10,0.23532496721874693,1.5297707833017475e-08,2.338426664192951e-05,0.0,1.5992138899254513e-08,0.01227642223238945,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-1.9199671794307849e-10,0.0,1.0,0.01,0.0,0.0,0,0.0613383874297142,-1.6543148756027222,0.00749999238178134,0.007499991916120052,2.41398793150438e-05,2.503394898667466e-05
8,0.06666666666666667,0.7534462999811561,-0.5182589253258985,3.4520746552996926e-10,2.3644181203651377e-10,3.0448347115669097e-10,4.375098118124097e-10,0.23518737567441672,9.561300365072856e-08,2.6275747963853256e-05,0.0,1.1243523158284545e-07,0.012922176159918308,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,2.7043032338663443e-11,0.0,1.0,0.01,0.0,0.0,0,0.04719068855047226,-1.7360256910324097,0.007499972824007273,0.007499972824007273,-1.788139229574881e-06,-1.788139229574881e-06
9,0.075,0.8260415017325133,-0.5909933254695358,2.4407619824300487e-10,1.5689682512345245e-09,5.11771055673553e-09,4.801573997852058e-10,0.23504817855617943,2.9327827816771347e-07,2.2094171097509172e-05,0.0,3.145046328652437e-07,0.012321953661739826,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,1.6016053209302263e-10,0.0,1.0,0.01,0.0,0.0,0,0.032362066209316254,-1.8177365064620972,0.007499895989894867,0.00749989552423358,-1.609325408935547e-05,-1.5199183508229908e-05
10,0.08333333333333333,1.1719026642636577e-05,-0.6520583710290352,0.017282967816627696,0.004948373369999682,0.44135244417432207,0.003677937514943417,-0.6261373733008218,0.00022713198750641265,0.18591916424418273,0.0,0.00029866033763125305,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-6.848638096665707e-05,0.0,1.0,0.01,0.0,0.0,0,0.01991165056824684,0.0043773651123046875,0.00754314661026001,0.00754315173253417,0.03701537474989891,0.037018951028585434
11,0.09166666666666666,0.001484515473205073,-0.653614494961719,0.0050785243462685295,0.015313240612626866,0.1326055777227055,0.004782983995965963,-0.6269552305336525,0.0008370251354838386,0.10078218440050334,0.0,0.0008735217899441842,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-0.00013520331262313265,0.0,1.0,0.01,0.0,0.0,0,0.01958903856575489,-0.07697581499814987,0.0078111025504767895,0.0078111374750733376,0.024974046275019646,0.02497762255370617
12,0.1,0.00741589051203281,-0.6498083158738074,0.0110050014727367,0.00326961740806562,0.06259077961123519,0.00530457382605959,-0.6228132326549125,9.238443029279916e-05,0.14835768583215836,0.0,0.00013608260913562984,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-1.3684572258485309e-05,0.0,1.0,0.01,0.0,0.0,0,0.020363667979836464,0.17222283780574799,0.007878636941313744,0.007878604345023632,-0.011360048316419125,-0.011381505988538265
13,0.10833333333333334,0.0020679186555286953,-0.6445358340113517,0.00315268222438283,0.010507238148388076,0.0925721054071603,0.006076008037785925,-0.6227319869452662,0.0007517008095454111,0.07940632499219227,0.0,0.0007996708677801786,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-5.574699400679069e-05,0.0,1.0,0.01,0.0,0.0,0,0.02143728733062744,0.09053706377744675,0.007943914271891117,0.007943376898765564,0.03131747245788574,0.03120124153792858
14,0.11666666666666667,3.624329943754879e-05,-0.6425751733873598,0.010229918671511035,0.002991655037869292,0.014224870066827044,0.006194548621676151,-0.6231228077568659,7.888979915124213e-05,0.14303788778859283,0.0,0.00011831428648164523,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-6.679347866035343e-06,0.0,1.0,0.01,0.0,0.0,0,0.021829919889569283,0.00879049301147461,0.008302305825054646,0.0082944231107831,0.049400921911001205,0.04779517278075218
15,0.125,0.0013404290026875119,-0.6439596160792374,0.0027736582185776955,0.010050601404104301,0.07912042354787625,0.00685388548457512,-0.6229410419692928,0.0007520097998402018,0.0744803090565244,0.0,0.0008096475219432155,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-3.818341879159755e-05,0.0,1.0,0.01,0.0,0.0,0,0.021541180089116096,-0.07297753542661667,0.008633420802652836,0.008612156845629215,0.02867281250655651,0.027067063376307487
16,0.13333333333333333,0.005991932202616129,-0.6487098257359676,0.00995401498323525,0.0025357472627414966,0.004666543265410666,0.006892773345120209,-0.6233353579422545,6.451360110340383e-05,0.14109581838761381,0.0,9.848183898031344e-05,0.0,8.019347126790347e-11,1.355220557600453e-07,0,1.0,1.0,nan,1.0,0,-7.630197254355e-06,0.0,1.0,0.01,0.0,0.0,0,0.020571039989590645,-0.15474556386470795,0.008724999614059925,0.00869035441428423,-0.006557106506079435,-0.008162856101989746
