step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,jump_gain,jump_max_height,last_max_v_lift,last_max_v_hp,jump_engagements,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.292656171036654,-0.056627635362753614,2.512082721058982e-10,2.7274200475742636e-10,1.5482271229457016e-09,1.290189269121418e-11,0.23602853621075254,1.3133902386722612e-07,2.4436615119695845e-05,0.0,1.286386314172158e-07,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,6.946360698029775e-11,0.0,1.0,0.01,0.0,0.0,0,0.14130380749702454,-1.0819530487060547,0.007565635722130537,0.007565635722130537,-0.010687707923352718,-0.010687707923352718
1,0.008333333333333333,0.33866151166177977,-0.10263822308791333,2.0606400131227954e-10,1.6670533306438283e-09,8.786292969947447e-09,8.612100077410957e-11,0.23602329053310478,2.8380638119067437e-07,2.212285042447478e-05,0.0,2.68295938408691e-07,0.012896211817860603,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,2.622310504832575e-10,0.0,1.0,0.01,0.0,0.0,0,0.13192477822303772,-1.1638926267623901,0.00749989552423358,0.007499895058572292,-2.7716158001567237e-05,-2.6822088329936378e-05
2,0.016666666666666666,0.38797999174255576,-0.1519910957709979,4.351821548998197e-10,9.49975099877283e-10,6.506789012819884e-09,1.4034424254760862e-10,0.23598889749705937,1.961060218091893e-07,3.2159524129242864e-05,0.0,1.809884971076101e-07,0.012026114389300346,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-7.909155031967642e-11,0.0,1.0,0.01,0.0,0.0,0,0.12186302989721298,-1.2457607984542847,0.007499924395233393,0.007499924395233393,1.5199183508229908e-05,1.5199183508229908e-05
3,0.025,0.4405452214205919,-0.20468590356121769,2.209724899329868e-10,3.62664967268408e-11,6.737914450924445e-09,1.9649352963864565e-10,0.2358593183131067,1.2914468004546836e-08,2.2912245349803642e-05,0.0,1.7374123329019503e-08,0.012395167723298073,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.000751641021224e-10,0.0,1.0,0.01,0.0,0.0,0,0.11111994832754135,-1.3274716138839722,0.007499998901039362,0.007499998901039362,2.6822088329936378e-05,2.6822088329936378e-05
4,0.03333333333333333,0.4964487797718305,-0.26072065052521415,3.384153870768226e-10,2.089385378902293e-10,2.146763304876857e-09,2.143832238459528e-10,0.2357281300083535,9.624237487073134e-08,2.836558423759463e-05,0.0,1.039134342287416e-07,0.012518299743533134,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,5.2181925486794046e-11,0.0,1.0,0.01,0.0,0.0,0,0.09969594329595566,-1.4091824293136597,0.007499975617974997,0.007499975617974997,-7.152556918299524e-06,-6.258487246668665e-06
5,0.041666666666666664,0.5556906668069916,-0.32009533179792105,2.2012471529238674e-10,1.3159148758427953e-09,5.371881170411575e-09,2.5914890026604924e-10,0.2355953368042591,2.809834246724433e-07,2.287090397382472e-05,0.0,2.709171447809359e-07,0.012480505742132664,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,1.5728833871511805e-10,0.0,1.0,0.01,0.0,0.0,0,0.0875910148024559,-1.4908932447433472,0.0074999043717980385,0.007499903906136751,-1.7881391613627784e-05,-1.7881391613627784e-05
6,0.05,0.618270882518593,-0.38280993372060823,2.862600012892667e-10,9.515515779005526e-10,8.16374210367355e-10,2.659520186857772e-10,0.23546095030174832,2.0147454985624935e-07,2.6090258557301433e-05,0.0,1.8521342813909612e-07,0.012196408584713936,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-3.7111741838568335e-11,0.0,1.0,0.01,0.0,0.0,0,0.07480516284704208,-1.5726040601730347,0.007499923463910818,0.007499923929572105,8.940695806813892e-06,8.940695806813892e-06
7,0.058333333333333334,0.6841894269122771,-0.448864460336077,2.0717554089454867e-10,2.258057690686942e-11,4.654966883733705e-09,3.047434093835581e-10,0.23532496711069964,1.4700319103157822e-08,2.2189402497022247e-05,0.0,1.3993934515916748e-08,0.012238975614309311,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.4249561456426282e-10,0.0,1.0,0.01,0.0,0.0,0,0.0613383874297142,-1.6543148756027222,0.007499992847442627,0.007499993313103914,2.0563600628520362e-05,2.0563600628520362e-05
8,0.06666666666666667,0.7534462999811591,-0.5182589250061288,2.6027531670635725e-10,1.8329134085089331e-10,2.1488987935115806e-10,3.0653415837815105e-10,0.23518737572513113,9.084807106740555e-08,2.487826601966188e-05,0.0,9.804456140948562e-08,0.012939764186739922,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,2.1060136163474726e-11,0.0,1.0,0.01,0.0,0.0,0,0.04719068855047226,-1.7360256910324097,0.007499976083636284,0.007499976083636284,-1.788139229574881e-06,-1.788139229574881e-06
9,0.075,0.8260415017322549,-0.590993324144776,1.8450057968411e-10,1.1885681992904073e-09,3.866655993592669e-09,3.3875629165808994e-10,0.23504817929930394,2.7817447083154916e-07,2.094071626827606e-05,0.0,2.7372581301507217e-07,0.012296732515096664,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,1.2029620247096046e-10,0.0,1.0,0.01,0.0,0.0,0,0.032362066209316254,-1.8177365064620972,0.007499909494072199,0.0074999090284109116,-1.4305113836599048e-05,-1.3411044164968189e-05
