step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,2.502142164391048e-05,-0.0004994414306134007,3.750030704707752e-07,8.293426776536544e-05,1.0660712870999078e-05,8.883927392499231e-08,-0.00039102189885972897,2.5867507502801053e-05,0.0009443104469090408,0.0,3.252993382334854e-05,0.0,0.0,0.0,0,0.02014739252626896,-0.009026526473462582,0.007539185229688883,0.007539269980043173,-0.03050386719405651,-0.030483303591609
1,0.008333333333333333,2.1834117727534658e-07,-0.0013700120130674936,6.013055511623596e-08,3.180121208561309e-05,1.3865310898341553e-06,1.0039369967361027e-07,-0.0013378319355498152,2.6835531545883053e-05,0.00037812559341511814,0.0,3.088683843782072e-05,1.2220780849456787,0.0,0.0,0,0.0199707243591547,3.576278322725557e-05,0.007497292011976242,0.007499344181269407,-0.005315243732184172,-0.004327297210693359
2,0.016666666666666666,9.470118426797655e-10,-0.0013718380345618373,2.220365813776277e-08,1.9723606974345084e-05,1.7738448625174133e-07,1.0187190372570811e-07,-0.0013519894050137862,2.8269954673113877e-05,0.00022978004951199478,0.0,3.085570169817161e-05,1.2288541793823242,0.0,0.0,0,0.019970454275608063,-6.079673403291963e-05,0.0074932086281478405,0.007493208162486553,-7.599591481266543e-05,-5.4538246331503615e-05
3,0.025,2.343690437263762e-09,-0.0013772778408955805,1.6532870321585662e-08,1.7774206432073688e-05,2.985373283476053e-08,1.0212068483266445e-07,-0.0013593826372179153,2.983751786689183e-05,0.00019827833692093806,0.0,3.185800378219478e-05,1.229061484336853,0.0,0.0,0,0.019969364628195763,-9.65595172601752e-05,0.007492239121347666,0.007492239121347666,-4.738568895845674e-05,-4.559754961519502e-05
4,0.03333333333333333,2.8837960402545715e-09,-0.0013840768964616605,1.5400875988597157e-08,1.819706983613962e-05,8.788947846143346e-09,1.0219392606471564e-07,-0.0013657593480274272,3.141874610394773e-05,0.0001913693850450873,0.0,3.322338497963205e-05,1.229865550994873,0.0,0.0,0,0.01996799185872078,-0.00010728835331974551,0.007491570431739092,0.0074915699660778046,-3.3974647521972656e-05,-3.3974647521972656e-05
5,0.041666666666666664,3.278912265853431e-09,-0.0013913303903192304,1.4896684130172843e-08,1.9343220976214558e-05,5.716583661958188e-09,1.0224156426189862e-07,-0.0013718667521823579,3.298943613819184e-05,0.00018821195125113443,0.0,3.471306682806992e-05,1.2295054197311401,0.0,0.0,0,0.019966524094343185,-0.00011444091069279239,0.007491018623113632,0.007491018623113632,-2.9504297344828956e-05,-2.9504297344828956e-05
6,0.05,3.2785793161247576e-09,-0.0013987162002716234,1.4535078113155832e-08,2.076788300914274e-05,5.166920981795835e-09,1.0228462193674691e-07,-0.0013778282189831148,3.4544501098979856e-05,0.00018591348991843073,0.0,3.623882110147265e-05,1.2285411357879639,0.0,0.0,0,0.019965028390288353,-0.00011444091069279239,0.0074905152432620525,0.0074905152432620525,-2.7716158001567237e-05,-2.8610227673198096e-05
7,0.058333333333333334,3.07680201181158e-09,-0.0014060816820133499,1.4182177882742989e-08,2.232279222197433e-05,4.985301991647276e-09,1.0232616612001064e-07,-0.001383639304645361,3.6081692459998754e-05,0.0001836413177303949,0.0,3.776578079923412e-05,1.2287886142730713,0.0,0.0,0,0.01996353641152382,-0.00011086463200626895,0.007490032818168402,0.007490032818168402,-2.503394898667466e-05,-2.6822088329936378e-05
8,0.06666666666666667,3.0769880620777005e-09,-0.0014133820677995703,1.3856064106192414e-08,2.3957134238352396e-05,4.8606820564536996e-09,1.0236667180381442e-07,-0.0013893056338372457,3.7600965523415864e-05,0.00018151809489302611,0.0,3.928218649390084e-05,1.2308048009872437,0.0,0.0,0,0.01996205747127533,-0.00011086463200626895,0.007489562034606934,0.007489562034606934,-2.503394898667466e-05,-2.503394898667466e-05
9,0.075,2.8812016176817388e-09,-0.0014206177230812632,1.353612273873431e-08,2.564920797913739e-05,4.748410874026112e-09,1.0240624189443131e-07,-0.0013948496915358749,3.910217257237381e-05,0.00017940774368080427,0.0,4.078306532780904e-05,1.230414867401123,0.0,0.0,0,0.019960591569542885,-0.00010728835331974551,0.00748909916728735,0.00748909916728735,-2.324580964341294e-05,-2.41398793150438e-05
10,0.08333333333333333,2.8808342095116783e-09,-0.0014277613303978018,1.3199466427933505e-08,2.739145717122126e-05,4.6294946797635335e-09,1.0244482101676266e-07,-0.0014002513481049265,4.058573913065896e-05,0.00017716459121063077,0.0,4.226744601609438e-05,1.2304877042770386,0.0,0.0,0,0.019959144294261932,-0.00010728835331974551,0.007488642819225788,0.007488643750548363,-2.324580964341294e-05,-2.503394898667466e-05
11,0.09166666666666666,2.8811839778084537e-09,-0.0014348221859084465,1.2894148489421854e-08,2.9177857006103716e-05,4.522966880766883e-09,1.0248251240743572e-07,-0.0014055260710574681,4.205160689026335e-05,0.00017510305955886426,0.0,4.3734336097787356e-05,1.231361985206604,0.0,0.0,0,0.019957713782787323,-0.00010728835331974551,0.0074881925247609615,0.007488192990422249,-2.324580964341294e-05,-2.324580964341294e-05
12,0.1,2.692038639317895e-09,-0.0014418094030469676,1.2598822682913566e-08,3.100646618525644e-05,4.419344465092113e-09,1.0251934027797816e-07,-0.001410685126660111,4.350020419118769e-05,0.0001730848738224148,0.0,4.518413178104351e-05,1.230426549911499,0.0,0.0,0,0.019956298172473907,-0.00010371207463322207,0.007487747818231583,0.007487747818231583,-2.41398793150438e-05,-2.235173997178208e-05
13,0.10833333333333334,2.6917675143915155e-09,-0.0014487047549458243,1.2289865880899198e-08,3.287466296594534e-05,4.310475752493333e-09,1.0255526090924893e-07,-0.0014157125550855745,4.493174013080814e-05,0.00017095229636598247,0.0,4.661686803274625e-05,1.2307355403900146,0.0,0.0,0,0.019954901188611984,-0.00010371207463322207,0.007487308233976364,0.007487307768315077,-2.324580964341294e-05,-2.145767030015122e-05
14,0.11666666666666667,2.5098140429852587e-09,-0.0014555173550387865,1.1983509699043601e-08,3.477937389025572e-05,4.2032422110532166e-09,1.0259028792767438e-07,-0.001420620897536861,4.634617149284129e-05,0.0001688085159136772,0.0,4.80322766766863e-05,1.229636788368225,0.0,0.0,0,0.019953520968556404,-0.00010013579594669864,0.007486873771995306,0.007486873306334019,-2.324580964341294e-05,-2.41398793150438e-05
15,0.125,2.6920940758700464e-09,-0.001462247226166541,1.1711071179192044e-08,3.671870022130457e-05,4.107539734642942e-09,1.0262451742546306e-07,-0.001425411498262556,4.77434649874968e-05,0.00016687514820071172,0.0,4.9430433983625674e-05,1.2317686080932617,0.0,0.0,0,0.019952157512307167,-0.00010371207463322207,0.007486444432288408,0.007486443966627121,-2.41398793150438e-05,-2.324580964341294e-05
16,0.13333333333333333,2.6916551251620566e-09,-0.0014689126180373155,1.1428629086995404e-08,3.8691828411822395e-05,4.00837667994826e-09,1.0265792056446263e-07,-0.0014301040114207166,4.912417357941797e-05,0.00016485356648561768,0.0,5.081201172195458e-05,1.2285596132278442,0.0,0.0,0,0.019950807094573975,-0.00010371207463322207,0.007486020214855671,0.007486020214855671,-2.324580964341294e-05,-2.145767030015122e-05
17,0.14166666666666666,2.509535051915982e-09,-0.001475477008393968,1.1174486059226242e-08,4.0697989029553703e-05,3.919851234690469e-09,1.0269058599141839e-07,-0.0014346626447573117,5.0488759738638796e-05,0.00016300602438882762,0.0,5.217764568681816e-05,1.2305662631988525,0.0,0.0,0,0.019949477165937424,-0.00010013579594669864,0.007485601585358381,0.007485601119697094,-2.324580964341294e-05,-2.235173997178208e-05
18,0.15,2.5092358481362507e-09,-0.0014819769651750125,1.0893288162432381e-08,4.2732797019189915e-05,3.820518893310019e-09,1.0272242364886264e-07,-0.0014391280432081632,5.183682680790017e-05,0.00016094483170019095,0.0,5.352642854590813e-05,1.229842185974121,0.0,0.0,0,0.019948160275816917,-0.00010013579594669864,0.007485187612473965,0.007485187146812677,-2.145767030015122e-05,-2.145767030015122e-05
19,0.15833333333333333,2.333660346258267e-09,-0.001488394170150163,1.065225552350486e-08,4.4796236900983005e-05,3.7372977178871575e-09,1.0275356779651169e-07,-0.0014434821937655137,5.3168849815093184e-05,0.00015915124448266253,0.0,5.4859190613876914e-05,1.2309082746505737,0.0,0.0,0,0.019946860149502754,-9.65595172601752e-05,0.0074847787618637085,0.0074847787618637085,-2.235173997178208e-05,-2.324580964341294e-05
