step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.00022120937093673382,-0.0011556351344687887,0.0008880997061427754,0.0041901290331913445,0.09545167001275186,0.0007954305834395988,0.004939233559241664,0.00044779109508834525,0.04593790986846125,0.0,0.00047923347712070576,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-3.571795541837137e-05,0.0,0.020015941932797432,-0.02922177128493786,0.007422659080475569,0.007422798313200474,-0.03906190022826195,-0.03952234610915184
1,0.008333333333333333,0.001171761659018976,-0.0012788260097270853,0.002990334372159989,0.0005977079958508994,0.027410548922522773,0.0010238518244606218,0.0045048298417634,7.612456535632452e-05,0.08431810841577847,0.0,9.520400783578666e-05,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.149971276044953e-05,0.0,0.019986486062407494,0.06792783737182617,0.007634948939085007,0.0076445587910711765,0.05430489405989647,0.06337612867355347
2,0.016666666666666666,0.000814787635180998,0.001377917977619914,0.00045087578240456165,0.002443561150908592,0.024870894745751753,0.0012311092806752198,0.006318251826789285,0.0003576886072152988,0.03273209506706263,0.0,0.00037620818126076275,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.4340614239325908e-05,0.0,0.02051929384469986,0.05670904740691185,0.008038735017180443,0.008123990148305893,0.039952393621206284,0.0490415059030056
3,0.025,0.00015735883045898396,0.0019465581466555576,0.0022987990191377402,0.0004412285204540315,0.017375691847537938,0.001375906712738036,0.006219851229444349,6.328847996362099e-05,0.07393349492344099,0.0,7.973863715902815e-05,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-5.045370108220943e-06,0.0,0.020630382001399994,-0.024944541975855827,0.008242928422987461,0.008404052816331387,0.008799433708190918,0.017917154356837273
4,0.03333333333333333,0.002846115167316095,-0.0008532566324695966,0.00045369652400030307,0.002167952249153205,0.01171587032797386,0.0014735389654711515,0.006088046273471159,0.00035585961490786576,0.0328355955224908,0.0,0.0003698762601279033,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-9.941095648641207e-06,0.0,0.02006102353334427,-0.1065981313586235,0.008132382296025753,0.008369614370167255,-0.03428936004638672,-0.025143025442957878
5,0.041666666666666664,0.0004307612396995429,-0.0017017829149849734,0.0014376440632049208,0.0009164687343734588,0.007047386231028963,0.0015322671840630596,0.002615358306356009,0.000144038199830888,0.05846655776166594,0.0,0.00016416414952957422,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.5548397906076789e-06,0.0,0.019893495365977287,0.040608640760183334,0.008033446036279202,0.00792215671390295,-0.003409981494769454,-0.08177339285612106
6,0.05,0.000197816730162123,0.0002063785061119103,0.0007565710686086927,0.0011756954959991142,0.014505265621249428,0.0016531443975734716,0.003989606198455312,0.00026175864624896505,0.04240487221629868,0.0,0.00027288016661209617,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-9.351916869985641e-06,0.0,0.02028568834066391,0.027344224974513054,0.0078876418992877,0.007751036901026964,-0.032402873039245605,-0.019451377913355827
7,0.058333333333333334,0.0007273931841375325,-0.00046036569896433705,0.0011052344255339658,0.0007565000378417831,0.0033870852947974453,0.0016813701083634503,0.0038101320569123944,0.00013608940772221587,0.05126369250681233,0.0,0.00015451395958825334,0.21816229820251465,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,9.458047127879673e-07,0.0,0.020152131095528603,-0.05385875329375267,0.007543837185949087,0.007857412099838257,-0.021906493231654167,0.016742348670959473
8,0.06666666666666667,0.0004954583905724414,-0.002526502373174766,0.0007532027518831614,0.0012467886920319387,0.010478008175518137,0.0017686868431594348,0.00173763430447221,0.0002840459285723746,0.04231315253112133,0.0,0.0002908939756970593,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-4.37810856650624e-06,0.0,0.019730044528841972,-0.04433869943022728,0.00758875859901309,0.007898075506091118,0.0010639429092407227,-0.008497238159179688
9,0.075,0.00014576590194111965,-0.0022991420034673086,0.0008943285801084491,0.0009224315223608846,0.0006290797049640063,0.0017739291740341348,0.0014373131749772798,0.00021561545854555816,0.04611373813806293,0.0,0.0002293902732628537,2.241736650466919,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.7635402132044897e-05,0.0,0.019778979942202568,0.023653505370020866,0.007484837435185909,0.007743733003735542,-0.00562548590824008,0.010399817489087582
