step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.0002930220600408881,-0.001358126610785725,0.00027521054259856657,0.0012640533340504516,0.03040894161673516,0.00025340784680612634,0.0007275671727103076,0.0004919954104213795,0.05114463107731447,0.0,0.0005265302348350438,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-1.1287095878505238e-05,0.0,0.019974930211901665,-0.033953189849853516,0.007409121375530958,0.007409241516143084,-0.026563702151179314,-0.02688377909362316
1,0.008333333333333333,0.0010204105319814537,-0.001456461360597054,0.0008586895813785406,0.00018726233721733107,0.006220845277987061,0.0003052482241226852,0.0009151493141029566,8.775467077732129e-05,0.09036522598122014,0.0,0.00010940058539287137,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-4.95043971637972e-06,0.0,0.019947746768593788,0.0630640983581543,0.007769614923745394,0.007762306369841099,0.07300346344709396,0.07152914255857468
2,0.016666666666666666,0.0009616786636763698,0.0015599949283171427,0.00012095417680947973,0.000707007099410316,0.005928315400886697,0.00035465085246340767,0.003704285720676716,0.0003885896974275402,0.03390663474400548,0.0,0.0004099502051518037,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-3.3587102431748917e-06,0.0,0.020552966743707657,0.06171226128935814,0.008263506926596165,0.008243996649980545,0.04442453011870384,0.04296362027525902
3,0.025,9.945890906002548e-05,0.002327530787291003,0.0006694041887996214,0.00012337621221731573,0.0037609114330179262,0.0003859917810718904,0.0036057618784398563,7.578347570741971e-05,0.0797903755380627,0.0,9.32193008993214e-05,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-1.1658954955905696e-06,0.0,0.020705748349428177,-0.01994132809340954,0.00845451932400465,0.00842285342514515,0.002328157192096114,0.000877976359333843
4,0.03333333333333333,0.0025928944043996462,-0.00028120429333113365,0.00012775856529216096,0.0006349843177059425,0.0032854569560888318,0.00041337058903929735,0.003487803583105914,0.0003864362503792427,0.034848954150512354,0.0,0.0004021520205406299,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-2.5730494668874723e-06,0.0,0.020178083330392838,-0.10159491747617722,0.008251163177192211,0.008207490667700768,-0.049243565648794174,-0.050679441541433334
5,0.041666666666666664,0.00032341812283256786,-0.0019377273398805432,0.000364436910483157,0.00021553850395013584,0.0022153899049510207,0.00043183217158055586,-0.0006025016310341265,0.00015158858652583688,0.05888205364437022,0.0,0.00017052366670731726,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-8.838330550135602e-07,0.0,0.019853640347719193,0.033473968505859375,0.007576026022434235,0.0075547946617007256,-0.11187314242124557,-0.047371383756399155
6,0.05,0.00010124605080130918,0.00027924536553863236,0.00017551921145290416,0.0002774681126522437,0.002828939643183523,0.0004554066686070852,0.0012888854090521748,0.0002727137546282011,0.04085125905043071,0.0,0.0002744269549174653,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-1.368811547300679e-06,0.0,0.02030234970152378,0.019426343962550163,0.007781673688441515,0.007676431909203529,0.04369228705763817,0.023884175345301628
7,0.058333333333333334,0.0003684985729284864,-0.00013011804240569682,0.00028784993628390784,0.00015191376644366818,0.0002117465451803669,0.0004571712231502549,0.0011353154564006204,0.00014319871996783067,0.05232697434208123,0.0,0.0001577131568481808,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-2.773882710374706e-07,0.0,0.020215140655636787,-0.038112398236989975,0.008054500445723534,0.007778670638799667,0.02048313431441784,-0.0006517767324112356
8,0.06666666666666667,0.000401870911884859,-0.0025337425052309433,0.00017557804327045717,0.00031620055024885526,0.001793346335396534,0.00047211577594522604,-0.0011679772238815463,0.0002926542524710942,0.04086197145912047,0.0,0.0002919542081185156,0.0,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-3.2431965904034573e-07,0.0,0.0197252556681633,-0.04002928361296654,0.008065009489655495,0.007753103505820036,-0.018276570364832878,-0.002564191585406661
9,0.075,0.0002783576478751852,-0.002365159352252262,0.00022779023356122837,0.0002322590512390613,0.00027471734304483164,0.0004744050871372663,-0.0011523473324395208,0.00023576168051380166,0.04654753765781853,0.0,0.0002451693761119786,3.343564033508301,9.178752477664348e-09,6.450637160582265e-07,0,4.0,1.0,nan,1.0,0,-8.199791559278323e-06,0.0,0.01976279355585575,0.03317713737487793,0.007754451595246792,0.00774683803319931,-0.013275145553052425,-0.0007367133512161672
