step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.00032760372828526043,-0.0014429378014644628,0.00014667329322689187,0.0006757831777098188,0.01622746751742904,0.00013522889597857534,-0.0001576487062639162,0.0005092462978891761,0.052802901200861986,0.0,0.0005448763931926755,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-6.02974570150809e-06,-8.00949022550625e-05,0.01995771750807762,-0.03593086823821068,0.007405291311442852,0.00740526570007205,-0.02586185745894909,-0.02577066235244274
1,0.008333333333333333,0.0009703503053894134,-0.001530856033519844,0.0004499125751176059,0.00010056615115838106,0.003107391667893507,0.00016112382654435455,0.000151096824689911,9.305439732720767e-05,0.09250325352009517,0.0,0.00011558491147667536,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-2.298845596315378e-06,0.00016381479851275296,0.01993194781243801,0.06128310784697533,0.0077989851124584675,0.007796120829880238,0.07958739250898361,0.07899462431669235
2,0.016666666666666666,0.00039438346331980705,0.0015160147760175146,7.959108005855858e-05,0.0003758357208242098,0.004021961787802552,0.00019464017477604248,0.0025604652149961325,0.0004040906506240398,0.03889677629719582,0.0,0.00042574848011256065,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-2.0147432114210606e-06,0.00010735940224991948,0.020542267709970474,0.03907441720366478,0.008344248868525028,0.00833651889115572,0.050629373639822006,0.05005359277129173
3,0.025,0.0004536333617935547,0.0013638643775247016,0.00035593140254981616,7.893422340191863e-05,0.0018320591417897464,0.00020990733429095704,0.002462270699560948,9.627922382047256e-05,0.08228206735786257,0.0,0.00011589620509558016,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-6.638123358492258e-07,-0.00010184262551230552,0.020506400614976883,-0.04257917031645775,0.008589002303779125,0.008576530031859875,0.008967517875134945,0.00840604305267334
4,0.03333333333333333,0.0038675135782716224,-0.002164254275791349,8.007101536703676e-05,0.00033792284481329944,0.0020127665350713336,0.00022668038874988481,0.0023479335514104945,0.0004015062267822491,0.03901663287452065,0.0,0.00041692781833221594,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-1.438306883099101e-06,-0.0003118933557042817,0.019790086895227432,-0.12423276156187057,0.008442450314760208,0.008425429463386536,-0.04230200871825218,-0.04282950982451439
5,0.041666666666666664,0.0012583606994872821,-0.0021979123108908554,0.0002204622074054753,9.89754525535558e-05,0.001272002601264695,0.0002372804104270906,-0.0003828335410174515,0.00019965901517120466,0.06476269200368556,0.0,0.00021243456069861374,8.997694969177246,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-2.2750626905355086e-05,-0.0008767289610390392,0.019795848056674004,0.06930828094482422,0.007813277654349804,0.00779228750616312,-0.10697006434202194,-0.10740189999341965
6,0.05,0.00040483194907317706,0.000361441389016805,8.437584227949392e-05,0.00018247701438253898,0.000527017249520731,0.00024167222083976335,0.0012747984155917784,0.00030242935265826755,0.040060159193888945,0.0,0.00031067834719540426,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-4.8069247221593e-07,0.0001072103286624267,0.02031727321445942,0.039339061826467514,0.007793921045958996,0.007847593165934086,0.054987069219350815,0.05687355622649193
7,0.058333333333333334,0.0004569152981612411,0.00023511782229132744,0.0001758483252125239,8.710373191097174e-05,0.00039934728944200686,0.0002450001149184467,0.001199985292494511,0.0001933536288039568,0.057838291679807106,0.0,0.00020394199118987352,0.0,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,0,-6.898778135279275e-08,-0.00010083721676010639,0.020283611491322517,-0.042314525693655014,0.008195564150810242,0.008236718364059925,0.03944992646574974,0.035210251808166504
8,0.06666666666666667,0.0009004093866070498,-0.0026343393509164472,0.00010471201812045839,0.00018213083613448686,0.00040364578026660453,0.00024836382975400176,-0.0011987232803004504,0.00030841577849054507,0.04463111480099713,0.0,0.000315274317310686,0.3436289429664612,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,0.5080016408078275,2,0.0,-0.00012267403757202592,0.019695203751325607,-0.05993127450346947,0.008393924683332443,0.008378475904464722,0.0074529643170535564,-0.0013965367106720805
9,0.075,0.00047213508858428936,-0.0025712200283892475,0.00011775566419680906,0.00016704079842018468,5.434383455372336e-05,0.00024881669504194946,-0.0015654717821460152,0.0002888742598712026,0.047328808188366996,0.0,0.00029798482428925745,4.281689643859863,1.8357504955328696e-08,1.290127432116453e-06,0,8.0,1.0,0.5,1.0,4,-7.354915436066575e-06,-0.00024055359158613044,0.01971120946109295,0.04318356141448021,0.008246975019574165,0.008211690932512283,-0.04218220338225365,0.0029182431753724813
