step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,jump_gain,jump_max_height,last_max_v_lift,last_max_v_hp,jump_engagements,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.00026266865521343323,-0.0010756350602377227,0.0008861132820883217,0.004197181029214243,0.0954303087747529,0.0007952525731229409,0.005065580479401217,0.0004480644526117096,0.04588646370202305,0.0,0.0004795717686696866,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-3.573109842653407e-05,0.0,12.0,0.01,0.442944691807002,0.07576181330118006,9,0.0200158953666687,-0.029228923842310905,0.008242030628025532,0.008239073678851128,0.08401214331388474,0.08360444754362106
1,0.008333333333333333,0.009076106125037096,0.0021263529473561776,0.0022894116925516912,0.0010561104219588137,0.02802016059888463,0.0010287539114469794,0.015576735098350758,0.00012057117693822839,0.07378527576529118,0.0,0.00014611948783464695,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.141497138906723e-05,0.0,12.0,0.01,0.442944691807002,0.05297461236746848,25,0.020656941458582878,0.19023655354976654,0.008831442333757877,0.008825134485960007,0.05451500043272972,0.05412697419524193
2,0.016666666666666666,0.0029976173788575475,0.008176408921938388,0.001006186578025285,0.0021028037214842676,0.024875778839346052,0.0012360520684415299,0.015519068668747018,0.00035087893690453626,0.04889975480036271,0.0,0.00036280433614770753,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.719095203438605e-05,0.0,12.0,0.01,0.442944691807002,0.04659720329260308,41,0.021880684420466423,0.10854005068540573,0.009309944696724415,0.00931700412184,0.09929358214139938,0.10526596754789352
3,0.025,0.00021709080341871702,0.010915563406806437,0.001973254036762428,0.0009930195501317986,0.009570094805811072,0.0013158028584899554,0.015414730655609337,0.0001268293804370032,0.06850223121611215,0.0,0.00014991228426234623,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.207265322586114e-06,0.0,12.0,0.01,0.0,0.0,50,0.022423190996050835,0.026772020384669304,0.010081795044243336,0.010138624347746372,0.08399605005979538,0.08996843546628952
4,0.03333333333333333,0.0007718752489169622,0.01029283000623062,0.0009686726921375364,0.001874405608712114,0.020771715954444478,0.0014889004914436592,0.015396684047440892,0.0003478465628766856,0.0479803749918691,0.0,0.00035506607023659965,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.2000408692023658e-05,0.0,12.0,0.01,0.35046907349128636,0.029205756124273865,56,0.02228429727256298,-0.05499600991606712,0.010653655044734478,0.010760246776044369,0.05297720059752464,0.05894779786467552
5,0.041666666666666664,0.004677020745405471,0.006297048669598995,0.001809287878968638,0.0009391314455355182,0.002414192235513732,0.0015090187600729403,0.015231507499581562,0.00013349043423985083,0.06559352320072652,0.0,0.00015507353849747592,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.597250412471024e-06,0.0,12.0,0.01,0.442944691807002,0.04966188958017198,72,0.02146400325000286,-0.1367640495300293,0.010911762714385986,0.011068109422922134,0.01000285055488348,0.015973448753356934
6,0.05,0.01584395086159479,0.0017349260789919622,0.0006619940285881514,0.0015704306105145407,0.03218849010209373,0.0017772561775903882,0.021588557757279834,0.0003082890381331153,0.03967104324483771,0.0,0.0002996306399405209,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-6.115560823668955e-05,0.0,12.0,0.01,0.0,0.0,87,0.020536309108138084,0.25162696838378906,0.010766844265162945,0.010972807183861732,-0.04449426755309105,-0.038613077253103256
7,0.058333333333333334,0.00731895300669648,0.010193079202400519,0.0015707606903301644,0.0005120572273251872,0.006268399637337258,0.0018294928412348655,0.021424342967987217,5.868297464966967e-05,0.061109935519112285,0.0,5.423399016969341e-05,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-9.048393768620357e-06,0.0,12.0,0.01,0.0,0.0,94,0.022274024784564972,0.17026303708553314,0.010077464394271374,0.01033003069460392,-0.1169496700167656,-0.11161207407712936
8,0.06666666666666667,0.0021493564821721436,0.015253374882146715,0.00039271994362603634,0.001598868163663443,0.01358060220013414,0.0019426645262359834,0.021336983997844318,0.00030913532872450024,0.030554513986815312,0.0,0.00029630224702807944,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.8724792885464687e-06,0.0,12.0,0.01,0.1629021753920636,0.013575181282671966,103,0.023331396281719208,0.08860944956541061,0.00877060741186142,0.009065806865692139,-0.19233225286006927,-0.18732546269893646
9,0.075,0.0002660974632425757,0.017128412032138555,0.0016176816714264693,0.00028277569376718116,0.006616290879827139,0.0019978002835678763,0.021292767144142657,5.028993470134287e-05,0.06202097311057037,0.0,4.48325827955052e-05,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-6.5233782798855295e-06,0.0,12.0,0.01,0.442944691807002,0.04926389749328175,119,0.023707719519734383,0.006827115546911955,0.009465737268328667,0.00896541029214859,0.07786273211240768,0.09838163107633591
