step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.004453050084181972,0.0054873994732853,0.0,0.0,0.0,0.0,0.009940449557467273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02136712335050106,0.13345956802368164,0.007580626290291548,0.007580626290291548,-0.006099342834204435,-0.006099342834204435
1,0.008333333333333333,0.0006709672497629243,0.009161751599667593,0.0,0.0,0.0,0.0,0.009832718849430516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022117799147963524,0.05180596932768822,0.007502005901187658,0.007502005901187658,0.0007259845151565969,0.0007259845151565969
2,0.016666666666666666,0.0002227201068931713,0.009506029124848544,0.0,0.0,0.0,0.0,0.009728749231741714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.022188028320670128,-0.02984762005507946,0.007500002160668373,0.007500002160668373,1.5199183508229908e-05,1.5199183508229908e-05
3,0.025,0.0030830588470092263,0.006530993026971815,0.0,0.0,0.0,0.0,0.009614051873981042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0215814970433712,-0.11105059832334518,0.007500000298023224,0.007500000298023224,1.788139229574881e-06,1.788139229574881e-06
4,0.03333333333333333,0.009249643536851038,0.00023293872947059355,0.0,0.0,0.0,0.0,0.009482582266321631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.020297490060329437,-0.1923501342535019,0.007499999832361937,0.007499999832361937,-1.788139229574881e-06,-1.788139229574881e-06
5,0.041666666666666664,0.00014551083211289482,-0.0010871798393670491,0.0,0.0,0.0,0.0,-0.0009416690072541543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.020028352737426758,-0.02412557415664196,0.007499999832361937,0.007499999832361937,-1.788139229574881e-06,-1.788139229574881e-06
6,0.05,1.5987209521723245e-14,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.0012262522091351787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,-1.788139229574881e-06,-1.788139229574881e-06
7,0.058333333333333334,1.2692808020464799e-07,-0.001207134600531312,0.0,0.0,0.0,0.0,-0.0012070076724511073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.02000247873365879,-0.00024318693613167852,0.007570919580757618,0.007570919580757618,0.004735886584967375,0.004735886584967375
8,0.06666666666666667,6.862054192952093e-07,-0.0012219233052693328,0.0,0.0,0.0,0.0,-0.0012212370998500375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.019999999552965164,0.0,0.00754412729293108,0.00754412729293108,-0.011714993976056576,-0.011714993976056576
9,0.075,5.055459025841991e-07,-0.0012169745965283385,0.0,0.0,0.0,0.0,-0.0012164690506257542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.020001543685793877,-0.0010228157043457031,0.007517362479120493,0.00751736992970109,-0.006986259948462248,-0.006985365878790617
