step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,5.453971088459245e-05,-9.423237802740395e-05,6.558419444832009e-08,5.46416810191279e-05,2.9713873677590957e-06,2.4761561397992465e-08,1.5039359632162715e-05,1.4281294392005891e-05,0.0003948458363818709,0.0,1.949477191899964e-05,0.0,0.0,0.0,0,0.020228799432516098,0.014770030044019222,0.007599446456879377,0.007599460892379284,-0.0005033612251281738,-0.0005015730857849121
1,0.008333333333333333,0.0009520439985289359,-0.0012306473281821257,2.443821341873823e-08,2.2508794883631768e-05,6.954745168639909e-07,3.0557182371859056e-08,-0.0002560395393737674,1.3317538580023027e-05,0.00024106026249406254,0.0,1.6791384469907475e-05,0.0,0.0,0.0,0,0.01999790593981743,-0.061696168035268784,0.00755986338481307,0.007559892721474171,-0.009377001784741879,-0.009375213645398617
2,0.016666666666666666,2.030792212215545e-08,-0.0013076579905701824,1.0251851084892648e-08,1.7998534429453978e-05,1.606977415778357e-07,3.189633021834102e-08,-0.001289597000037303,1.470432543044275e-05,0.0001561342188076588,0.0,1.794320715199921e-05,1.2246663570404053,0.0,0.0,0,0.01998322084546089,-3.576278459149762e-06,0.007509184535592794,0.007509036920964718,0.0017398594645783305,0.001695603015832603
3,0.025,4.661977107716062e-09,-0.0013091452618483477,6.791644886687423e-09,1.2821084302044139e-05,6.168684219577855e-08,3.241038723663918e-08,-0.0012962803135370725,1.5411980804518384e-05,0.0001270828967202343,0.0,1.8079713710375875e-05,1.2286537885665894,0.0,0.0,0,0.019982952624559402,-2.324580964341294e-05,0.007507293485105038,0.007507428526878357,-0.0006119906320236623,-0.00048011538456194103
4,0.03333333333333333,6.37402892434373e-10,-0.0013125495062330757,5.429948122711022e-09,1.0437068567458977e-05,2.47085392208109e-08,3.261629173014594e-08,-0.0013020737540228714,1.620225638487686e-05,0.00011363536281022765,0.0,1.849921262999985e-05,1.2283031940460205,0.0,0.0,0,0.019982460886240005,-3.3974647521972656e-05,0.007496998645365238,0.007497493643313646,-0.00012204050290165469,0.00024095176195260137
5,0.041666666666666664,1.0153477749231273e-09,-0.0013157018635310254,4.869901115147377e-09,9.382159454237423e-06,1.0479906493678545e-08,3.270362428425992e-08,-0.0013062811152036136,1.7027434151141637e-05,0.00010761169182850037,0.0,1.908642944657505e-05,1.2288143634796143,0.0,0.0,0,0.019981836900115013,-4.1127201257040724e-05,0.007496265694499016,0.007496356964111328,-2.592801865830552e-05,-0.0003817677206825465
6,0.05,4.6347780737606616e-10,-0.0013192082286234968,4.6226243526249035e-09,9.004040971767033e-06,4.991611938369028e-09,3.2745221050413e-08,-0.0013101663563285194,1.7866877554270833e-05,0.00010484384852772713,0.0,1.97757749445863e-05,1.2286813259124756,0.0,0.0,0,0.019981130957603455,-4.291534060030244e-05,0.0074958656914532185,0.0074958656914532185,-2.190470513596665e-05,-2.235173997178208e-05
7,0.058333333333333334,5.851613563058313e-10,-0.001322924179852011,4.491603547877946e-09,8.993486257206257e-06,2.8765934476334993e-09,3.276919266247661e-08,-0.001313892847637238,1.871106025908232e-05,0.00010334798402769114,0.0,2.0526326291661367e-05,1.2303324937820435,0.0,0.0,0,0.019980380311608315,-4.82797586300876e-05,0.007495518773794174,0.007495518773794174,-1.7881391613627784e-05,-1.8775461285258643e-05
8,0.06666666666666667,5.425658923659739e-10,-0.001326783113775777,4.41523596368545e-09,9.195571794830655e-06,2.0419266060182733e-09,3.2786208717526765e-08,-0.0013175497979703726,1.955561950035256e-05,0.00010246429894878124,0.0,2.1313179629526132e-05,1.229958176612854,0.0,0.0,0,0.019979599863290787,-4.649161928682588e-05,0.0074952044524252415,0.0074952044524252415,-1.6987323760986328e-05,-1.6987323760986328e-05
9,0.075,5.846283303149544e-10,-0.0013307038545962444,4.351366042345091e-09,9.527172699949084e-06,1.7153596587801496e-09,3.280050338134993e-08,-0.0013211389453985413,2.0398145799138655e-05,0.00010172053700980381,0.0,2.212047367078605e-05,1.2312674522399902,0.0,0.0,0,0.019978806376457214,-4.82797586300876e-05,0.007494912017136812,0.007494912017136812,-1.564621925354004e-05,-1.65402889251709e-05
10,0.08333333333333333,6.284409056572369e-10,-0.0013346689748698866,4.292293679364828e-09,9.942301612884662e-06,1.5794884233595964e-09,3.281366578487793e-08,-0.0013246889388566323,2.1237405330465623e-05,0.00010102860321042175,0.0,2.293851185493921e-05,1.2303379774093628,0.0,0.0,0,0.019978003576397896,-5.006789797334932e-05,0.007494633086025715,0.007494632620364428,-1.5199183508229908e-05,-1.5199183508229908e-05
11,0.09166666666666666,6.283434635865574e-10,-0.0013386514540649971,4.2405899007622086e-09,1.0414707501690145e-05,1.5156261730617794e-09,3.282629600298678e-08,-0.0013281990513339397,2.2072801551694452e-05,0.00010041799496569158,0.0,2.3761448547062857e-05,1.231261968612671,0.0,0.0,0,0.01997719705104828,-5.006789797334932e-05,0.007494363002479076,0.007494363002479076,-1.4752148672414478e-05,-1.4305113836599048e-05
12,0.1,5.843329706886211e-10,-0.001342624203127811,4.19273012787922e-09,1.0928589516364262e-05,1.4808159379987407e-09,3.283863613580343e-08,-0.0013316579979122123,2.2903966693044776e-05,9.984930073245558e-05,0.0,2.4585583894637704e-05,1.2317458391189575,0.0,0.0,0,0.01997639238834381,-4.82797586300876e-05,0.00749409943819046,0.007494098972529173,-1.4305113836599048e-05,-1.4305113836599048e-05
13,0.10833333333333334,5.843384050693235e-10,-0.001346596495376902,4.141616412780028e-09,1.1474026869385281e-05,1.456591714406909e-09,3.285077440009016e-08,-0.0013350848917782988,2.373064599528268e-05,9.923908977581175e-05,0.0,2.540850420058868e-05,1.2311474084854126,0.0,0.0,0,0.019975587725639343,-4.82797586300876e-05,0.00749384006485343,0.00749384006485343,-1.4305113836599048e-05,-1.4305113836599048e-05
14,0.11666666666666667,5.843115811948157e-10,-0.0013505502409888455,4.092070691663886e-09,1.2045145943420781e-05,1.4367466210842333e-09,3.2862747288599196e-08,-0.0013384675559158633,2.4552731861712205e-05,9.864381096853322e-05,0.0,2.622884204000589e-05,1.2301139831542969,0.0,0.0,0,0.019974786788225174,-4.82797586300876e-05,0.0074935839511454105,0.007493583485484123,-1.4305113836599048e-05,-1.3858079000783619e-05
15,0.125,5.844287794753707e-10,-0.0013544854171229548,4.042168790684671e-09,1.2638141843589188e-05,1.4184029452727375e-09,3.2874567313143137e-08,-0.0013418097741144824,2.5370156405726118e-05,9.804081510841126e-05,0.0,2.704572364680364e-05,1.2317286729812622,0.0,0.0,0,0.019973989576101303,-4.82797586300876e-05,0.007493330631405115,0.007493330165743828,-1.3411044164968189e-05,-1.4305113836599048e-05
