step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.05102560698986224,-0.01750782396503538,0.0,0.0,0.0,0.0,0.03351778302482686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01667867600917816,-0.4517769515514374,0.007597045972943306,0.007597045972943306,-0.0008368491544388235,-0.0008368491544388235
1,0.008333333333333333,0.0692897198861131,-0.035235686285689474,0.0,0.0,0.0,0.0,0.034054033600423625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013064770959317684,-0.5264586210250854,0.007580144330859184,0.007580144330859184,-0.003161430126056075,-0.003161430126056075
2,0.016666666666666666,0.09212007069763173,-0.0552582272217963,0.0,0.0,0.0,0.0,0.03686184347583543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.008983568288385868,-0.6070249676704407,0.0075369044207036495,0.0075369044207036495,-0.0069692726247012615,-0.0069692726247012615
3,0.025,0.1185353527609439,-0.0775876977865007,0.0,0.0,0.0,0.0,0.04094765497444321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004432810936123133,-0.6885771155357361,0.007455296348780394,0.007455296348780394,-0.012179910205304623,-0.012179910205304623
4,0.03333333333333333,0.1483394481146099,-0.10215824608894812,0.0,0.0,0.0,0.0,0.04618120202566177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0005738458130508661,-0.7702926397323608,0.007323828991502523,0.007323828991502523,-0.018763838335871696,-0.018763838335871696
5,0.041666666666666664,0.1814933063662704,-0.12889335816031136,0.0,0.0,0.0,0.0,0.052599948205959035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.006020573899149895,-0.8520322442054749,0.007131058257073164,0.007131058257073164,-0.026721058413386345,-0.026721058413386345
6,0.05,0.21798929886677146,-0.15771700197024088,0.0,0.0,0.0,0.0,0.060272296896530575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.011891643516719341,-0.9337725639343262,0.00686554005369544,0.00686554005369544,-0.036051567643880844,-0.036051567643880844
7,0.058333333333333334,0.2578275485122061,-0.18855564156425003,0.0,0.0,0.0,0.0,0.06927190694795604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.01817183569073677,-1.0155129432678223,0.006515927612781525,0.006515927612781525,-0.04672050103545189,-0.04672050103545189
8,0.06666666666666667,0.30100788995847566,-0.22133837735120954,0.0,0.0,0.0,0.0,0.07966951260726612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.024846481159329414,-1.097252368927002,0.0060714855790138245,0.0060714855790138245,-0.05865096673369408,-0.05865096673369408
9,0.075,0.34752903958209574,-0.2559968165966571,0.0,0.0,0.0,0.0,0.09153222298543867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.03190142661333084,-1.1789880990982056,0.005521722137928009,0.005521722137928009,-0.07184027880430222,-0.07184027880430222
10,0.08333333333333333,0.39739570139866504,-0.29246501038250333,0.0,0.0,0.0,0.0,0.1049306910161617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.03932301700115204,-1.2607275247573853,0.00485614687204361,0.00485614687204361,-0.0862884446978569,-0.0862884446978569
11,0.09166666666666666,0.4506063936101961,-0.3306796593102515,0.0,0.0,0.0,0.0,0.1199267342999446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.04709813743829727,-1.342466950416565,0.0040642693638801575,0.0040642693638801575,-0.10199546068906784,-0.10199546068906784
12,0.1,0.5071616796224608,-0.37057953008135136,0.0,0.0,0.0,0.0,0.13658214954110948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.05521409586071968,-1.4242063760757446,0.003135679056867957,0.003135679056867957,-0.11893629282712936,-0.11893629282712936
13,0.10833333333333334,0.5670702098974898,-0.41210573200654527,0.0,0.0,0.0,0.0,0.15496447789094453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0636586844921112,-1.5059565305709839,0.0020602999720722437,0.0020602999720722437,-0.13707071542739868,-0.13707071542739868
14,0.11666666666666667,0.6303395684280297,-0.4552023406137019,0.0,0.0,0.0,0.0,0.17513722781432783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07242030650377274,-1.5877245664596558,0.0008283668430522084,0.0008283668430522084,-0.156360924243927,-0.156360924243927
