step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.008362925817248191,0.006671527383394538,0.0,0.0,0.0,0.0,0.01503445320064273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.021608207374811172,0.18289802968502045,0.007597045972943306,0.007597045972943306,-0.0008368491544388235,-0.0008368491544388235
1,0.008333333333333333,0.002920495164721018,0.012463455053709447,0.0,0.0,0.0,0.0,0.015383950218430465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022789366543293,0.10808228701353073,0.007580144330859184,0.007580144330859184,-0.003161430126056075,-0.003161430126056075
2,0.016666666666666666,0.00018905672153043344,0.01503011516934447,0.0,0.0,0.0,0.0,0.015219171890874902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.023313505575060844,0.027481911703944206,0.0075369044207036495,0.0075369044207036495,-0.0069692726247012615,-0.0069692726247012615
3,0.025,0.000730692124762168,0.014276231325522065,0.0,0.0,0.0,0.0,0.015006923450284232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.023160472512245178,-0.054062601178884506,0.0075037069618701935,0.0075037069618701935,0.0004273652739357203,0.0004273652739357203
4,0.03333333333333333,0.00460278517509615,0.010189488418132065,0.0,0.0,0.0,0.0,0.014792273593228215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022327333688735962,-0.13568758964538574,0.0075016990303993225,0.0075016990303993225,-0.0009673833264969289,-0.0009673833264969289
5,0.041666666666666664,0.011806187132564705,0.0027663550486899894,0.0,0.0,0.0,0.0,0.014572542181254694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.020813986659049988,-0.21731255948543549,0.007500004954636097,0.007500004954636097,-3.173947334289551e-05,-3.173947334289551e-05
6,0.05,2.488921878596173e-07,-0.0012285546416770689,0.0,0.0,0.0,0.0,-0.0012283057494892093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.019999530166387558,-0.000997781753540039,0.007499998901039362,0.007499998901039362,-4.023313522338867e-06,-4.023313522338867e-06
7,0.058333333333333334,1.5288018754590425e-09,-0.0012253883744012587,0.0,0.0,0.0,0.0,-0.0012253868455993832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.020000014454126358,3.755092257051729e-05,0.0075080604292452335,0.0075080604292452335,0.00048503276775591075,0.00048503276775591075
8,0.06666666666666667,6.15680130089532e-05,-0.0008146455945801011,0.0,0.0,0.0,0.0,-0.0007530775815711479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.020081905648112297,-0.0156211843714118,0.007600481156259775,0.007600481156259775,0.010608135722577572,0.010608135722577572
9,0.075,3.529353794764698e-07,-0.0012082947703432314,0.0,0.0,0.0,0.0,-0.001207941834963755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.02000008150935173,0.00019848345255013555,0.007678954396396875,0.007678954396396875,0.008283555507659912,0.008283555507659912
10,0.08333333333333333,4.7565030218871496e-05,-0.0007050499982088825,0.0,0.0,0.0,0.0,-0.000657484967990011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.020099421963095665,-0.013527273200452328,0.007841847836971283,0.007841847836971283,0.01906961016356945,0.01906961016356945
11,0.09166666666666666,1.278485196185014e-05,-0.0011278347532153153,0.0,0.0,0.0,0.0,-0.0011150499012534652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.020010240375995636,-0.006743072997778654,0.007991194725036621,0.007991194725036621,0.016838014125823975,0.016838014125823975
12,0.1,8.762045894511158e-07,-0.0011657703920155786,0.0,0.0,0.0,0.0,-0.0011648941874261274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.020000020042061806,5.006789797334932e-05,0.008115507662296295,0.008115507662296295,0.013233124278485775,0.013233124278485775
13,0.10833333333333334,6.140848830278345e-05,-0.0007321913114637158,0.0,0.0,0.0,0.0,-0.0006707828231609324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.020084429532289505,-0.01531898882240057,0.008314799517393112,0.008314799517393112,0.023412106558680534,0.023412106558680534
14,0.11666666666666667,2.235583628451571e-06,-0.0011278533912152074,0.0,0.0,0.0,0.0,-0.001125617807586756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.02000005915760994,0.00013589859008789062,0.00850006565451622,0.00850006565451622,0.021123288199305534,0.021123288199305534
15,0.125,5.18946102346931e-05,-0.0006206629819124959,0.0,0.0,0.0,0.0,-0.0005687683716778028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.020098073408007622,-0.01368641760200262,0.008769489824771881,0.008769489824771881,0.03182798624038696,0.03182798624038696
