step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.008362925817248191,0.006671527383394538,0.0,0.0,0.0,0.0,0.01503445320064273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.021608207374811172,0.18289802968502045,0.007597045972943306,0.007597045972943306,-0.0008368491544388235,-0.0008368491544388235
1,0.008333333333333333,0.002920495164721018,0.012463455053709447,0.0,0.0,0.0,0.0,0.015383950218430465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022789366543293,0.10808228701353073,0.007580144330859184,0.007580144330859184,-0.003161430126056075,-0.003161430126056075
2,0.016666666666666666,0.00018905672153043344,0.01503011516934447,0.0,0.0,0.0,0.0,0.015219171890874902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.023313505575060844,0.027481911703944206,0.0075369044207036495,0.0075369044207036495,-0.0069692726247012615,-0.0069692726247012615
3,0.025,0.000730692124762168,0.014276231325522065,0.0,0.0,0.0,0.0,0.015006923450284232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.023160472512245178,-0.054062601178884506,0.0075037069618701935,0.0075037069618701935,0.0004273652739357203,0.0004273652739357203
4,0.03333333333333333,0.00460278517509615,0.010189488418132065,0.0,0.0,0.0,0.0,0.014792273593228215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022327333688735962,-0.13568758964538574,0.0075016990303993225,0.0075016990303993225,-0.0009673833264969289,-0.0009673833264969289
5,0.041666666666666664,0.011806187132564705,0.0027663550486899894,0.0,0.0,0.0,0.0,0.014572542181254694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.020813986659049988,-0.21731255948543549,0.007500004954636097,0.007500004954636097,-3.173947334289551e-05,-3.173947334289551e-05
6,0.05,2.642885950088209e-07,-0.0012282165538407884,0.0,0.0,0.0,0.0,-0.0012279522652457796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01999959908425808,-0.0010281801223754883,0.007499999366700649,0.007499999366700649,-8.940696147874405e-07,-8.940696147874405e-07
7,0.058333333333333334,1.4780174284988311e-09,-0.0012263709807191067,0.0,0.0,0.0,0.0,-0.0012263695027016782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999975338578224,-7.688998448429629e-05,0.007499999832361937,0.007499999832361937,0.0,0.0
8,0.06666666666666667,7.194243979843622e-12,-0.001226261345425623,0.0,0.0,0.0,0.0,-0.001226261338231379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999997690320015,-5.364417575037805e-06,0.007499999832361937,0.007499999832361937,0.0,0.0
9,0.075,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
10,0.08333333333333333,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
11,0.09166666666666666,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
12,0.1,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
13,0.10833333333333334,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
14,0.11666666666666667,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
15,0.125,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
16,0.13333333333333333,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
17,0.14166666666666666,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,-0.001226252209151166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019999999552965164,0.0,0.007499999832361937,0.007499999832361937,0.0,0.0
