step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,4.012267565205859e-05,-0.0007001118190241999,8.040505634189456e-05,8.373987993705535e-05,0.009041213549649133,7.53434462470761e-05,-0.0004205007608461153,2.790479640771232e-05,0.01351482401423849,360.7379896239432,3.415058897501966e-05,0.0,0.020107276737689972,-0.011976956389844418,0.007499419152736664,0.007499475497752428,-0.02940058521926403,-0.028913317248225212
1,0.008333333333333333,2.5831042155774206e-07,-0.0013810587281947975,3.815288188657635e-06,3.104508707885019e-05,0.005026751730963204,0.0001172330440051028,-0.0012287069985006292,2.925794883558217e-05,0.0036895121528570255,286.92914591918947,3.2927238030722653e-05,1.785891056060791,0.0199685450643301,0.0010085105895996094,0.007494564168155193,0.007494788151234388,-0.0008037685765884817,-0.0007385014905594289
2,0.016666666666666666,5.753143166321847e-11,-0.0013841068634418792,8.393494473113817e-08,2.0965361477742656e-05,0.007725715018917939,0.0001816140024960856,-0.001181443506991888,3.0921460974455186e-05,0.0019687791691779043,37.2196591270979,3.331504035569794e-05,1.2373853921890259,0.019967971369624138,-1.4305113836599048e-05,0.007492288947105408,0.007492289412766695,-2.9504297344828956e-05,-1.7881391613627784e-05
3,0.025,2.342901416679779e-09,-0.001390460936760532,2.4567776480069545e-08,1.9952764700538075e-05,0.0006483069549337822,0.00018701656045386713,-0.0011834647009282301,3.264005972947681e-05,0.0005569443663343541,127.27760098359349,3.457151433749079e-05,1.228819727897644,0.019966695457696915,-9.65595172601752e-05,0.007491313852369785,0.007491312921047211,-4.559754961519502e-05,-5.096196764498018e-05
4,0.03333333333333333,2.5163664381523225e-09,-0.001397982351866553,2.538576191822046e-08,2.085519513120355e-05,0.0008766783868681828,0.00019432221367776865,-0.0011827770409292245,3.434258960989121e-05,0.0007250826336161756,111.71952706591848,3.6105678667481785e-05,1.2460280656814575,0.019965175539255142,-0.00010013579594669864,0.007490638177841902,0.007490638643503189,-4.291534060030244e-05,-4.0233131585409865e-05
5,0.041666666666666664,3.0773941365527435e-09,-0.0014058861657399706,2.7213971256060967e-08,2.2370103103279865e-05,0.0012275095624805228,0.000204551460031773,-0.0011789343112395252,3.602687647214476e-05,0.0008427286144758058,16.182248878057756,3.77377999145314e-05,1.2411819696426392,0.019963575527071953,-0.00011086463200626895,0.007490069605410099,0.007490070536732674,-3.129243850708008e-05,-2.7716158001567237e-05
6,0.05,4.148130211208844e-09,-0.001413850073458629,1.759226991768728e-08,2.4105395918877324e-05,0.00011084886655002906,0.00020547520058635657,-0.0011842477365532661,3.769149186726915e-05,0.00033756477426710767,50.62482654297968,3.938459349256662e-05,1.2319015264511108,0.01996196247637272,-0.00012874603271484375,0.007489541079849005,0.007489541079849005,-2.6822088329936378e-05,-2.7716158001567237e-05
7,0.058333333333333334,4.3821975803057e-09,-0.001421757450479085,1.7245936875133957e-08,2.593579417216179e-05,0.00013810582440967477,0.0002066260824564372,-0.0011891739457160306,3.9336343073436234e-05,0.00029274696862875184,44.65745844950309,4.102153453789912e-05,1.2260446548461914,0.01996036060154438,-0.0001323223114013672,0.007489029783755541,0.0074890293180942535,-2.9504297344828956e-05,-3.0398367016459815e-05
8,0.06666666666666667,4.149154846568782e-09,-0.0014295724369240946,1.7234118497333633e-08,2.7840898790971422e-05,0.00019584414809014822,0.0002082581170238551,-0.0011934520378359243,4.096001189380645e-05,0.00032717970956184513,6.9281961181057765,4.2641501754870244e-05,1.2244197130203247,0.019958777353167534,-0.00012874603271484375,0.007488528732210398,0.00748852826654911,-2.9504297344828956e-05,-3.129243850708008e-05
9,0.075,3.486370946873313e-09,-0.0014372769658109197,1.5541810902123755e-08,2.981042025849804e-05,1.8714926604435505e-05,0.00020841407474555873,-0.0011990334426250139,4.2562183890811375e-05,0.00019282652086078834,20.09829506750065,4.4243479678609384e-05,1.229883074760437,0.01995721645653248,-0.00011801718937931582,0.007488036062568426,0.007488035596907139,-2.9504297344828956e-05,-2.8610227673198096e-05
10,0.08333333333333333,3.277861809976733e-09,-0.0014448894695732765,1.520456198863508e-08,3.1832512750054224e-05,2.1700256330358566e-05,0.00020859491021497838,-0.0012044435641844454,4.4142571296054895e-05,0.0002332677956691179,17.84804776660642,4.582559313369478e-05,1.2341796159744263,0.019955674186348915,-0.00011444091069279239,0.007487549912184477,0.007487549912184477,-2.592801865830552e-05,-2.6822088329936378e-05
11,0.09166666666666666,3.2778851799273365e-09,-0.0014524099253704795,1.481965217335532e-08,3.3903665344049045e-05,3.12385852426412e-05,0.00020885523175866706,-0.00120963293073041,4.570273916925192e-05,0.0002450795451449285,2.9443735622468075,4.738793591812726e-05,1.2327908277511597,0.019954150542616844,-0.00011444091069279239,0.0074870712123811245,0.007487070746719837,-2.592801865830552e-05,-2.6822088329936378e-05
12,0.1,3.2787840727159924e-09,-0.001459838470246645,1.4247720609280042e-08,3.6016090989693856e-05,3.1724517363628744e-06,0.00020888166885647008,-0.001214923183895799,4.724255256007661e-05,0.00019600787724488155,7.964449426997767,4.892909795100154e-05,1.2302699089050293,0.019952645525336266,-0.00011444091069279239,0.0074865976348519325,0.0074865976348519325,-2.7716158001567237e-05,-2.7716158001567237e-05
13,0.10833333333333334,3.277757896506315e-09,-0.0014671567631308012,1.3854622202423911e-08,3.816679661277763e-05,3.407726222639823e-06,0.00020891006657499208,-0.0012200627675629325,4.876211000509073e-05,0.00017725940963681327,7.133177121178191,5.044918644653052e-05,1.2290761470794678,0.019951162859797478,-0.00011444091069279239,0.007486130576580763,0.007486130576580763,-2.592801865830552e-05,-2.592801865830552e-05
14,0.11666666666666667,3.0765790609983012e-09,-0.0014743830765718616,1.3509081459475742e-08,4.0357082289667715e-05,4.983243434091966e-06,0.00020895159360360952,-0.001225057815018064,5.026202976151447e-05,0.0001747587635598562,1.273619428742025,5.1949703458175845e-05,1.2300022840499878,0.019949698820710182,-0.00011086463200626895,0.0074856700375676155,0.007485669571906328,-2.592801865830552e-05,-2.503394898667466e-05
15,0.125,3.0765579445955817e-09,-0.0014815173877291404,1.3148751261207126e-08,4.258433101173721e-05,5.510663474159539e-07,0.00020895618582317133,-0.0012299606455850262,5.174231503405307e-05,0.0001741309173333585,3.1448475337346844,5.343071910776871e-05,1.2302265167236328,0.01994825340807438,-0.00011086463200626895,0.007485215552151203,0.007485215552151203,-2.503394898667466e-05,-2.592801865830552e-05
