scene,relax,iters,substeps,R_full,R_band,margin_full_J,margin_band_J,rank_band,n_stiff_band,f_max_band_Hz
shelf,0.7,4,1,6333.221296009669,22.14250854678585,173799.57876980442,584.0979991386896,10,0,2034.0387183807711
shelf,0.7,8,2,53.73070660394743,0.5284976774196274,1823.7770262785361,-2.8102520310824275e-16,10,0,2034.0387183807711
shelf,0.7,16,4,0.4365817490775668,0.43591732487069446,-9.298117831235686e-16,-9.298117831235686e-16,10,0,2034.0387183807711
shelf,0.7,32,8,0.4694092144237924,0.4694105284641978,-2.3245294578089215e-16,-2.3245294578089215e-16,10,0,2034.0387183807711
shelf,1.0,4,1,10962.069581259255,43.698305273783355,300848.7709453524,1176.9746638424108,10,0,2034.0387183807711
shelf,1.0,8,2,123.65613735990345,0.7401146645346036,3548.96423795449,-2.8102520310824275e-16,10,0,2034.0387183807711
shelf,1.0,16,4,0.6786529426082029,0.675478911138215,0.0052392845845033315,-9.298117831235686e-16,10,0,2034.0387183807711
shelf,1.0,32,8,0.6979610081110307,0.697961096218267,-2.3245294578089215e-16,-2.3245294578089215e-16,10,0,2034.0387183807711
ledge,0.7,4,1,56266.17194865355,1591.0020178911723,20816921.111912113,588103.1669277479,12,0,17006.445148492945
ledge,0.7,8,2,47.45301737077002,1.9691860435641164,194103.47722768586,5528.885406298527,12,0,17006.445148492945
ledge,0.7,16,4,0.2199407333866165,0.16214926193984427,-7.384717837233268e-15,-7.384717837233268e-15,12,0,17006.445148492945
ledge,0.7,32,8,0.23900324488681501,0.23900150451628116,-1.7269172203349115e-15,-1.7269172203349115e-15,12,0,17006.445148492945
ledge,1.0,4,1,119533.8648400968,3354.297378149745,44355355.41328159,1243883.3000761017,12,0,17006.445148492945
ledge,1.0,8,2,167.72318234516007,6.912187495844431,405457.6180699723,11638.095526498726,12,0,17006.445148492945
ledge,1.0,16,4,0.3202085554211415,0.30756524035221694,-7.384717837233268e-15,-7.384717837233268e-15,12,0,17006.445148492945
ledge,1.0,32,8,0.41105085693137294,0.4110428388116126,-1.7269172203349115e-15,-1.7269172203349115e-15,12,0,17006.445148492945
dinner,0.7,4,1,0.13472324006171416,0.09507283755213632,-8.326672684688674e-16,-8.326672684688674e-16,10,0,469.5416994733211
dinner,0.7,8,2,0.09577408442628675,0.09577459081222355,-1.9949319973733282e-16,-1.9949319973733282e-16,10,0,469.5416994733211
dinner,0.7,16,4,0.11319896573951982,0.11319217810943703,-8.023096076392733e-16,-8.023096076392733e-16,10,0,469.5416994733211
dinner,0.7,32,8,0.11641933721455615,0.11642281756295618,-1.4604203263379745e-16,-1.4604203263379745e-16,10,0,469.5416994733211
dinner,1.0,4,1,0.3721407008706691,0.18220321414285304,-8.326672684688674e-16,-8.326672684688674e-16,10,0,469.5416994733211
dinner,1.0,8,2,0.18624512463342682,0.18624476153655709,-1.9949319973733282e-16,-1.9949319973733282e-16,10,0,469.5416994733211
dinner,1.0,16,4,0.2120960236861659,0.21208412370634983,-8.023096076392733e-16,-8.023096076392733e-16,10,0,469.5416994733211
dinner,1.0,32,8,0.22550587267467298,0.2255008465009058,-1.4604203263379745e-16,-1.4604203263379745e-16,10,0,469.5416994733211
