scene,control,solver,iters,substeps,relax,margin_J,eq2_violates,gross_supply_J,return_channel_J,cum_modal_gain_J,peak_net_modal_J,peak_modal_E_J,kick_realized_J,n_steps,finite,wall_s
shelf,resting_no_impact,xpbd,4,1,0.7,1458.2489254349825,True,0.32384043607541546,0.22685635628463913,9572.268347997391,1458.3942933045694,1179.413378439167,,108,True,0.2188588340068236
shelf,resting_no_impact,xpbd,8,2,0.7,9.734870355875668,True,0.39905817154450435,0.3091399032732377,37.11115349780824,9.806582784882494,1.9766647688935828,,216,True,0.7812586250947788
shelf,resting_no_impact,xpbd,16,4,0.7,-7.934668547204815e-14,False,0.5928045748933729,0.5062305182629718,0.385483133175848,0.08165466214649626,0.06408594138810099,,432,True,2.945673667010851
shelf,resting_no_impact,xpbd,32,8,0.7,0.0,False,0.7946118999693013,0.7136831870697451,0.5257810454322932,0.08454504041649477,0.07221999817089488,,864,True,11.508871291996911
ledge,resting_no_impact,xpbd,4,1,0.7,207.02364269082557,True,0.08585629390979638,0.0119410089378853,2703.050334143846,207.10461042284376,125.52346547696196,,108,True,0.3367772080237046
ledge,resting_no_impact,xpbd,8,2,0.7,0.13992004039679448,True,0.07679806981576981,0.012651086225143375,3.608343574226606,0.20626726905785012,0.1451707026956206,,216,True,1.0534465000964701
ledge,resting_no_impact,xpbd,16,4,0.7,-6.608619901316004e-13,False,0.07878150494795011,0.01370925044791138,0.009904358704396822,0.00385635727635858,0.0003220672217274173,,432,True,3.656993458047509
ledge,resting_no_impact,xpbd,32,8,0.7,0.0,False,0.08632707275559251,0.02166169959201403,0.017730495374250158,0.007320330688310384,0.000950103611031648,,864,True,13.524671916035004
dinner,resting_no_impact,xpbd,4,1,0.7,-1.1719791803699309e-14,False,0.33515853166085197,0.2403266946975101,0.1839087723239818,0.061914543014842775,0.061914543014842775,,108,True,1.1845859579043463
dinner,resting_no_impact,xpbd,8,2,0.7,0.0,False,0.3433536826622779,0.2481251135838755,0.18793825248395704,0.06229488274897892,0.06229488274897892,,216,True,4.034227124997415
dinner,resting_no_impact,xpbd,16,4,0.7,-6.615021030942358e-14,False,0.3460849306026288,0.2508146755504187,0.1895263401173859,0.06226009807747445,0.06219268729149069,,432,True,14.642437875038013
dinner,resting_no_impact,xpbd,32,8,0.7,0.0,False,0.3467651454092385,0.2515976865832097,0.18996635301095707,0.06259915262719021,0.06251716914586218,,864,True,55.30000891699456
shelf,resting_no_impact,avbd,4,1,0.7,-0.000976817009782711,False,36.39597422740127,0.0,0.008088682680049522,0.008088682680049522,0.008088682680049522,,108,True,0.1879005410009995
shelf,resting_no_impact,avbd,8,2,0.7,-0.001254482860484748,False,44.739554648103265,0.0,0.026579338249617324,0.02548818428073677,0.02548818428073677,,216,True,0.3685176660073921
shelf,resting_no_impact,avbd,16,4,0.7,-0.0004964834687296408,False,47.58258889443526,0.0,0.028723495197497034,0.02841718679590502,0.02841718679590502,,432,True,1.3265111660584807
shelf,resting_no_impact,avbd,32,8,0.7,-7.1424563638767e-05,False,47.589149593302714,0.0,0.5883549702428477,0.13852747995523607,0.10162231617283918,,864,True,5.033348042052239
ledge,resting_no_impact,avbd,4,1,0.7,-0.03506881791375731,False,57.63061156189098,0.0,0.8073332762876673,0.2616537858266375,0.2616537858266375,,108,True,0.10427549993619323
ledge,resting_no_impact,avbd,8,2,0.7,-0.003942954667500713,False,27.842216042916345,0.0,0.3811073309144787,0.10643408036457461,0.06752840528242189,,216,True,0.3433540409896523
ledge,resting_no_impact,avbd,16,4,0.7,-0.0003071991649806396,False,27.861372445182816,0.015323616787367378,0.08478470948020939,0.02602842982102547,0.00804425667586091,,432,True,1.2342906249687076
ledge,resting_no_impact,avbd,32,8,0.7,0.0,False,0.062386859555790555,157.4089049115574,0.03475355184973219,0.01499763876202169,0.0004004372608230369,,864,True,4.605378166073933
dinner,resting_no_impact,avbd,4,1,0.7,-0.0007975680562365588,False,33.01416810901064,0.0,0.021570136808118503,0.018740880518713015,0.018740880518713015,,108,True,0.27670241601299495
dinner,resting_no_impact,avbd,8,2,0.7,-0.0008303547508935469,False,40.97474548588318,0.0,0.03143522779217432,0.029926331300649898,0.029926331300649898,,216,True,1.049124832963571
dinner,resting_no_impact,avbd,16,4,0.7,-0.0004354259509476788,False,39.69679306152403,0.0,0.03246154179101244,0.03238582616863628,0.03238582616863628,,432,True,3.999102749978192
dinner,resting_no_impact,avbd,32,8,0.7,-0.00010049674305016788,False,39.691559441473395,0.0,0.22259397986047813,0.10415776416690932,0.10410836614261293,,864,True,15.302057125023566
