scene,budget,iters,substeps,modes,mean_ms,worst_ms,std_ms,steps_per_s,rt_factor_120hz,realtime_120hz,captured,gain,cap,passive
dinner,8x1,8,1,24,1.2585,1.3589,0.032217,794.62,6.6218,True,True,,,
dinner,8x2,8,2,24,2.4314,2.6217,0.060439,411.29,3.4274,True,True,,,
dinner,16x2,16,2,24,4.6504,4.969,0.10121,215.04,1.792,True,True,,,
dinner,16x4,16,4,24,9.2311,9.7645,0.13975,108.33,0.90275,False,True,,,
dinner,32x4,32,4,24,18.049,19.085,0.14503,55.403,0.46169,False,True,,,
ledge,8x1,8,1,16,0.91593,1.0888,0.1255,1091.8,9.0982,True,True,,,
ledge,8x2,8,2,16,1.6695,1.8841,0.1739,598.98,4.9915,True,True,,,
ledge,16x2,16,2,16,3.2833,3.5962,0.29619,304.57,2.5381,True,True,,,
ledge,16x4,16,4,16,6.943,7.4569,0.52545,144.03,1.2002,True,True,,,
ledge,32x4,32,4,16,13.73,14.426,0.86391,72.835,0.60696,False,True,,,
