scene,iters,substeps,relax,arm,n_substeps,n_clamped,rung1,rung1b,rung2,gap_viol_end_median_m,gap_viol_end_max_m,eqs_over_ceiling_max,gamma_min,gap_viol_post_median_m,gap_viol_post_max_m,gap_viol_pre_median_m,gap_viol_pre_max_m,impulse_next_median_Ns,impulse_next_max_Ns,impulse_steady_median_Ns,impulse_next_over_steady,lam_var_clamped_median,lam_var_clamped_max,lam_var_free_median,dP_across_projection_median,dP_across_projection_max,dP_substep_clamped_median,dP_substep_clamped_max,dP_substep_free_median,ledger_holds,ledger_passive
shelf,16,4,0.7,radial,432,0,0,0,0,3.2577750906821745e-07,2.8596274445730555e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.1109042935485979,nan,nan,nan,4.88590243900853e-11,nan,nan,nan,nan,0.1539593981024805,True,True
shelf,16,4,0.7,gap,432,0,0,0,0,3.2577750906821745e-07,2.8596274445730555e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.1109042935485979,nan,nan,nan,4.88590243900853e-11,nan,nan,nan,nan,0.1539593981024805,True,True
shelf,16,4,0.7,ungov,432,0,0,0,0,3.2577750906821745e-07,2.8596274445730555e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.1109042935485979,nan,nan,nan,4.88590243900853e-11,nan,nan,nan,nan,0.1539593981024805,True,True
shelf,32,1,0.7,radial,108,0,0,0,0,3.5234901326220563e-07,1.0748084714011508e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.6140697429830695,nan,nan,nan,3.069568181634474e-08,nan,nan,nan,nan,0.4551916481524654,True,True
shelf,32,1,0.7,gap,108,0,0,0,0,3.5234901326220563e-07,1.0748084714011508e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.6140697429830695,nan,nan,nan,3.069568181634474e-08,nan,nan,nan,nan,0.4551916481524654,True,True
shelf,32,1,0.7,ungov,108,0,0,0,0,3.5234901326220563e-07,1.0748084714011508e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.6140697429830695,nan,nan,nan,3.069568181634474e-08,nan,nan,nan,nan,0.4551916481524654,True,True
ledge,16,4,0.7,radial,432,0,0,0,0,1.6080646537963705e-07,0.0001240176148797345,nan,1.0,nan,nan,nan,nan,nan,nan,0.13310267627264216,nan,nan,nan,4.3356824464510914e-10,nan,nan,nan,nan,1.021880268932161,True,True
ledge,16,4,0.7,gap,432,0,0,0,0,1.6080646537963705e-07,0.0001240176148797345,nan,1.0,nan,nan,nan,nan,nan,nan,0.13310267627264216,nan,nan,nan,4.3356824464510914e-10,nan,nan,nan,nan,1.021880268932161,True,True
ledge,16,4,0.7,ungov,432,0,0,0,0,1.6080646537963705e-07,0.0001240176148797345,nan,1.0,nan,nan,nan,nan,nan,nan,0.13310267627264216,nan,nan,nan,4.3356824464510914e-10,nan,nan,nan,nan,1.021880268932161,True,True
ledge,32,1,0.7,radial,108,0,0,0,0,1.6254608578569751e-07,6.153547264100417e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.5379046297993636,nan,nan,nan,1.1306517600001812e-07,nan,nan,nan,nan,4.089684740802658,True,True
ledge,32,1,0.7,gap,108,0,0,0,0,1.6254608578569751e-07,6.153547264100417e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.5379046297993636,nan,nan,nan,1.1306517600001812e-07,nan,nan,nan,nan,4.089684740802658,True,True
ledge,32,1,0.7,ungov,108,0,0,0,0,1.6254608578569751e-07,6.153547264100417e-05,nan,1.0,nan,nan,nan,nan,nan,nan,0.5379046297993636,nan,nan,nan,1.1306517600001812e-07,nan,nan,nan,nan,4.089684740802658,True,True
