scene,iters,substeps,relax,arm,n_substeps,n_clamped,rung1,rung1b,rung2,gap_viol_end_median_m,gap_viol_end_max_m,gamma_min,gap_viol_post_median_m,gap_viol_post_max_m,gap_viol_pre_median_m,gap_viol_pre_max_m,impulse_next_median_Ns,impulse_next_max_Ns,impulse_steady_median_Ns,impulse_next_over_steady,lam_var_clamped_median,lam_var_clamped_max,lam_var_free_median,dP_across_projection_median,dP_across_projection_max,dP_substep_clamped_median,dP_substep_clamped_max,dP_substep_free_median,ledger_holds,ledger_passive
shelf,4,1,1.0,radial,108,107,0,0,0,0.0015632359641787304,0.025779190488802027,0.0036664833197374105,0.0015741768228818686,0.025779190488802027,1.1567662811309831e-07,0.0040870957318666565,0.6159331513837529,9.389989310138201,0.0,nan,1.7440509116446552e-08,2.9147749110659785e-05,0.0,0.0,0.0,0.3996407792703072,8.51046700856249,0.63922823236562,True,True
shelf,4,1,1.0,gap,108,103,103,0,0,0.0006739943108004373,0.01224179978829824,0.00366648331973741,0.0007682633647227849,0.01224179978829824,0.000127421400383047,0.004250048583873168,0.8661343434721762,8.260558136170994,0.0,nan,7.004416410950638e-08,2.3085530635495007e-05,0.0,0.0,0.0,0.47007567961603913,7.399808397928535,0.8992500000000003,True,True
shelf,4,1,1.0,ungov,108,0,0,0,0,0.0,0.004141003764030034,1.0,nan,nan,nan,nan,nan,nan,0.5091535986119062,nan,nan,nan,1.8738444181531186e-08,nan,nan,nan,nan,0.5900689641310597,True,True
shelf,8,2,1.0,radial,216,170,0,0,0,0.00026829308556594773,0.007910582345272813,0.052011618279399964,0.0002789189351534334,0.007910582345272813,3.618054086182085e-07,0.00016510689275462537,0.21460890063726848,8.330714056100927,0.0010120903812817124,212.04519340010674,1.682131040880647e-09,5.772551204962495e-06,6.910357826587908e-13,0.0,0.0,0.2452500062955565,7.882428419585614,0.41106519590512886,True,True
shelf,8,2,1.0,gap,216,201,200,1,0,5.339667967910189e-06,0.001052888495850949,0.05611697332754535,1.8296363576759955e-05,0.001052888495850949,2.2736240786556255e-06,0.0001659328031665009,0.4297492399906494,7.015167860540176,0.09468506297623235,4.538722650462029,4.0738024479189894e-09,4.137693962436319e-06,1.1544566893906149e-10,0.0,0.0,0.1494414589628567,6.5780205361840896,0.43750314438989624,True,True
shelf,8,2,1.0,ungov,216,0,0,0,0,4.217431764756696e-08,0.00016627033682590792,1.0,nan,nan,nan,nan,nan,nan,0.20055318043470796,nan,nan,nan,8.330002420211097e-10,nan,nan,nan,nan,0.3098402056909104,True,True
ledge,4,1,1.0,radial,108,101,0,0,0,8.909406990849009e-05,0.02449991047682122,0.0025916409683405498,8.936124611582524e-05,0.02449991047682122,3.386598357051768e-05,0.003939536938403095,0.5332218904495984,109.57943333929434,0.5071361282980931,1.0514373965803758,1.1243752392550595e-07,0.004845142827193544,1.0080358511079837e-07,0.0,0.0,4.086708232148247,105.14233445267553,4.062630106797651,True,True
ledge,4,1,1.0,gap,108,81,70,7,4,3.344013154107234e-05,0.01755136936862258,0.0025669245416341563,3.3788241218205006e-05,0.01755136936862258,3.376641401407754e-05,0.003986204256217381,0.533073542739162,126.16347223029892,0.0,nan,1.1200329175222603e-07,0.00599827102789101,0.0,0.0,0.0,4.087216789441456,121.607365739079,4.61887499999996,True,True
ledge,4,1,1.0,ungov,108,0,0,0,0,3.26537810459715e-05,0.005072269730094857,1.0,nan,nan,nan,nan,nan,nan,0.5274237344065915,nan,nan,nan,1.0901408568146926e-07,nan,nan,nan,nan,4.098465584935008,True,True
ledge,8,2,1.0,radial,216,183,0,0,0,1.9279400193424057e-06,0.005200529201015283,0.025085280043953613,6.815234181023477e-05,0.005200529201015283,6.122014702771017e-06,0.0003342824823352325,2.1030554555410124,109.24170508017315,0.25885767783342667,8.124369627136637,3.8182916211864036e-07,0.0011673697304037482,6.549729918474965e-09,0.0,0.0,2.037218114044017,106.93459693532712,2.041888697785869,True,True
ledge,8,2,1.0,gap,216,170,167,3,0,4.747718278588775e-07,0.0011163124909940175,0.021856002095837265,4.423945840111021e-06,0.0011163124909940175,4.320926092048899e-06,0.0003820545084586083,0.9372593319550148,123.49951042751944,0.018470247970094535,50.74427443922496,3.412701877173289e-07,0.0014912679660287144,7.255865607294371e-11,0.0,0.0,2.039505989329595,121.19264565859696,2.285336817029136,True,True
ledge,8,2,1.0,ungov,216,0,0,0,0,4.672296957143607e-07,0.0003703380007049617,1.0,nan,nan,nan,nan,nan,nan,0.2680911948870732,nan,nan,nan,7.021394043036747e-09,nan,nan,nan,nan,2.044030707524843,True,True
