cell,scene,relax,iters,substeps,axis,value,nframes,settle,window_s,rank,f_min_Hz,f_max_Hz,n_stiff,f_gap_lo_Hz,f_gap_hi_Hz,dt_s,support_compliance,contact_compliance,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
ledge_relax1.0_4x1,ledge,1.0,4,1,base,base,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,0.0,119533.8648400968,44355665.41430452,371.071959177762,97501.42140247623,44355665.41430452,14523.62311861247,True,44355351.71797004,44355059.69786013,True,292.0201099151005,44355351.71797004,454.92326959223203,66.11190252379468,0.14532539208876635,57686239.20493964,454.92326959223203,44355351.71797004,False,False,0,108,108,True,0.27262270799838006
ledge_relax1.0_4x1,ledge,1.0,4,1,h,1/60,50,4,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.016666666666666666,1e-08,0.0,467446.63554050063,165258277.74735624,353.5339976428986,353973.11198198854,165258277.74735624,19015.514542281508,True,165257904.7335607,165257643.75658685,True,260.9769738489791,165257904.7335607,466.8667538673536,83.3046075967847,0.17843336863616818,204590244.2643653,466.8667538673536,165257904.7335607,False,False,0,54,54,True,0.15303541696630418
ledge_relax1.0_4x1,ledge,1.0,4,1,h,1/240,200,16,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.004166666666666667,1e-08,0.0,9804.185864164356,3774066.492665451,384.94440486488344,8200.223810860922,3774066.492665451,31.806454416227744,True,3773679.453357851,3773486.4692295147,True,192.98412833659822,3773679.453357851,460.2394495217102,68.00991421836987,0.1477707186749139,4518335.746693844,460.2394495217102,3773679.453357851,False,False,0,216,216,True,0.5265216670231894
ledge_relax1.0_4x1,ledge,1.0,4,1,support_compliance,1e-06,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-06,0.0,94241.72841472566,35042511.529493436,371.8364690350681,76926.87443785783,35042511.529493436,280.5845880955789,True,35042207.67357188,35041924.74635084,True,282.92722104081844,35042207.67357188,455.53016141064035,73.78388680389061,0.16197365850683526,44849117.43153041,455.53016141064035,35042207.67357188,False,False,0,108,108,True,0.26241566601675004
ledge_relax1.0_4x1,ledge,1.0,4,1,support_compliance,0.0001,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,0.0001,0.0,2.5350436419990223,972.2707971463899,383.53217318961043,2.1030370920707573,972.2707971463899,0.021020480512895005,True,570.0583189177684,478.10362894103275,True,91.95468997673558,570.0583189177684,462.3174744811764,237.4325172429127,0.5135702852447122,1788.125926183983,462.3174744811764,570.0583189177684,False,False,0,108,108,True,0.28101862501353025
ledge_relax1.0_4x1,ledge,1.0,4,1,contact_compliance,1e-08,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,1e-08,119522.12963671284,44349747.26522053,371.05887754863016,97551.10348440958,44349747.26522053,14540.925419550098,True,44349433.56974881,44349141.56338852,True,292.0063602893497,44349433.56974881,454.63091324547054,66.21846783314705,0.1456532450915705,57678681.064547375,454.63091324547054,44349433.56974881,False,False,0,108,108,True,0.2618809590348974
ledge_relax1.0_4x1,ledge,1.0,4,1,contact_compliance,1e-06,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,1e-06,119529.31737922376,44352436.49676198,371.05906290795224,97406.42805544696,44352436.49676198,13864.902919749826,True,44352122.79333242,44351830.77863099,True,292.0147014362085,44352122.79333242,455.33377398373653,66.73304293780161,0.14655851762093353,57450839.79383764,455.33377398373653,44352122.79333242,False,False,0,108,108,True,0.2594430830795318
ledge_relax1.0_4x1,ledge,1.0,4,1,rank,no local (excl. stiff cluster),100,8,0.8333333333333334,12,118.100313531201,17006.445148492945,0,,,0.008333333333333333,1e-08,0.0,3354.297378149745,1244195.0945860464,370.9256974920791,2752.480569675095,1244195.0945860464,324.5462482455445,True,1243879.6474379862,1243586.0194374083,True,293.62800057779646,1243879.6474379862,452.0268401868908,62.59657304030549,0.13847977039245035,1618755.6589631129,452.0268401868908,1243879.6474379862,False,False,0,108,108,True,0.25228862510994077
ledge_relax1.0_4x1,ledge,1.0,4,1,rank,n_global=18,100,8,0.8333333333333334,22,118.10031324884606,444589.2049786614,4,38263.45870203386,382645.01584109117,0.008333333333333333,1e-08,0.0,127877.94492828325,47687765.304524146,372.91626270087846,131883.76105258838,47687765.304524146,4769.197252925897,True,47687478.06571467,47687210.697665855,True,267.3680488198941,47687478.06571467,361.58936417887526,119.36043966797075,0.33009942075874815,49264481.16705969,361.58936417887526,47687478.06571467,False,False,0,108,108,True,0.25582529208622873
ledge_relax1.0_4x1,ledge,1.0,4,1,rayleigh_alpha0,1,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,0.0,119531.75171992392,44354903.23872913,371.0721427613439,97479.53323807649,44354903.23872913,14758.00713168204,True,44354589.542676985,44354297.52270618,True,292.01997080271576,44354589.542676985,455.01759974988937,66.13967346389501,0.14535629720751497,57689066.94163979,455.01759974988937,44354589.542676985,False,False,0,108,108,True,0.2709286669269204
ledge_relax1.0_4x1,ledge,1.0,4,1,rayleigh_alpha0,6,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,0.0,119542.26242354568,44358715.69757317,371.0714085400817,97515.43501241405,44358715.69757317,12899.838344225549,True,44358402.00011222,44358109.97943264,True,292.0206795810273,44358402.00011222,454.889174128446,66.1799496417263,0.14548587525417614,56983069.66240839,454.889174128446,44358402.00011222,False,False,0,108,108,True,0.27262354199774563
ledge_relax1.0_4x1,ledge,1.0,4,1,rayleigh_alpha1,1e-4,100,8,0.8333333333333334,16,118.10031210177867,190902.6610393876,4,17006.445148493236,170064.45148492925,0.008333333333333333,1e-08,0.0,119851.89440225094,44472422.18286958,371.06148721863127,97668.50536705632,44472422.18286958,1367.4965388020273,True,44472108.56899393,44471816.64149032,True,291.92750361782424,44472108.56899393,455.34046022035443,78.30571887017763,0.17197180068795748,50309067.40702263,455.34046022035443,44472108.56899393,False,False,0,108,108,True,0.2794809580082074
shelf_relax0.7_4x1,shelf,0.7,4,1,base,base,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,0.0,6333.221296009669,173830.06290356058,27.44733758365345,4567.550419496815,173830.06290356058,196.78788452274034,True,173799.74647536603,173781.23470765157,True,18.5117677144686,173799.74647536603,38.05761227321287,8.668219152017315,0.22776571188409803,412404.13741176133,38.05761227321287,173799.74647536603,False,False,0,108,108,True,0.21284008293878287
