block,trial,n_modes,coupled_K,kappa,h,v,w_r,a_tilde,w_modal,uGu,dE,dE_pred
B_matched,0,7,1,2.2560959932528952,0.005885887393960746,-3.160805801781335,0.010765585467621961,0.00036488348129442156,4.916231568698173,4.916231568698235,-1.013872440878174,-1.0138724408781814
B_matched,1,6,1,2.9287088917313886,0.0005683326886131574,-0.49715628509950177,0.006188587027013388,2.7837130335187292e-05,0.6735231927001537,0.6735231927001551,-0.18181557151961414,-0.1818155715196106
B_matched,2,1,0,2.459373652206998,0.0011614393928350087,-7.075020691730706,0.009804428909809785,0.0,0.47524742939862097,0.47524742939862097,-51.59852181886572,-51.5985218188655
B_matched,3,1,0,2.0,0.001631299125959178,-0.02306933415440625,0.0034829790338328824,0.0,0.008218856058977073,0.008218856058977073,-0.022739774322005885,-0.0227397743220059
B_matched,4,7,0,1.0379175937654013,0.02779766257110061,-0.38374011188841434,0.41585908216395945,0.0,39.359435944469695,39.359435944469695,-0.0018511047293744975,-0.0018511047293744696
B_matched,5,5,1,3.4298056007502775,0.001275746829295633,-0.6504424236662735,0.587497797088614,0.0,2.6735867966091913,2.6735867966091917,-0.06486727564848643,-0.06486727564848646
B_matched,6,5,0,2.0,0.00853250890507945,-0.6121065611530568,0.021906088170662568,0.010466418350003115,2.102539161863023,2.102539161863023,-0.0881795934871814,-0.08817959348718113
B_matched,7,7,0,2.6938143751115513,0.0004080371105142194,-0.04869299106897649,2.744187706600009,0.03407356092253858,0.32832144793427015,0.32832144793427015,-0.00038579578212308285,-0.00038579578212308285
B_matched,8,6,0,2.0,0.0014984801926733076,-1.6664634093425301,0.0023652082325002566,4.167339860150323e-06,3.677670017723684,3.6776700177236834,-0.37731979779528046,-0.3773197977951954
B_matched,9,5,0,2.0,0.0015988796206641129,-6.291410568248869,6.21806179622957,0.0,0.6219445656855861,0.621944565685586,-2.893407172737695,-2.8934071727376947
B_matched,10,1,1,3.8092868815712686,0.00036007654229726284,-0.28452464129864413,0.7065221265263792,0.0,2.4081846452028324e-05,2.4081846452028324e-05,-0.05728873111679346,-0.057288731116793466
B_matched,11,7,0,2.0,0.0007846191511714456,-0.6401643120906834,0.0016818197995686105,0.059258762633246094,0.31121854677375727,0.31121854677375727,-0.638254259322693,-0.6382542593226793
B_matched,12,2,1,3.05995383701977,0.0005867301123068158,-0.02936178794140599,0.00703123115164084,0.0,0.014438111399628277,0.01443811139962828,-0.0200778060403422,-0.020077806040342212
B_matched,13,4,0,2.0,0.0007840053273631121,-1.4862161128983595,0.6588993113816307,0.0,1.4586840897568638,1.4586840897568636,-0.5215469513623765,-0.5215469513623766
B_matched,14,1,1,2.0,0.003738695956037015,-0.05157527317284837,0.005515626166853412,0.0,1.087942469869345e-05,1.0879424698693451e-05,-0.24065919764200186,-0.2406591976420018
B_matched,15,2,1,2.197572204002409,0.0009312626808952131,-0.2158495110194333,0.0020248761823285443,7.144011024166894e-06,0.23636121194567963,0.2363612119456796,-0.09772174989605631,-0.09772174989605399
B_matched,16,1,1,0.422786028154358,0.010976015627398599,-0.05964513233928956,0.3388150458038067,0.0,0.05626906613590179,0.05626906613590178,-0.004502258764982,-0.004502258764982001
B_matched,17,7,1,1.1434911864942991,0.0006426333406082725,-0.603481833391621,0.8294920934678446,1.7252964796956146e-05,3.001723517613604,3.0017235176136627,-0.04752934318978916,-0.047529343189787965
B_matched,18,4,0,2.0,0.0003224202932963941,-2.198829855958015,0.010661675973967371,0.012925754035918774,1.557656605590874,1.5576566055908738,-1.5413101160140172,-1.5413101160140195
B_matched,19,8,1,2.0,0.003937986136721081,-3.586602788006581,0.004811991772380289,0.0,0.01411128415580526,0.014111284155805242,-339.8914545175692,-339.89145451756923
B_matched,20,5,0,2.705845100606124,0.0016038278560534032,-0.01125916278199902,1.7141171420535701,0.00324964085072465,0.10984470777675777,0.10984470777675778,-3.4750821569932356e-05,-3.475082156993236e-05
B_matched,21,6,1,2.0,0.0009987312630125769,-0.2018976258365156,0.04949646359052909,0.0,1.107952589331235,1.1079525893312347,-0.017608831773426203,-0.017608831773426203
B_matched,22,2,0,2.903084267004963,0.026398215242295672,-0.327518045239476,5.250806060400979,0.015569859673323558,0.01766730879606445,0.017667308796064454,-0.01018009688034445,-0.01018009688034445
B_matched,23,6,0,3.72269600818406,0.0012538048279753787,-3.170672627614349,0.26519029236164937,0.12852300099392233,105.54219444491552,105.54219444491552,-0.04750684528926641,-0.047506845289263404
B_matched,24,6,1,2.0,0.00044417909871143736,-1.0902680595423586,0.007707504812262365,1.151062612008127e-06,0.01967461606355381,0.01967461606355381,-21.705485213304684,-21.7054852133047
B_matched,25,2,1,2.9085986402284165,0.006236241154767875,-0.07292517288775309,0.01306826941580236,0.0,0.015952242123882576,0.015952242123882576,-0.09162624224311686,-0.09162624224311683
B_matched,26,3,1,1.2956021306758996,0.006792743494878727,-6.607855912173915,0.023095537759841255,0.0,0.14968719252430338,0.14968719252430315,-126.35452537486196,-126.35452537486196
B_matched,27,3,1,3.57093843515329,0.0011483468388073068,-6.211097231198877,0.22357279357412282,0.5194548916110825,0.23954825663455184,0.23954825663455184,-30.009119673684182,-30.009119673684197
B_matched,28,8,1,2.0,0.00653358151070545,-0.9971236510866183,0.014656770647838931,0.0,0.4085834430987595,0.4085834430987598,-1.1745759774986624,-1.1745759774986633
B_matched,29,7,0,2.0,0.0005977611058606306,-3.692062365395063,0.9024681515932094,0.0,222.61504620553987,222.6150462055399,-0.03049274359812948,-0.030492743598129524
B_matched,30,1,0,2.0,0.004518215455611545,-0.030181140419904794,1.3926026612104538,0.0021486614272271595,2.51991637811662e-05,2.5199163781166198e-05,-0.00032704324724925043,-0.00032704324724925043
B_matched,31,5,0,2.144311958561058,0.001272039956513992,-0.022311836978404182,0.12189208052744803,0.0,0.39918172392052764,0.39918172392052764,-0.00047768479733717537,-0.00047768479733717516
B_matched,32,7,0,1.0,0.0011930286507814477,-0.05324745490052768,0.9049530339124865,0.0,3.7541042830269666,3.7541042830269666,-0.00030427737420992275,-0.00030427737420992275
B_matched,33,7,0,1.0,0.005118036401294336,-3.322648662199446,0.003269290934167809,0.012072375204735723,0.21381672614632632,0.2138167261463263,-25.35712503262721,-25.357125032627057
B_matched,34,6,0,1.0,0.0018908229817530136,-4.617695066362232,0.20127794030734927,0.09735733137783364,515.2764088432441,515.2764088432441,-0.020682861268561226,-0.02068286126856766
B_matched,35,1,1,1.6707111312291063,0.01949460273544306,-0.452882558289489,0.001352528839777633,0.0004684482245932093,0.005247490672736694,0.005247490672736694,-15.469786049472027,-15.469786049472036
B_matched,36,3,1,1.0,0.0076935669776717055,-0.020411138143782648,0.0011075116750245313,0.0,0.04855328085249793,0.04855328085249794,-0.004194602412896348,-0.0041946024128963234
B_matched,37,2,0,1.0,0.006833448795818303,-0.07668175821910132,0.0034815357820185463,0.019687547243002732,0.15527867659757424,0.15527867659757424,-0.018293373469482455,-0.018293373469482427
B_matched,38,4,0,1.0,0.004173380200092193,-0.05090562259980975,0.18370764429236278,0.00017828881546597935,1.5155142386722658,1.5155142386722658,-0.000762520307009738,-0.0007625203070097383
B_matched,39,6,1,1.0,0.0014379653961165539,-0.46494497523567074,4.913243449770106,0.006496725688080032,0.35288871782676356,0.3528887178267636,-0.02052488381583468,-0.020524883815834682
B_matched,40,2,0,1.0,0.002414352167808937,-2.8557106547626856,0.0037019386299191803,0.0,6.531702187552909,6.531702187552909,-0.6239157660545516,-0.6239157660544179
B_matched,41,5,1,1.5104618354641666,0.007558592487201846,-0.015316310159473228,0.27409154677230424,0.009938396071639337,0.01772686697609215,0.017726866976092142,-0.0004015080639681791,-0.0004015080639681791
B_matched,42,7,0,2.8961451288627447,0.014338945398626785,-0.3932086072514802,0.001280799662249031,0.0030291304794146383,2.4587862118157315,2.4587862118157315,-0.03142450475028369,-0.03142450475028113
B_matched,43,7,1,1.0,0.0017746007649543157,-6.565218372594175,8.260464138351402,1.2155640034323076e-05,176.47939000289475,176.47939000289477,-0.11665618250107901,-0.11665618250107916
B_matched,44,5,0,1.0,0.004017540127038238,-0.02946178644060401,0.047365283694678594,0.0,6.874154428344712,6.874154428344712,-6.270276589416708e-05,-6.27027658941686e-05
B_matched,45,4,0,1.966956436677123,0.03102592584660034,-7.437210448580911,0.3167369167006804,0.0015608432973590707,0.013415113282709449,0.013415113282709449,-83.76576482554749,-83.76576482554749
B_matched,46,2,0,3.0301320605825897,0.00036399604472889545,-3.060305792557694,0.013432665569126175,1.831079953557484e-06,0.32956610255516544,0.32956610255516544,-13.652339912051161,-13.652339912051126
B_matched,47,8,0,1.0,0.0019509053115670293,-2.440496408616466,0.0028020348389899167,0.005993344847201953,16.595488350194163,16.595488350194163,-0.17941672926326646,-0.17941672926306976
B_matched,48,6,0,3.3521207391771415,0.027595121157899406,-0.09937044781849162,1.2171999328462382,0.0019426079353776595,0.01293359898167373,0.01293359898167373,-0.00401357295631812,-0.004013572956318121
B_matched,49,2,0,1.5644768559742368,0.016872606949761552,-0.44938063435806747,0.4421119336065468,0.0,0.03549254865606404,0.03549254865606404,-0.21141233178902702,-0.211412331789027
B_matched,50,8,1,2.0,0.016522340410187464,-0.030603763054915356,0.0014221524630442918,8.598368832607082e-05,0.04549557077793043,0.0454955707779299,-0.009981166116872553,-0.009981166116872539
B_matched,51,8,1,2.0,0.0005358247882127755,-0.013064582409614315,2.6511439199499636,0.937350289295303,2.6770789307143303,2.677078930714336,-1.5658431607535524e-05,-1.5658431607535554e-05
B_matched,52,6,0,1.0,0.001816322514557529,-0.2666042654007701,1.314522525565309,0.0003022566109516588,0.294455547587288,0.294455547587288,-0.022087880813447924,-0.022087880813447924
B_matched,53,7,0,2.0,0.002012807481561651,-0.013306768505215888,0.0065077516098460434,0.0,0.47171031827174126,0.4717103182717413,-0.00018513529622087542,-0.00018513529622087493
B_matched,54,7,0,3.983035093398144,0.0028990725228861805,-0.0927057934768477,0.9129409733887567,0.0,0.33605636962649754,0.33605636962649754,-0.0034405053750650666,-0.003440505375065066
B_matched,55,6,1,0.3010074218112411,0.0029413543618583265,-1.7626671381437575,0.0028129174032212366,1.1582747336337479e-06,11.58927832971654,11.589278329716823,-0.13401358623127635,-0.13401358623120982
B_matched,56,4,1,2.0,0.029358323110358384,-3.7230372622220385,0.003982796586780676,0.0,0.006200772627121067,0.006200772627121067,-680.5573843879758,-680.5573843879758
B_matched,57,6,0,1.3953264556177476,0.011413125503381603,-0.08938540633576904,9.108559993979096,0.007886813703809796,3.5374553424033137,3.537455342403314,-0.00031589981308455944,-0.0003158998130845595
B_matched,58,6,1,2.0,0.012188166084941453,-0.3149812789604683,0.2394816051514542,0.0,6.791720763510485,6.791720763510466,-0.007055209115994526,-0.007055209115994549
B_matched,59,7,0,3.3320017572394036,0.011298521849529349,-0.410229237597479,0.03707050689569348,0.0,0.3313841679872707,0.3313841679872707,-0.22837005315954206,-0.22837005315954237
B_matched,60,5,1,1.7586616416761833,0.0012408873743809403,-0.059598209094472714,7.036159458968404,0.0005264493562590588,4.6537289779029205,4.6537289779029205,-0.0001519238844428196,-0.0001519238844428196
B_matched,61,5,1,1.9038805814862232,0.0009519710427332334,-5.020893545894383,2.007204210789822,0.0,242.26762750589972,242.26762750589975,-0.05160042854607738,-0.05160042854607664
B_matched,62,2,0,1.0,0.02100305450977961,-9.000249514874072,0.025199003426908385,0.0,0.0028138778818705135,0.0028138778818705135,-1445.843618103739,-1445.843618103739
B_matched,63,8,1,1.0,0.004173018698121489,-9.282784110106306,0.06371082935649791,0.0,0.4015683581241809,0.4015683581241829,-92.60040332066228,-92.60040332066262
B_matched,64,4,1,3.0676049393876568,0.00037868539046249163,-0.07714604445340262,0.037877989326249584,2.6689715192976413e-05,1.0321018270799214,1.0321018270799214,-0.0027811329147746644,-0.0027811329147746453
B_matched,65,1,0,1.0,0.007113935530817248,-2.193854171672922,0.019786833852904633,7.99348735039323e-05,0.0018382956012004059,0.0018382956012004059,-111.28097195709698,-111.28097195709698
B_matched,66,2,1,1.0,0.019485817279125746,-2.2393864131041097,0.14752830997808633,0.13880932498467385,0.00048093988846792564,0.0004809398884679161,-12.973095742224174,-12.973095742224176
B_matched,67,5,0,0.9031924335453145,0.00750751895915928,-0.7061453971634829,0.017444076590062144,3.3687467843026436e-05,1.2640425634228998,1.2640425634228998,-0.19455580184025933,-0.1945558018402604
B_matched,68,6,1,0.8808074504106924,0.003172134911175817,-0.4796352059891997,0.002244852389565916,0.0,12.933829802716424,12.933829802716428,-0.008891798206093426,-0.00889179820609257
B_matched,69,7,0,1.0,0.005644034998250983,-0.010656742659431506,1.218915075028382,0.412695187971384,0.37050540215298144,0.37050540215298144,-3.4207690407575314e-05,-3.42076904075753e-05
B_matched,70,3,0,1.964490877990369,0.012050075097360311,-9.946537644370109,0.003394027782867696,0.6045330591245766,0.194130186403304,0.194130186403304,-108.16100918905977,-108.1610091890602
B_matched,71,7,0,1.0,0.0010175791716876728,-0.04546984817596448,4.075070206220641,0.0,508.65427612628207,508.65427612628207,-2.016177841129927e-06,-2.016177841129939e-06
B_matched,72,2,0,1.0,0.0011281094292952957,-1.3061310623600848,0.009639080525516446,0.0,7.41194519510344,7.41194519510344,-0.11493357002386517,-0.11493357002385499
B_matched,73,1,0,2.7406530862882827,0.009224398646217248,-0.03775061397609586,0.004323016532685415,1.1252577151849013e-05,0.00588950875540512,0.00588950875540512,-0.06977251409514777,-0.06977251409514776
B_matched,74,5,0,2.2397191813322537,0.0013242118050646478,-0.20034051775115536,0.0012864062919550362,2.13419948890571e-05,19.020934944155716,19.020934944155716,-0.0010549851753189898,-0.001054985175319861
B_matched,75,8,1,2.0,0.0008729821233916874,-0.020277697537053455,0.3463433670246982,0.9617276860922823,0.9693290776420905,0.9693290776420905,-0.0001283975358995766,-0.00012839753589957652
B_matched,76,2,1,2.0,0.002190267926991201,-0.3365297949168239,0.001564374068777509,0.0,2.057165058426011,2.057165058426011,-0.02750538780842504,-0.02750538780842106
B_matched,77,8,0,2.0,0.00039319137041143095,-0.138052858778334,0.027414259257526462,0.0,8.497186125313137,8.497186125313137,-0.0011178583720691249,-0.0011178583720690453
B_matched,78,6,1,2.561745331509459,0.0006950987004414486,-0.26133819147507575,0.3890300010575904,0.0,0.08103289288911776,0.08103289288911779,-0.07264735336800097,-0.07264735336800099
B_matched,79,4,1,0.46709929558590524,0.0012470219930602044,-2.3023474166526037,1.1330239023537552,0.0,0.5601916371756283,0.5601916371756278,-1.5653068092087783,-1.5653068092087783
B_matched,80,4,1,2.6486322881398285,0.0006941829722942911,-1.3727060874764474,0.07253976455221649,0.00483661352079392,103.8388529190682,103.8388529190682,-0.009066965372364066,-0.009066965372363543
B_matched,81,3,1,1.311405989768316,0.0009934964595937894,-0.0963411749648673,0.0075436682698685285,0.0002616952142683569,0.14473143804701202,0.14473143804701202,-0.030476401885447646,-0.030476401885447715
B_matched,82,1,1,2.1884991673621035,0.015845382987810065,-0.01858188094975293,0.060444148346827126,0.02709640175413492,9.471622409155934e-07,9.471622409155934e-07,-0.0025825552922685126,-0.002582555292268513
B_matched,83,4,0,1.0,0.0025154787761300593,-0.5834093895281368,0.005566060165653752,0.0,8.928464242800079,8.928464242800077,-0.019048878515473433,-0.019048878515478367
B_matched,84,7,1,1.0,0.00745930390265006,-0.3078654779951999,0.004675679892168818,5.1884879802280576e-05,0.1724195183097103,0.17241951830971036,-0.26759941933130094,-0.267599419331302
B_matched,85,7,0,1.0,0.0006173425693411547,-0.16821361409758118,4.260099855824469,0.0,157.36853400439125,157.36853400439125,-8.753343789393584e-05,-8.75334378939364e-05
