block,kappa,weight,predictor,paired,n_active,n_injecting,inject_frac,false_neg,false_pos,warm,shared_body,paired_n_active,paired_n_injecting,paired_inject_frac
B_inject,1.0,mass,symplectic,1,3672,418,0.11383442265795207,271,1152,,,,,
B_inject,1.0,mass,midpoint,0,4104,1482,0.3611111111111111,400,526,,,,,
B_inject,1.0,mass,exact,0,4236,1498,0.35363550519357884,376,643,,,,,
B_inject,1.0,mass,frozen,0,5832,1854,0.31790123456790126,504,1080,,,,,
B_inject,1.0,matched,symplectic,1,3672,216,0.058823529411764705,216,0,,,,,
B_inject,1.0,matched,midpoint,0,4104,396,0.09649122807017543,396,0,,,,,
B_inject,1.0,matched,exact,0,4236,534,0.12606232294617564,534,0,,,,,
B_inject,1.0,matched,frozen,0,5832,1080,0.18518518518518517,1080,0,,,,,
B_inject,2.0,mass,symplectic,0,3672,1531,0.41693899782135074,166,1573,,,,,
B_inject,2.0,mass,midpoint,1,4104,2826,0.6885964912280702,199,704,,,,,
B_inject,2.0,mass,exact,0,4236,2722,0.6425873465533523,192,941,,,,,
B_inject,2.0,mass,frozen,0,5832,3293,0.5646433470507545,486,1972,,,,,
B_inject,2.0,matched,symplectic,0,3672,6,0.0016339869281045752,6,0,,,,,
B_inject,2.0,matched,midpoint,1,4104,0,0.0,0,0,,,,,
B_inject,2.0,matched,exact,0,4236,186,0.043909348441926344,186,0,,,,,
B_inject,2.0,matched,frozen,0,5832,1678,0.28772290809327844,1678,0,,,,,
B_inject_total,,mass,,,35688,15624,0.4377942165433759,2594,8591,,,,,
B_inject_total,,matched,,,35688,4096,0.11477247253978928,4096,0,,,,,
PAIRED_B,,mass,,,35688,15624,0.4377942165433759,,,,,,,
PAIRED_B,,matched,,,35688,4096,0.11477247253978928,,,,,,,
D_inject,1.0,mass,,,1175,388,0.3302127659574468,27,103,0,0,,,
D_inject,1.0,matched,,,1218,0,0.0,0,0,0,0,,,
D_inject,2.0,mass,,,1175,966,0.8221276595744681,13,137,0,0,,,
D_inject,2.0,matched,,,1286,0,0.0,0,0,0,0,,,
D_inject,1.0,mass,,,1149,331,0.28807658833768496,16,124,0,1,,,
D_inject,1.0,matched,,,1148,0,0.0,0,0,0,1,,,
D_inject,2.0,mass,,,1149,848,0.7380330722367275,1,154,0,1,,,
D_inject,2.0,matched,,,1138,0,0.0,0,0,0,1,,,
D_inject,1.0,mass,,,818,94,0.11491442542787286,43,204,1,0,,,
D_inject,1.0,matched,,,828,1,0.0012077294685990338,1,0,1,0,,,
D_inject,2.0,mass,,,972,702,0.7222222222222222,14,203,1,0,,,
D_inject,2.0,matched,,,1051,0,0.0,0,0,1,0,,,
D_inject,1.0,mass,,,732,112,0.15300546448087432,64,166,1,1,,,
D_inject,1.0,matched,,,703,2,0.002844950213371266,2,0,1,1,,,
D_inject,2.0,mass,,,925,665,0.7189189189189189,23,195,1,1,,,
D_inject,2.0,matched,,,838,0,0.0,0,0,1,1,,,
D_inject_total,,mass,,,8095,4106,0.5072266831377393,201,1286,,,,,
D_inject_total,,matched,,,8210,3,0.0003654080389768575,3,0,,,,,
PAIRED_D,,mass,,,7805,3941,0.5049327354260089,199,,,,,,
PAIRED_D,,matched,,,7805,3,0.0003843689942344651,3,,,,,,
HEADLINE,,mass,,,43783,19730,0.450631523650732,2795,9877,,,43493,19565,0.44984250339135035
HEADLINE,,matched,,,43898,4099,0.0933755524169666,4099,0,,,43493,4099,0.0942450509277355
