block,n_cells,max_rel_closed_form,max_rel_vs_common,cold_cells,cold_misclass_k1,cold_misclass_k2,kappa,weight,predictor,paired,n_active,false_neg,false_pos,fn_frac,first_fn_grid_amplitude,b,m_over_M,q_n_norm,qdot_n_norm,index,dE,dE_over_Eminus,family,cold_index,x_star_closed,x_star_measured,x_star_absmin,x_star_absmedian,x_star_k1,x_star_k2,warm,shared_body,n_both_active,row2_only_false_neg,order_sign_flips,max_fn_coupling,cum_sweep_dE,energy_band,half_peak_growth,cum_sweep_rigid,cum_sweep_modal,cum_gravity_lift,n_injecting,label,M,m,n_steps,inject_frac,cum_sweep_first_half,cum_sweep_minus_ground,cum_gravity_lift_excluded,cum_predictor_dE,peak_step_inj,E_impact,Emodal_peak,Emodal_peak_over_impact,Emodal_peak_h1,Emodal_peak_h2,E0,E_final,E_max,cold_control_cells,cold_misclassified,warm_onerow_cells_mass,warm_onerow_false_neg,warm_onerow_false_pos,tworow_cells_mass,tworow_false_neg,tworow_false_pos,tworow_order_sign_flips,combined_cells_mass,combined_false_neg,combined_false_pos,combined_cells_matched,combined_injecting_matched,instrument_cells
A_instrument,13050,6.843524914652711e-15,9.330813283600545e-14,2400,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,mass,symplectic,1,3672,271,1152,0.07380174291938998,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,mass,midpoint,0,4104,400,526,0.09746588693957114,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,mass,exact,0,4236,376,643,0.08876298394711993,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,mass,frozen,0,5832,504,1080,0.08641975308641975,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,matched,symplectic,1,3672,216,0,0.058823529411764705,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,matched,midpoint,0,4104,396,0,0.09649122807017543,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,matched,exact,0,4236,534,0,0.12606232294617564,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,1.0,matched,frozen,0,5832,1080,0,0.18518518518518517,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,mass,symplectic,0,3672,166,1573,0.04520697167755991,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,mass,midpoint,1,4104,199,704,0.048489278752436644,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,mass,exact,0,4236,192,941,0.0453257790368272,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,mass,frozen,0,5832,486,1972,0.08333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,matched,symplectic,0,3672,6,0,0.0016339869281045752,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,matched,midpoint,1,4104,0,0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,matched,exact,0,4236,186,0,0.043909348441926344,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_summary,,,,,,,2.0,matched,frozen,0,5832,1678,0,0.28772290809327844,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.01,-2.0,-1.0,0.009900990099009901,3.940398000223944e-06,7.798968906719827e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.01,-1.5,-1.0,0.009900990099009901,2.587761003924882e-06,5.122657349408417e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.01,-1.0,-1.0,0.009900990099009901,1.4801490050286858e-06,2.9304165234634497e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.01,-0.5,-1.0,0.009900990099009901,6.175620037573992e-07,1.2227452373611999e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.039810717055349734,-2.0,-1.0,0.009617134961177453,1.523509683232227e-05,2.924849672130244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.039810717055349734,-1.5,-1.0,0.009617134961177453,1.0005485863828767e-05,1.922128901240224e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.039810717055349734,-1.0,-1.0,0.009617134961177453,5.7230994021661985e-06,1.0999667013995924e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.039810717055349734,-0.5,-1.0,0.009617134961177453,2.3879374475566095e-06,4.590848175318143e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.15848931924611134,-2.0,-1.0,0.0086319311139679,5.4411709414559084e-05,9.330753087277854e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.15848931924611134,-1.5,-1.0,0.0086319311139679,3.573684486835038e-05,6.142687199367847e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.15848931924611134,-1.0,-1.0,0.0086319311139679,2.0443271783743278e-05,3.5198115650603397e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.15848931924611134,-0.5,-1.0,0.0086319311139679,8.53099016107084e-06,1.470289159943785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.630957344480193,-2.0,-1.0,0.006131368201531432,0.00015367221933915154,0.00018492412124964362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.630957344480193,-1.5,-1.0,0.006131368201531432,0.00010094799262272414,0.00012227719317269765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.630957344480193,-1.0,-1.0,0.006131368201531432,5.77612138271677e-05,7.029529194831423e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,0.630957344480193,-0.5,-1.0,0.006131368201531432,2.4111882952704278e-05,2.9426884433207636e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,2.5118864315095797,-2.0,-1.0,0.002847472489508014,0.0002836474219214402,0.00015604394531516493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,2.5118864315095797,-1.5,-1.0,0.002847472489508014,0.0001863736529952309,0.00010376546530159908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,2.5118864315095797,-1.0,-1.0,0.002847472489508014,0.00010667449303292109,5.990638433827895e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,2.5118864315095797,-0.5,-1.0,0.002847472489508014,4.45499420340667e-05,2.5148347987981083e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,10.0,-2.0,-1.0,0.0009090909090909091,0.0003601652892593066,6.268082764405739e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,10.0,-1.5,-1.0,0.0009090909090909091,0.00023668388429776144,4.181778110783788e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,10.0,-1.0,-1.0,0.0009090909090909091,0.00013549586776928635,2.4202151783250417e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.01,10.0,-0.5,-1.0,0.0009090909090909091,5.660123966855224e-05,1.017664491700121e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.01,-2.0,-1.0,0.022872571287952077,2.0888897322990374e-05,4.1318626354322134e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.01,-1.5,-1.0,0.022872571287952077,1.3731452478515926e-05,2.7171543091022374e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.01,-1.0,-1.0,0.022872571287952077,7.864154643155707e-06,1.5565707737673504e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.01,-0.5,-1.0,0.022872571287952077,3.2870038170207394e-06,6.507100802655084e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.039810717055349734,-2.0,-1.0,0.022216829103524145,8.074925097900643e-05,0.00015465633406874435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.039810717055349734,-1.5,-1.0,0.022216829103524145,5.308358701949789e-05,0.00010182053302996366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.039810717055349734,-1.0,-1.0,0.022216829103524145,3.0403490536401456e-05,5.8379176257828616e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.039810717055349734,-0.5,-1.0,0.022216829103524145,1.2708961529939167e-05,2.4418383829138417e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.15848931924611134,-2.0,-1.0,0.019940880435449164,0.00028820416609420807,0.0004900902001717583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.15848931924611134,-1.5,-1.0,0.019940880435449164,0.00018949348907415509,0.0003239346367578026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.15848931924611134,-1.0,-1.0,0.019940880435449164,0.00010855590238512125,0.00018627250181952416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.15848931924611134,-0.5,-1.0,0.019940880435449164,4.539140602710656e-05,7.806180439688628e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.630957344480193,-2.0,-1.0,0.01416425578450323,0.0008125998798025336,0.000955339920554443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.630957344480193,-1.5,-1.0,0.01416425578450323,0.0005345088986816737,0.0006376185694769056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.630957344480193,-1.0,-1.0,0.01416425578450323,0.00030637859167415016,0.00036932955481060637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,0.630957344480193,-0.5,-1.0,0.01416425578450323,0.00012820895878029592,0.00015552183560900974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,2.5118864315095797,-2.0,-1.0,0.0065780307681822,0.0014965854272996904,0.0007894579465421112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,2.5118864315095797,-1.5,-1.0,0.0065780307681822,0.0009849701331057226,0.0005333519821166184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,2.5118864315095797,-1.0,-1.0,0.0065780307681822,0.0005650007971571558,0.0003118147663157581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,2.5118864315095797,-0.5,-1.0,0.0065780307681822,0.00023667741945510024,0.0001321204104210443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,10.0,-2.0,-1.0,0.002100117909166509,0.0018978248749395021,0.00031335690932699433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,10.0,-1.5,-1.0,0.002100117909166509,0.0012494594204879306,0.00021316282383151945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,10.0,-1.0,-1.0,0.002100117909166509,0.0007170334565165248,0.00012528826507539548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.023101297000831605,10.0,-0.5,-1.0,0.002100117909166509,0.0003005469830190677,5.327842975098606e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.01,-2.0,-1.0,0.05283860624956742,0.00010975397556667321,0.00021680941403134032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.01,-1.5,-1.0,0.05283860624956742,7.23110018568951e-05,0.0001429652756124059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.01,-1.0,-1.0,0.05283860624956742,4.153768135906066e-05,8.217282418586548e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.01,-0.5,-1.0,0.05283860624956742,1.7434014073614e-05,3.450121581168059e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.039810717055349734,-2.0,-1.0,0.051323756753723034,0.0004240813347475836,0.0008081197285065982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.039810717055349734,-1.5,-1.0,0.051323756753723034,0.0002794362519207283,0.0005342265223353213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.039810717055349734,-1.0,-1.0,0.051323756753723034,0.00016054100185380893,0.0003076306158934618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
