variant,N,m,k,w_r,w_m,L,rho,dE_mass,dE_impl,y,y_theory,w_eff,dE_mass_form,dE_impl_form,sign_agree
i_single,1,0.01,101.0,1.0,101.0,1.01,0.01,-0.004900990099009905,-0.004999995049999872,-0.9900000000000009,-0.99,100.000099000099,-0.004900990099009901,-0.0049999950499999505,True
i_single,1,0.01,148.24772602982904,1.0,101.0,1.4824772602982905,0.014677992676220698,-0.00487783171942463,-0.005023147715632226,-0.9853220073237753,-0.9853220073237793,99.53917907768866,-0.00487783171942465,-0.005023147715632237,True
i_single,1,0.01,217.5979036932202,1.0,101.0,2.1759790369322016,0.02154434690031883,-0.004843839866830124,-0.005057127258966676,-0.9784556530996851,-0.9784556530996812,98.87036145144674,-0.004843839866830105,-0.005057127258966682,True
i_single,1,0.01,319.39004367700625,1.0,101.0,3.193900436770062,0.031622776601683784,-0.004793946650486713,-0.005106993959222594,-0.9683772233983161,-0.9683772233983162,97.90495230507635,-0.004793946650486713,-0.005106993959222583,True
i_single,1,0.01,468.80047219489046,1.0,101.0,4.6880047219489045,0.04641588833612777,-0.004720713424078593,-0.005180170069230661,-0.9535841116638758,-0.9535841116638722,96.52192752703594,-0.004720713424078576,-0.005180170069230634,True
i_single,1,0.01,688.1049897485407,1.0,101.0,6.881049897485407,0.0681292069057961,-0.004613221747991114,-0.005287538725835206,-0.9318707930942051,-0.9318707930942038,94.56195517906556,-0.004613221747991108,-0.005287538725835183,True
i_single,1,0.01,1010.0,1.0,101.0,10.1,0.09999999999999999,-0.004455445544554459,-0.0054450499995055135,-0.9000000000000008,-0.9,91.8265213442325,-0.004455445544554456,-0.005445049999505446,True
i_single,1,0.01,1482.4772602982898,1.0,101.0,14.824772602982897,0.14677992676220689,-0.004223861748701929,-0.005676063361670813,-0.8532200732377897,-0.8532200732377931,88.08922102180782,-0.004223861748701946,-0.005676063361670748,True
i_single,1,0.01,2175.9790369322022,1.0,101.0,21.759790369322022,0.21544346900318834,-0.0038839432227564807,-0.00601475399985163,-0.7845565309968091,-0.7845565309968117,83.12891932277464,-0.0038839432227564933,-0.006014753999851604,True
i_single,1,0.01,3193.900436770063,1.0,101.0,31.93900436770063,0.31622776601683794,-0.0033850110593225957,-0.006511044150128764,-0.6837722339831643,-0.683772233983162,76.79259861724448,-0.003385011059322585,-0.006511044150128818,True
i_single,1,0.01,4688.004721948905,1.0,101.0,46.88004721948905,0.46415888336127775,-0.0026526787952412256,-0.007237695061731719,-0.5358411166387276,-0.5358411166387222,69.08276678354126,-0.002652678795241199,-0.00723769506173171,True
i_single,1,0.01,6881.049897485407,1.0,101.0,68.81049897485407,0.6812920690579611,-0.0015777620343665477,-0.008300405391165111,-0.31870793094204264,-0.31870793094203886,60.238021691349864,-0.00157776203436653,-0.00830040539116509,True
i_single,1,0.01,10100.0,1.0,101.0,101.0,1.0,0.0,-0.009851975296539472,0.0,0.0,50.75124378109453,0.0,-0.009851975296539556,band
i_single,1,0.01,14824.772602982895,1.0,101.0,148.24772602982895,1.4677992676220688,0.00231583795852508,-0.012111715713082283,0.46779926762206614,0.4677992676220688,41.28234280300485,0.0023158379585250933,-0.012111715713082206,True
i_single,1,0.01,21759.790369322007,1.0,101.0,217.59790369322008,2.154434690031882,0.005715023217979565,-0.015391077780785412,1.154434690031872,1.154434690031882,32.48635392020529,0.005715023217979613,-0.01539107778078533,True
i_single,1,0.01,31939.004367700632,1.0,101.0,319.39004367700636,3.16227766016838,0.010704344852318748,-0.020125460411740348,2.162277660168387,2.16227766016838,24.844152122270003,0.010704344852318711,-0.02012546041174035,True
i_single,1,0.01,46880.047219489046,1.0,101.0,468.80047219489046,4.641588833612777,0.01802766749313256,-0.026909414823911626,3.641588833612777,3.6415888336127766,18.580857416330797,0.01802766749313256,-0.026909414823911612,True
i_single,1,0.01,68810.49897485404,1.0,101.0,688.1049897485403,6.812920690579607,0.028776835101879228,-0.036526572113334155,5.812920690579604,5.812920690579607,13.688664746546888,0.028776835101879245,-0.03652657211333416,True
i_single,1,0.01,101000.0,1.0,101.0,1010.0,10.0,0.044554455445544594,-0.04995499549954996,9.000000000000007,9.0,10.00900900900901,0.04455445544554455,-0.04995499549954996,True
i_single,1,0.01,148247.72602982895,1.0,101.0,1482.4772602982894,14.677992676220686,0.0677128350307955,-0.06831341969142518,13.677992676220692,13.677992676220686,7.319206127559171,0.06771283503079548,-0.06831341969142511,True
i_single,1,0.01,217597.90369322008,1.0,101.0,2175.979036932201,21.54434690031882,0.10170468762534068,-0.09270051008090413,20.544346900318818,20.54434690031882,5.39371357896118,0.1017046876253407,-0.09270051008090405,True
i_single,1,0.01,319390.04367700627,1.0,101.0,3193.9004367700622,31.622776601683785,0.15159790396873163,-0.12388766007526841,30.62277660168379,30.622776601683785,4.035914470385697,0.1515979039687316,-0.12388766007526839,True
i_single,1,0.01,468800.47219489043,1.0,101.0,4688.004721948905,46.41588833612777,0.2248311303768702,-0.16188812527366758,45.41588833612778,45.41588833612777,3.0885526603928684,0.22483113037687016,-0.1618881252736676,True
i_single,1,0.01,688104.9897485403,1.0,101.0,6881.049897485404,68.12920690579608,0.332322806464337,-0.20555413062295907,67.12920690579607,67.12920690579608,2.4324492944251883,0.332322806464337,-0.20555413062295916,True
i_single,1,0.01,1009999.9999999999,1.0,101.0,10099.999999999998,99.99999999999999,0.4900990099009901,-0.2524752475247524,99.0,98.99999999999999,1.9803921568627452,0.49009900990099003,-0.2524752475247525,True
i_single,1,1.0,20000.0,1.0,2.0,0.02,0.01,-0.2475,-0.2524752475247525,-0.99,-0.99,1.9803921568627452,-0.2475,-0.2524752475247525,True
i_single,1,1.0,29355.9853524414,1.0,2.0,0.029355985352441397,0.014677992676220698,-0.24633050183094485,-0.2536164164351065,-0.9853220073237794,-0.9853220073237793,1.9714812117769052,-0.24633050183094485,-0.2536164164351065,True
i_single,1,1.0,43088.693800637666,1.0,2.0,0.043088693800637665,0.021544346900318832,-0.24461391327492027,-0.2552724942792966,-0.9784556530996811,-0.9784556530996812,1.958691246433093,-0.24461391327492027,-0.25527249427929655,True
i_single,1,1.0,63245.553203367585,1.0,2.0,0.06324555320336758,0.03162277660168379,-0.24209430584957903,-0.2576633575079289,-0.9683772233983161,-0.9683772233983162,1.9405165128480246,-0.24209430584957903,-0.25766335750792885,True
i_single,1,1.0,92831.77667225555,1.0,2.0,0.09283177667225555,0.046415888336127774,-0.23839602791596803,-0.26108925448607534,-0.9535841116638721,-0.9535841116638722,1.9150539189527098,-0.23839602791596803,-0.2610892544860754,True
i_single,1,1.0,136258.41381159224,1.0,2.0,0.13625841381159223,0.06812920690579612,-0.23296769827355096,-0.26594591891723374,-0.9318707930942038,-0.9318707930942038,1.8800814918901134,-0.23296769827355096,-0.26594591891723374,True
i_single,1,1.0,200000.00000000003,1.0,2.0,0.2,0.1,-0.22499999999999998,-0.2727272727272727,-0.8999999999999999,-0.9,1.8333333333333335,-0.22499999999999998,-0.2727272727272727,True
i_single,1,1.0,293559.85352441383,1.0,2.0,0.2935598535244138,0.1467799267622069,-0.21330501830944826,-0.28199827694416973,-0.853220073237793,-0.853220073237793,1.773060479014879,-0.21330501830944826,-0.2819982769441697,True
i_single,1,1.0,430886.9380063767,1.0,2.0,0.4308869380063767,0.21544346900318834,-0.19613913274920292,-0.29431375759085654,-0.7845565309968117,-0.7845565309968117,1.6988672364241986,-0.19613913274920292,-0.29431375759085654,True
i_single,1,1.0,632455.5320336759,1.0,2.0,0.6324555320336759,0.31622776601683794,-0.1709430584957905,-0.31006326833801057,-0.683772233983162,-0.683772233983162,1.6125741132772067,-0.1709430584957905,-0.3100632683380106,True
