scene,s,arm,kappa,iterations,w_r,w_row,L,a_tilde,W_m,M_eff,mu_c,rho_host,rho_matched,rho_lt_1,v,dE_pred,dE_meas,dE_be,modal_ke,modal_pe,reldiff_sym,reldiff_be,passive_meas,passive_be,n_contacts,n_active_support,valid,runner_gap,wratio_min,wratio_max,preflight_res,preflight_ok,e_modal_trail_peak,reason,wall_s
dinner,1e-07,matched,2.0,1,1.0023931314125243,1.0395791081691568,6.401090726920116e-06,0.000144,0.037185976756632384,0.9976125819925042,26.891857824378455,8.925576153168157e-05,0.03453490206658703,True,-1.0,-0.48096387862254125,-0.48108928009150587,-0.49398662469039056,0.017196459465179316,2.9606603961152606e-06,0.00026072949453867197,0.02707634948625636,True,True,0,1,True,50.001,0.2495371619654165,0.24999999962223163,3.049318610115481e-20,True,0.017112285346095504,,0.09268074994906783
dinner,7.498942093324558e-07,matched,2.0,1,1.0023931314125243,1.039537971339967,4.69378927496181e-05,0.000144,0.03714483992744283,0.9976125819925042,26.921639774282458,0.000669323787221666,0.03449933400879506,True,-1.0,-0.4809829114327577,-0.48110833274631837,-0.49397836370212556,0.017160041274409545,2.1711636851162337e-05,0.0002607604357233511,0.027018532177488116,True,True,0,1,True,50.001,0.24657046792810963,0.24999999716713708,5.082197683525802e-21,True,0.01696818646280357,,0.0898105000378564
dinner,5.623413251903491e-06,matched,2.0,1,1.0023931314125243,1.0392563923595137,0.0002999583568668425,0.000144,0.03686326094698946,0.9976125819925042,27.1272799614237,0.005019220322059961,0.03425572689219344,True,-1.0,-0.4811132302634258,-0.4812387875174289,-0.4939302284096261,0.0169219211895961,0.0001388242121331969,0.0002609723576596467,0.0266402945085974,True,True,0,1,True,50.001,0.22638728918168863,0.2499999787565266,1.1858461261560205e-20,True,0.016737329911362193,,0.08971091592684388
dinner,4.216965034285822e-05,matched,2.0,1,1.0023931314125243,1.0380119180293959,0.0009237974627665385,0.000144,0.03561878661687146,0.9976125819925042,28.07507203309201,0.03763884254876548,0.03317601337473569,True,-1.0,-0.4816900377687574,-0.48181619803931763,-0.4938880209473404,0.01609576387736421,0.00042856983655921134,0.0002619117288466578,0.025323303830582504,True,True,0,1,True,50.001,0.14027946591096424,0.24999984069651118,1.8634724839594607e-20,True,0.016476799304417124,,0.08999287500046194
dinner,0.00031622776601683794,matched,2.0,1,1.0023931314125243,1.0361861168400328,0.0008194311146387863,0.000144,0.03379298542750858,0.9976125819925042,29.5919400831028,0.2822515007329529,0.03158284620315777,True,-1.0,-0.4825387947918147,-0.48266584633056686,-0.4941791720801567,0.015351100999453308,0.00038149268603430097,0.00026329808115626836,0.02412319468192001,True,True,0,1,True,50.001,0.03641475827031671,0.2499988053973093,1.6940658945086007e-21,True,0.015600942837214731,,0.09023291699122638
dinner,0.0023713737056616554,matched,2.0,1,1.0023931314125243,1.0337930958700838,0.0019501378806720438,0.000144,0.0313999644575596,0.9976125819925042,31.847169806564803,2.116587659750368,0.029478190974978058,True,-1.0,-0.48365577405910115,-0.48378400570709834,-0.4941146111471979,0.013774140586799825,0.0009121097287921443,0.000265129984743076,0.021624547145008787,True,True,0,1,True,50.001,0.005557542993584566,0.24999104202178435,5.082197683525802e-21,True,0.014585982767478115,,0.08989604201633483
dinner,0.01778279410038923,matched,2.0,1,1.0023931314125243,1.0275886049236473,0.003958393061902233,0.000144,0.02519547351112312,0.9976125819925042,39.6896688430375,15.872168295913353,0.023932232665013847,True,-1.0,-0.48657604570960705,-0.48670740151685,-0.4942473054131691,0.010053205195092162,0.0018738233717804755,0.0002699594614267821,0.015765798113580594,True,True,0,1,True,50.001,0.0007556687805858164,0.24993284027953996,5.082197683525802e-21,True,0.011866804962994762,,0.09003741596825421
dinner,0.1333521432163324,matched,2.0,1,1.0023931314125243,1.0195663020349341,0.003691219302554973,0.000144,0.01717317062240988,0.9976125819925042,58.23036537557395,119.02447094655615,0.01656459609702334,True,-1.0,-0.4904045955638774,-0.4905401332624244,-0.4954023062753121,0.006482897350517047,0.0017749504703721605,0.00027637934018781546,0.010190994857395783,True,True,0,1,True,50.001,0.0001010347214956142,0.24949725087913838,1.6940658945086007e-21,True,0.008187622849517072,,0.08982845896389335
dinner,1.0,matched,2.0,1,1.0023931314125243,1.0132326663651556,0.0025128091343544342,0.000144,0.010839534952631442,0.9976125819925042,92.25488034034491,892.5576153168158,0.01058473703190362,True,-1.0,-0.49347007513455615,-0.4936090325502782,-0.49664966364091256,0.004054174787512505,0.001223454171622871,0.0002815923856865546,0.00644332588047902,True,True,0,1,True,50.001,1.3477917238645998e-05,0.24627855038162677,1.6940658945086007e-21,True,0.005170379019295608,,0.09105408401228487
ledge,1e-07,matched,2.0,1,0.07514061126615987,0.14126313753778202,0.00028414315472897653,0.000144,0.06612252627162216,13.308382553049011,15.123439111992468,0.0405088385431028,0.31883846287654405,True,-1.0,-3.5394938036561077,-3.5396963768549696,-4.7744143283301135,1.6462906019668555,0.007105007491040617,5.723225130461278e-05,0.34889749585050805,True,True,0,1,True,50.001,0.0714730796719464,0.24999976101043572,2.541098841762901e-21,True,1.51694928555592,,0.007714917068369687
ledge,7.498942093324558e-07,matched,2.0,1,0.07514061126615987,0.13984980128530541,0.0014552935026951289,0.000144,0.06470919001914555,13.308382553049011,15.453755482090402,0.30377343450256195,0.31633510512787494,True,-1.0,-3.5752642864322537,-3.5754752022278,-4.785797234402995,1.613762709566929,0.037128121988716775,5.8993064190110396e-05,0.3385855844460464,True,True,0,1,True,50.001,0.012670410081433662,0.24999820784223084,0.0,True,1.4377308091016259,,0.007744583999738097
ledge,5.623413251903491e-06,matched,2.0,1,0.07514061126615987,0.13338608295154142,0.0053185387266807636,0.000144,0.05824547168538155,13.308382553049011,17.168716658379815,2.2779793948250324,0.3039450981636977,True,-1.0,-3.7485170036940647,-3.7487720266564004,-4.861911947120124,1.484186560618296,0.14914341827490818,6.803302801731628e-05,0.29702278056331016,True,True,0,1,True,50.001,0.0017672494770908818,0.24998656133875416,8.470329472543003e-21,True,1.5070302712620256,,0.007807290996424854
ledge,4.216965034285822e-05,matched,2.0,1,0.07514061126615987,0.11961148334827323,0.0076160704185657575,0.000144,0.04447087208211337,13.308382553049011,22.486628959143122,17.082435571579435,0.27102775289559106,True,-1.0,-4.180200646322126,-4.180595519618368,-5.144279257099154,1.2849116499743785,0.2655278868999995,9.446276139636011e-05,0.23062974539876574,True,True,0,1,True,50.001,0.00023711917613777813,0.2498992594510474,8.470329472543003e-22,True,1.471389330517338,,0.007741166045889258
