scene,relax,iters,substeps,ratio_explicit,ratio_implicit,inject_explicit,inject_implicit,baseline_reldiff,f_hi_hz,h_sub,wratio_min,r1_pred,r1_meas,r1_reldiff,r1_ok
shelf,0.7,4,1,6333.221296009669,0.06726910144219793,True,False,0.0,24707.92121981384,0.008333333333333333,5.96773091974716e-07,1673670.3405692626,1675678.7687779458,0.0012000142202436524,True
shelf,0.7,8,2,53.73070660394743,0.19250470653173865,True,False,0.0,24707.92121981384,0.004166666666666667,2.3842304182170047e-06,418418.33514231566,419422.5492466573,0.0024000241385217333,True
shelf,0.7,16,4,0.4365817490775668,0.3056589126051213,False,False,0.0,24707.92121981384,0.0020833333333333333,9.514074284651849e-06,104605.33378557891,105107.4408377497,0.004800013861625948,True
shelf,0.7,32,8,0.4694092144237924,0.4091767921132535,False,False,0.0,24707.92121981384,0.0010416666666666667,3.7874287477366636e-05,26152.08344639473,26403.136972480122,0.009599752409783767,True
shelf,1.0,4,1,10962.069581259255,0.12488960183141502,True,False,0.0,24707.92121981384,0.008333333333333333,5.96773091974716e-07,1673670.3405692626,1675678.7687779458,0.0012000142202436524,True
shelf,1.0,8,2,123.65613735990345,0.3311476482050187,True,False,0.0,24707.92121981384,0.004166666666666667,2.3842304182170047e-06,418418.33514231566,419422.5492466573,0.0024000241385217333,True
shelf,1.0,16,4,0.6786529426082029,0.47563900699334355,False,False,0.0,24707.92121981384,0.0020833333333333333,9.514074284651849e-06,104605.33378557891,105107.4408377497,0.004800013861625948,True
shelf,1.0,32,8,0.6979610081110307,0.618168099238048,False,False,0.0,24707.92121981384,0.0010416666666666667,3.7874287477366636e-05,26152.08344639473,26403.136972480122,0.009599752409783767,True
ledge,0.7,4,1,56266.17194865355,4.09648377731042e-05,True,False,0.0,190902.6610393876,0.008333333333333333,9.996729613313234e-09,99912819.16732821,100032714.5657957,0.0012000001548019795,True
ledge,0.7,8,2,47.45301737077002,0.0005177616820991294,True,False,0.0,190902.6610393876,0.004166666666666667,3.9939047835200224e-08,24978205.541832052,25038153.241065785,0.0024000002375405304,True
ledge,0.7,16,4,0.2199407333866165,0.01715013769716915,False,False,0.0,190902.6610393876,0.0020833333333333333,1.5937458899344508e-07,6244552.135458013,6274525.98507488,0.00479999989857849,True
ledge,0.7,32,8,0.23900324488681501,0.08418871657882143,False,False,0.0,190902.6610393876,0.0010416666666666667,6.344671586138762e-07,1561138.7838645033,1576125.7086729363,0.00959999518513904,True
ledge,1.0,4,1,119533.8648400968,8.285343589782368e-05,True,False,0.0,190902.6610393876,0.008333333333333333,9.996729613313234e-09,99912819.16732821,100032714.5657957,0.0012000001548019795,True
ledge,1.0,8,2,167.72318234516007,0.0010545380632874105,True,False,0.0,190902.6610393876,0.004166666666666667,3.9939047835200224e-08,24978205.541832052,25038153.241065785,0.0024000002375405304,True
ledge,1.0,16,4,0.3202085554211415,0.031847933848072066,False,False,0.0,190902.6610393876,0.0020833333333333333,1.5937458899344508e-07,6244552.135458013,6274525.98507488,0.00479999989857849,True
ledge,1.0,32,8,0.41105085693137294,0.14304667908814903,False,False,0.0,190902.6610393876,0.0010416666666666667,6.344671586138762e-07,1561138.7838645033,1576125.7086729363,0.00959999518513904,True
dinner,0.7,4,1,0.13472324006171416,0.07346691495495428,False,False,0.0,5202.094988197112,0.008333333333333333,1.3462304651414677e-05,74192.44001447369,74281.48640915772,0.0012002084668823454,True
dinner,0.7,8,2,0.09577408442628675,0.0815048845198533,False,False,0.0,5202.094988197112,0.004166666666666667,5.3782573574256526e-05,18548.86000361842,18593.383200960438,0.0024003198759023764,True
dinner,0.7,16,4,0.11319896573951982,0.08974909426186264,False,False,0.0,5202.094988197112,0.0020833333333333333,0.00021458184031031142,4637.965000904605,4660.226599575614,0.0047998634458575875,True
dinner,0.7,32,8,0.11641933721455615,0.10353635804657992,False,False,0.0,5202.094988197112,0.0010416666666666667,0.0008536997279166891,1160.2412502261514,1171.3720495616558,0.009593521462312123,True
dinner,1.0,4,1,0.3721407008706691,0.14436546592706873,False,False,0.0,5202.094988197112,0.008333333333333333,1.3462304651414677e-05,74192.44001447369,74281.48640915772,0.0012002084668823454,True
dinner,1.0,8,2,0.18624512463342682,0.1587293644342633,False,False,0.0,5202.094988197112,0.004166666666666667,5.3782573574256526e-05,18548.86000361842,18593.383200960438,0.0024003198759023764,True
dinner,1.0,16,4,0.2120960236861659,0.1766611724797415,False,False,0.0,5202.094988197112,0.0020833333333333333,0.00021458184031031142,4637.965000904605,4660.226599575614,0.0047998634458575875,True
dinner,1.0,32,8,0.22550587267467298,0.20069995168512264,False,False,0.0,5202.094988197112,0.0010416666666666667,0.0008536997279166891,1160.2412502261514,1171.3720495616558,0.009593521462312123,True
