cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
0,6,2.0,0.0017897581590645224,-2.120850532311074,1.6321493223799797,-0.11253378737757336,0,-0.9101689598276894,0,-0.11685464142302648,0,-0.9077540498197427,0
1,8,2.0,0.0004237669897092673,-0.4345673595255264,0.06907350992698748,-0.008136102938250733,0,-0.016893000386048573,0,-0.015027992488986008,0,-0.017311305073137495,0
2,5,1.0,0.0003897132428272739,-3.8338369196599333,0.06954897888197863,-0.6744659299036329,0,-0.7736164605726259,0,-0.7746460436553235,0,-1.2728942199811542,0
3,7,1.0,0.006473490571723216,-0.01809287538110178,0.3689736071175247,-6.8143428375759345e-06,0,-0.00011161663104667632,0,-0.00011176515946230626,0,-0.0003674287490436274,0
4,6,2.0,0.0068577580328604195,-0.5245583800728959,9.006307910364017,-0.014114486143403581,0,-0.014559265799836265,0,-0.01463745628379238,0,-0.01469430038104571,0
5,8,1.0,0.013694136203438016,-0.24738124034704403,0.00774249004053511,-0.06130295172256206,0,-2.153574121130135,0,-1.2357801236646502,0,-2.2114827171153917,0
6,4,2.0,0.0069196101603379604,-1.066024341264113,0.051472140248624836,-4.423474144521011,0,-1.9256303223515268,0,-2.5476778961010336,0,-6.711790513297064,0
7,7,2.0,0.0003192152951839301,-0.596659992306382,3.9436344023861967,-0.04289684300245701,0,-0.042202937170587575,0,-0.04213159496633258,0,-0.04287592305131182,0
8,5,2.0,0.00032615311251336086,-0.8391781828015001,0.023497437076936495,-3.416756578249128,0,-3.419597663930258,0,-3.4196008332989294,0,-3.4207737946534174,0
9,4,2.0,0.02027509704479285,-0.1425547686692678,1.0906360893664777,-0.009012091541580933,0,-0.009303847150843885,0,-0.009137020517129842,0,-0.009304378377875778,0
10,8,2.0,0.0012962034574687945,-2.42164120493396,0.014177026933619835,-15.356568525844835,0,-24.340089752722633,0,-24.669979003136262,0,-24.642998720809516,0
11,7,2.0,0.0072303227059286055,-2.8684965761812626,0.0024844504319616414,-4.257671442288029,0,-36.749131071690954,0,-3.914405094159065,0,-142.3360227000419,0
