mass_ratio_m_over_M,b_omega_h_sq,mu_matched,rho_matched,rho_massonly,cond_G_single_mode
1e-06,1e-06,4.000001e-06,0.49999900000174996,3.999997000003e-06,1.00000025
1e-06,1.0,4.9999999999999996e-06,0.49999875000312505,4.999995000005e-06,1.25
1e-06,1000.0,0.001004,0.49974912593877874,0.001003998996001004,251.0
1e-06,1000000.0,1.000004,0.33333288888948154,1.000002999997,250001.0
1e-06,1000000000000.0,1000000.0000039999,9.999980000000001e-07,999999.000005,250000000001.0
0.001,1e-06,0.004000001,0.499001995758981,0.003996004995004996,1.00000025
0.001,1.0,0.005,0.49875311720698257,0.004995004995004996,1.25
0.001,1000.0,1.004,0.33288948069241014,1.002997002997003,251.0
0.001,1000000.0,1000.004,0.0009980000079840002,999.0049950049952,250001.0
0.001,1000000000000.0,1000000000.0040001,9.99999997996e-10,999000999.0049952,250000000001.0
1.0,1e-06,4.000001,0.16666663888889352,2.0000005,1.00000025
1.0,1.0,5.0,0.14285714285714285,2.5,1.25
1.0,1000.0,1004.0,0.0009940357852882703,502.0,251.0
1.0,1000000.0,1000004.0,9.999940000359997e-07,500002.0,250001.0
1.0,1000000000000.0,1000000000004.0,9.99999999994e-13,500000000002.0,250000000001.0
1000.0,1e-06,4000.001,0.00024987500003123434,3.9960049950049954,1.00000025
1000.0,1.0,5000.0,0.00019992003198720512,4.995004995004995,1.25
1000.0,1000.0,1004000.0,9.960139521634419e-07,1002.997002997003,251.0
1000.0,1000000.0,1000004000.0,9.99995998016016e-10,999004.995004995,250001.0
1000.0,1000000000000.0,1000000000004000.0,9.99999999995998e-16,999000999004.995,250000000001.0
1000000.0,1e-06,4000001.0,2.499998125001406e-07,3.999997000003,1.00000025
1000000.0,1.0,5000000.0,1.99999920000032e-07,4.999995000005,1.25
1000000.0,1000.0,1004000000.0,9.960159342708846e-10,1003.998996001004,251.0
1000000.0,1000000.0,1000004000000.0,9.99996000014e-13,1000002.999997,250001.0
1000000.0,1000000000000.0,1.000000000004e+18,9.99999999996e-19,999999000005.0,250000000001.0
